name,n,method,model_path,score,T,CNOT,depth,peak_ancilla,correct,time_s
large_n8_4,8,and_resource_nmcts,models/action_scorer_v2.pt,821.2400000000001,716,1284,1292,5,True,21.41
large_n8_4,8,and_resource_nmcts,random-prior:0,821.2400000000001,716,1284,1292,5,True,20.71
large_n8_4,8,and_resource_nmcts,random-prior:1,821.2400000000001,716,1284,1292,5,True,20.97
large_n8_4,8,and_resource_nmcts,random-prior:3,821.2400000000001,716,1284,1292,5,True,21.05
large_n8_4,8,and_resource_nmcts,random-prior:2,821.2400000000001,716,1284,1292,5,True,21.42
large_n8_4,8,and_resource_nmcts,random-prior:4,821.2400000000001,716,1284,1292,5,True,20.8
large_n8_4,8,and_resource_nmcts,random-prior:5,821.2400000000001,716,1284,1292,5,True,20.11
large_n8_4,8,and_resource_nmcts,random-prior:6,821.2400000000001,716,1284,1292,5,True,20.48
large_n8_4,8,and_resource_nmcts,random-prior:7,821.2400000000001,716,1284,1292,5,True,20.78
large_n8_5,8,and_resource_nmcts,,841.04,732,1311,1313,6,True,24.27
large_n8_5,8,and_resource_nmcts,models/action_scorer_v2.pt,841.04,732,1311,1313,6,True,24.38
large_n8_5,8,and_resource_nmcts,random-prior:0,841.04,732,1311,1313,6,True,23.61
large_n8_5,8,and_resource_nmcts,random-prior:1,841.04,732,1311,1313,6,True,24.42
large_n8_5,8,and_resource_nmcts,random-prior:2,841.04,732,1311,1313,6,True,24.05
large_n8_5,8,and_resource_nmcts,random-prior:3,841.04,732,1311,1313,6,True,23.68
large_n8_5,8,and_resource_nmcts,random-prior:4,841.04,732,1311,1313,6,True,23.85
large_n8_6,8,and_resource_nmcts,,811.2,708,1259,1261,5,True,18.78
large_n8_5,8,and_resource_nmcts,random-prior:5,841.04,732,1311,1313,6,True,24.21
large_n8_6,8,and_resource_nmcts,models/action_scorer_v2.pt,811.2,708,1259,1261,5,True,19.06
large_n8_5,8,and_resource_nmcts,random-prior:7,841.04,732,1311,1313,6,True,23.88
large_n8_5,8,and_resource_nmcts,random-prior:6,841.04,732,1311,1313,6,True,24.3
large_n8_6,8,and_resource_nmcts,random-prior:0,811.2,708,1259,1261,5,True,19.38
large_n8_6,8,and_resource_nmcts,random-prior:1,811.2,708,1259,1261,5,True,19.65
large_n8_6,8,and_resource_nmcts,random-prior:2,811.2,708,1259,1261,5,True,19.29
large_n8_6,8,and_resource_nmcts,random-prior:3,811.2,708,1259,1261,5,True,19.23
large_n8_6,8,and_resource_nmcts,random-prior:4,811.2,708,1259,1261,5,True,19.24
large_n8_6,8,and_resource_nmcts,random-prior:6,811.2,708,1259,1261,5,True,18.78
large_n8_6,8,and_resource_nmcts,random-prior:5,811.2,708,1259,1261,5,True,19.25
large_n8_6,8,and_resource_nmcts,random-prior:7,811.2,708,1259,1261,5,True,19.07
large_n8_7,8,and_resource_nmcts,,870.34,760,1354,1362,5,True,23.01
large_n8_7,8,and_resource_nmcts,models/action_scorer_v2.pt,870.34,760,1354,1362,5,True,23.23
large_n8_7,8,and_resource_nmcts,random-prior:0,870.34,760,1354,1362,5,True,22.22
large_n8_7,8,and_resource_nmcts,random-prior:1,870.34,760,1354,1362,5,True,22.73
large_n8_7,8,and_resource_nmcts,random-prior:2,870.34,760,1354,1362,5,True,22.61
large_n8_7,8,and_resource_nmcts,random-prior:3,870.34,760,1354,1362,5,True,22.18
large_n8_7,8,and_resource_nmcts,random-prior:4,870.34,760,1354,1362,5,True,22.38
large_n8_7,8,and_resource_nmcts,random-prior:5,870.34,760,1354,1362,5,True,22.21
large_n8_8,8,and_resource_nmcts,,812.7,708,1277,1285,5,True,20.14
large_n8_8,8,and_resource_nmcts,models/action_scorer_v2.pt,812.7,708,1277,1285,5,True,20.4
large_n8_7,8,and_resource_nmcts,random-prior:6,870.34,760,1354,1362,5,True,22.49
large_n8_7,8,and_resource_nmcts,random-prior:7,870.34,760,1354,1362,5,True,23.21
large_n8_8,8,and_resource_nmcts,random-prior:0,812.7,708,1277,1285,5,True,22.87
large_n8_8,8,and_resource_nmcts,random-prior:1,812.7,708,1277,1285,5,True,23.09
large_n8_8,8,and_resource_nmcts,random-prior:2,812.7,708,1277,1285,5,True,23.12
large_n8_8,8,and_resource_nmcts,random-prior:3,812.7,708,1277,1285,5,True,23.9
large_n8_8,8,and_resource_nmcts,random-prior:4,812.7,708,1277,1285,5,True,23.36
large_n8_8,8,and_resource_nmcts,random-prior:5,812.7,708,1277,1285,5,True,23.58
large_n8_8,8,and_resource_nmcts,random-prior:6,812.7,708,1277,1285,5,True,22.75
large_n8_9,8,and_resource_nmcts,,788.0699999999999,684,1240,1251,6,True,19.89
large_n8_9,8,and_resource_nmcts,models/action_scorer_v2.pt,788.0699999999999,684,1240,1251,6,True,19.38
large_n8_9,8,and_resource_nmcts,random-prior:0,788.0699999999999,684,1240,1251,6,True,19.37
large_n8_9,8,and_resource_nmcts,random-prior:1,788.0699999999999,684,1240,1251,6,True,19.33
large_n8_8,8,and_resource_nmcts,random-prior:7,812.7,708,1277,1285,5,True,22.85
large_n8_9,8,and_resource_nmcts,random-prior:2,788.0699999999999,684,1240,1251,6,True,18.44
large_n8_9,8,and_resource_nmcts,random-prior:3,788.0699999999999,684,1240,1251,6,True,17.94
large_n8_9,8,and_resource_nmcts,random-prior:4,788.0699999999999,684,1240,1251,6,True,17.87
large_n8_9,8,and_resource_nmcts,random-prior:5,788.0699999999999,684,1240,1251,6,True,18.03
large_n8_9,8,and_resource_nmcts,random-prior:6,788.0699999999999,684,1240,1251,6,True,18.56
large_n8_9,8,and_resource_nmcts,random-prior:7,788.0699999999999,684,1240,1251,6,True,17.66
large_n8_10,8,and_resource_nmcts,models/action_scorer_v2.pt,815.28,712,1256,1268,5,True,34.05
large_n8_10,8,and_resource_nmcts,,815.28,712,1256,1268,5,True,34.44
large_n8_10,8,and_resource_nmcts,random-prior:0,815.28,712,1256,1268,5,True,34.4
large_n8_10,8,and_resource_nmcts,random-prior:1,815.28,712,1256,1268,5,True,34.8
large_n8_10,8,and_resource_nmcts,random-prior:2,815.28,712,1256,1268,5,True,35.0
large_n8_10,8,and_resource_nmcts,random-prior:3,815.28,712,1256,1268,5,True,35.68
large_n8_10,8,and_resource_nmcts,random-prior:5,815.28,712,1256,1268,5,True,35.5
large_n8_10,8,and_resource_nmcts,random-prior:4,815.28,712,1256,1268,5,True,35.54
