CNOT,T,anf_terms,correct,depth,error,explicit_ancilla,gates,method,n,n_qubits,name,peak_ancilla,profile,profile_label,score,skipped,terms,time_s,truth_table_hex
60,64,17,True,82,,0,37,sshr_h,5,6,sweep_truth_n5_1,1,t_heavy,T-heavy,66.495,,17,0.03631186485290527,8B9D2434
140,84,14,True,140,,0,56,and_direct_anf,5,6,sweep_truth_n5_2,3,t_heavy,T-heavy,90.08,,14,0.00010180473327636719,16419F82
109,56,14,True,109,,1,47,and_mcts_factor,5,7,sweep_truth_n5_2,2,t_heavy,T-heavy,60.415,,14,0.06472516059875488,16419F82
28,12,7,True,33,,1,19,and_affine_nmcts,4,6,sweep_truth_n4_10,2,t_heavy,T-heavy,14.68,,5,0.6261289119720459,AD3C
28,12,7,True,33,,1,19,and_resource_nmcts,4,6,sweep_truth_n4_10,2,t_heavy,T-heavy,14.68,,5,0.6297569274902344,AD3C
103,64,14,True,123,,0,59,and_cube_beam,5,6,sweep_truth_n5_2,3,t_heavy,T-heavy,69.455,,14,0.008675813674926758,16419F82
66,72,14,True,76,,0,27,sshr_h,5,6,sweep_truth_n5_2,2,t_heavy,T-heavy,75.505,,14,0.03041696548461914,16419F82
110,64,15,True,111,,0,47,and_direct_anf,5,6,sweep_truth_n5_3,2,t_heavy,T-heavy,68.44000000000001,,15,9.703636169433594e-05,972A8469
92,44,15,True,93,,1,43,and_mcts_factor,5,7,sweep_truth_n5_3,2,t_heavy,T-heavy,48.06000000000001,,15,0.0350499153137207,972A8469
223,124,35,True,236,,1,100,and_resource_nmcts,6,8,threshold3_n6,2,t_heavy,T-heavy,131.025,,16,2.898656129837036,FFFEFEE8FEE8E880
78,40,15,True,89,,1,43,and_affine_nmcts,5,7,threshold2_n5,2,t_heavy,T-heavy,43.830000000000005,,6,3.824476957321167,FFFEFEE8
116,72,15,True,146,,0,74,and_cube_beam,5,6,sweep_truth_n5_3,3,t_heavy,T-heavy,77.84,,15,0.010586977005004883,972A8469
64,64,15,True,84,,0,39,sshr_h,5,6,sweep_truth_n5_3,1,t_heavy,T-heavy,66.57499999999999,,15,0.002349853515625,972A8469
119,72,12,True,120,,0,48,and_direct_anf,5,6,sweep_truth_n5_4,2,t_heavy,T-heavy,76.62499999999999,,12,8.702278137207031e-05,6C031199
95,44,12,True,96,,1,42,and_mcts_factor,5,7,sweep_truth_n5_4,2,t_heavy,T-heavy,48.114999999999995,,12,0.0437319278717041,6C031199
78,40,15,True,89,,1,43,and_resource_nmcts,5,7,threshold2_n5,2,t_heavy,T-heavy,43.830000000000005,,6,3.874833106994629,FFFEFEE8
68,32,13,True,74,,1,36,and_affine_nmcts,5,7,sweep_truth_n5_0,2,t_heavy,T-heavy,35.57,,8,2.573889970779419,E465E150
90,56,12,True,108,,0,52,and_cube_beam,5,6,sweep_truth_n5_4,2,t_heavy,T-heavy,60.15,,12,0.0077512264251708984,6C031199
76,76,12,True,100,,0,47,sshr_h,5,6,sweep_truth_n5_4,1,t_heavy,T-heavy,78.875,,12,0.028015851974487305,6C031199
179,108,18,True,180,,0,72,and_direct_anf,5,6,sweep_truth_n5_5,3,t_heavy,T-heavy,114.94500000000001,,18,0.00010609626770019531,822E8F3
68,32,13,True,74,,1,36,and_resource_nmcts,5,7,sweep_truth_n5_0,2,t_heavy,T-heavy,35.57,,8,2.625481128692627,E465E150
134,68,18,True,135,,1,59,and_mcts_factor,5,7,sweep_truth_n5_5,2,t_heavy,T-heavy,72.98,,18,0.09992599487304688,822E8F3
73,36,15,True,80,,1,40,and_affine_nmcts,5,7,sweep_truth_n5_3,2,t_heavy,T-heavy,39.695,,10,2.8703882694244385,972A8469
84,52,18,True,98,,0,46,and_cube_beam,5,6,sweep_truth_n5_5,3,t_heavy,T-heavy,56.98,,18,0.007214784622192383,822E8F3
92,100,18,True,120,,0,50,sshr_h,5,6,sweep_truth_n5_5,2,t_heavy,T-heavy,104.22999999999999,,18,0.0031402111053466797,822E8F3
198,120,18,True,198,,0,78,and_direct_anf,5,6,sweep_truth_n5_6,2,t_heavy,T-heavy,126.35,,18,0.0001442432403564453,7A0CA6E
151,76,18,True,151,,1,65,and_mcts_factor,5,7,sweep_truth_n5_6,2,t_heavy,T-heavy,81.345,,18,0.14990806579589844,7A0CA6E
73,36,15,True,80,,1,40,and_resource_nmcts,5,7,sweep_truth_n5_3,2,t_heavy,T-heavy,39.695,,10,2.9262940883636475,972A8469
91,40,17,True,101,,1,51,and_affine_nmcts,5,7,sweep_truth_n5_1,2,t_heavy,T-heavy,44.12500000000001,,10,3.8084402084350586,8B9D2434
85,52,18,True,103,,0,51,and_cube_beam,5,6,sweep_truth_n5_6,2,t_heavy,T-heavy,56.045,,18,0.009773969650268555,7A0CA6E
64,64,18,True,88,,0,43,sshr_h,5,6,sweep_truth_n5_6,1,t_heavy,T-heavy,66.615,,18,0.02876114845275879,7A0CA6E
88,52,10,True,88,,0,36,and_direct_anf,5,6,sweep_truth_n5_7,2,t_heavy,T-heavy,55.94,,10,7.796287536621094e-05,17FC695A
75,36,10,True,75,,1,33,and_mcts_factor,5,7,sweep_truth_n5_7,2,t_heavy,T-heavy,39.665,,10,0.02120518684387207,17FC695A
91,40,17,True,101,,1,51,and_resource_nmcts,5,7,sweep_truth_n5_1,2,t_heavy,T-heavy,44.12500000000001,,10,3.9142091274261475,8B9D2434
96,48,14,True,102,,1,48,and_affine_nmcts,5,7,sweep_truth_n5_2,2,t_heavy,T-heavy,52.19,,11,3.8700551986694336,16419F82
80,48,10,True,88,,0,40,and_cube_beam,5,6,sweep_truth_n5_7,2,t_heavy,T-heavy,51.84,,10,0.011101961135864258,17FC695A
52,52,10,True,64,,0,27,sshr_h,5,6,sweep_truth_n5_7,1,t_heavy,T-heavy,54.235,,10,0.003100156784057617,17FC695A
173,104,18,True,174,,0,70,and_direct_anf,5,6,sweep_truth_n5_8,3,t_heavy,T-heavy,110.815,,18,0.00011897087097167969,37F8A88B
128,64,18,True,129,,1,57,and_mcts_factor,5,7,sweep_truth_n5_8,2,t_heavy,T-heavy,68.85,,18,0.0820159912109375,37F8A88B
82,36,12,True,84,,1,38,and_affine_nmcts,5,7,sweep_truth_n5_4,2,t_heavy,T-heavy,39.839999999999996,,8,3.2489261627197266,6C031199
96,48,14,True,102,,1,48,and_resource_nmcts,5,7,sweep_truth_n5_2,2,t_heavy,T-heavy,52.19,,11,3.992933988571167,16419F82
122,76,18,True,146,,0,70,and_cube_beam,5,6,sweep_truth_n5_8,3,t_heavy,T-heavy,81.91,,18,0.01178288459777832,37F8A88B
82,36,12,True,84,,1,38,and_resource_nmcts,5,7,sweep_truth_n5_4,2,t_heavy,T-heavy,39.839999999999996,,8,3.3274049758911133,6C031199
198,120,18,True,198,,0,78,and_direct_anf,5,6,sweep_truth_n5_9,2,t_heavy,T-heavy,126.35,,18,0.00010585784912109375,3B8FAA18
80,96,18,True,102,,0,44,sshr_h,5,6,sweep_truth_n5_8,2,t_heavy,T-heavy,99.93,,18,0.028818368911743164,37F8A88B
152,72,18,True,152,,1,66,and_mcts_factor,5,7,sweep_truth_n5_9,2,t_heavy,T-heavy,77.37,,18,0.12913203239440918,3B8FAA18
72,32,18,True,83,,1,45,and_affine_nmcts,5,7,sweep_truth_n5_6,2,t_heavy,T-heavy,35.72,,12,2.428713083267212,7A0CA6E
111,68,18,True,141,,0,73,and_cube_beam,5,6,sweep_truth_n5_9,3,t_heavy,T-heavy,73.735,,18,0.011586904525756836,3B8FAA18
82,80,18,True,106,,0,48,sshr_h,5,6,sweep_truth_n5_9,1,t_heavy,T-heavy,83.0,,18,0.003515005111694336,3B8FAA18
134,80,15,True,135,,0,55,and_direct_anf,5,6,sweep_truth_n5_10,3,t_heavy,T-heavy,85.96000000000001,,15,0.0001049041748046875,815EF6D1
107,52,15,True,108,,1,48,and_mcts_factor,5,7,sweep_truth_n5_10,2,t_heavy,T-heavy,56.385,,15,0.060478925704956055,815EF6D1
