mode,feature_mode,execution_mode,split,pairs,skips,false_skips,score_wins,score_losses,score_ties,mean_rel_score_vs_depth2,mean_rel_time_vs_depth2,mean_rel_time_vs_all_depth
static_direct,static,direct,test,96,4,0,0,0,96,0.0,-0.005396417871273198,-0.2473565249956117
shallow_staged_high_confidence,shallow,staged,test,48,8,0,0,0,48,0.0,0.2910305552565885,-0.07806134656666419
