name,n,method,T,CNOT,depth,gates,explicit_ancilla,peak_ancilla,n_qubits,score,score_lower_bound,score_rz1,score_rz1.5,score_rz2,score_rz4,score_rz10,score_synth_tperrz30,score_synth_tperrz60,score_synth_tperrz100,time_s,anf_terms,parity_gadgets,rz_total,rz_clifford,rz_t_like,rz_non_clifford,rz_max_denominator,phase_ops,ct_supported,verified_up_to_global_phase,correct,skipped,error,truth_table_hex,candidate_polarities,global_phase_pi,global_phase_pi_den,global_phase_pi_num,polarity,polarity_hex,polarity_weight,rank_metric,shifted_constant_term
truth_n4_12,4,phase_parity_fprm_opt_tperrz30,7,24,35,35,0,0,4,8.834999999999999,8.834999999999999,8.834999999999999,8.834999999999999,8.834999999999999,8.834999999999999,8.834999999999999,8.834999999999999,8.834999999999999,8.834999999999999,0.00015997886657714844,7,11,11,4,7,0,4,7,1,True,phase oracle verified up to global phase,,,E465,16,1/1,1,1,1,0x1,1,score_synth_tperrz30,0
truth_n4_13,4,phase_parity_fprm_opt_score,0,34,49,49,0,0,4,2.585,2.585,17.585,25.085,32.585,62.585,152.585,463.83500000000004,925.085,1540.0849999999998,0.0001800060272216797,9,15,15,0,0,15,8,15,0,True,phase oracle verified up to global phase,,,8B9D,16,1/1,1,1,0,0x0,0,score,1
truth_n4_13,4,phase_parity_fprm_opt_rz1,0,34,49,49,0,0,4,2.585,2.585,17.585,25.085,32.585,62.585,152.585,463.83500000000004,925.085,1540.0849999999998,0.0001800060272216797,9,15,15,0,0,15,8,15,0,True,phase oracle verified up to global phase,,,8B9D,16,1/1,1,1,0,0x0,0,score_rz1,1
truth_n4_13,4,phase_parity_fprm_opt_tperrz30,0,34,49,49,0,0,4,2.585,2.585,17.585,25.085,32.585,62.585,152.585,463.83500000000004,925.085,1540.0849999999998,0.0001800060272216797,9,15,15,0,0,15,8,15,0,True,phase oracle verified up to global phase,,,8B9D,16,1/1,1,1,0,0x0,0,score_synth_tperrz30,1
truth_n4_14,4,phase_parity_fprm_opt_score,0,34,49,49,0,0,4,2.585,2.585,17.585,25.085,32.585,62.585,152.585,463.83500000000004,925.085,1540.0849999999998,0.0001857280731201172,10,15,15,0,0,15,8,15,0,True,phase oracle verified up to global phase,,,1641,16,1/1,1,1,0,0x0,0,score,1
truth_n4_14,4,phase_parity_fprm_opt_rz1,0,34,49,49,0,0,4,2.585,2.585,17.585,25.085,32.585,62.585,152.585,463.83500000000004,925.085,1540.0849999999998,0.0001857280731201172,10,15,15,0,0,15,8,15,0,True,phase oracle verified up to global phase,,,1641,16,1/1,1,1,0,0x0,0,score_rz1,1
truth_n4_14,4,phase_parity_fprm_opt_tperrz30,0,34,49,49,0,0,4,2.585,2.585,17.585,25.085,32.585,62.585,152.585,463.83500000000004,925.085,1540.0849999999998,0.0001857280731201172,10,15,15,0,0,15,8,15,0,True,phase oracle verified up to global phase,,,1641,16,1/1,1,1,0,0x0,0,score_synth_tperrz30,1
truth_n4_15,4,phase_parity_fprm_opt_score,8,28,42,42,0,0,4,10.170000000000002,10.170000000000002,10.170000000000002,10.170000000000002,10.170000000000002,10.170000000000002,10.170000000000002,10.170000000000002,10.170000000000002,10.170000000000002,0.00019884109497070312,7,14,14,6,8,0,4,8,1,True,phase oracle verified up to global phase,,,972A,16,0/1,1,0,0,0x0,0,score,0
truth_n4_15,4,phase_parity_fprm_opt_rz1,8,28,42,42,0,0,4,10.170000000000002,10.170000000000002,10.170000000000002,10.170000000000002,10.170000000000002,10.170000000000002,10.170000000000002,10.170000000000002,10.170000000000002,10.170000000000002,0.00019884109497070312,7,14,14,6,8,0,4,8,1,True,phase oracle verified up to global phase,,,972A,16,0/1,1,0,0,0x0,0,score_rz1,0
truth_n4_15,4,phase_parity_fprm_opt_tperrz30,8,28,42,42,0,0,4,10.170000000000002,10.170000000000002,10.170000000000002,10.170000000000002,10.170000000000002,10.170000000000002,10.170000000000002,10.170000000000002,10.170000000000002,10.170000000000002,0.00019884109497070312,7,14,14,6,8,0,4,8,1,True,phase oracle verified up to global phase,,,972A,16,0/1,1,0,0,0x0,0,score_synth_tperrz30,0
truth_n4_16,4,phase_parity_fprm_opt_score,8,18,28,28,0,0,4,9.42,9.42,9.42,9.42,9.42,9.42,9.42,9.42,9.42,9.42,0.00012803077697753906,8,10,10,2,8,0,4,8,1,True,phase oracle verified up to global phase,,,6C03,16,1/1,1,1,0,0x0,0,score,1
truth_n4_16,4,phase_parity_fprm_opt_rz1,8,18,28,28,0,0,4,9.42,9.42,9.42,9.42,9.42,9.42,9.42,9.42,9.42,9.42,0.00012803077697753906,8,10,10,2,8,0,4,8,1,True,phase oracle verified up to global phase,,,6C03,16,1/1,1,1,0,0x0,0,score_rz1,1
truth_n4_16,4,phase_parity_fprm_opt_tperrz30,8,18,28,28,0,0,4,9.42,9.42,9.42,9.42,9.42,9.42,9.42,9.42,9.42,9.42,0.00012803077697753906,8,10,10,2,8,0,4,8,1,True,phase oracle verified up to global phase,,,6C03,16,1/1,1,1,0,0x0,0,score_synth_tperrz30,1
truth_n4_17,4,phase_parity_fprm_opt_score,0,34,49,49,0,0,4,2.585,2.585,17.585,25.085,32.585,62.585,152.585,463.83500000000004,925.085,1540.0849999999998,0.0001800060272216797,4,15,15,0,0,15,8,15,0,True,phase oracle verified up to global phase,,,822,16,0/1,1,0,0,0x0,0,score,0
truth_n4_17,4,phase_parity_fprm_opt_rz1,0,34,49,49,0,0,4,2.585,2.585,17.585,25.085,32.585,62.585,152.585,463.83500000000004,925.085,1540.0849999999998,0.0001800060272216797,4,15,15,0,0,15,8,15,0,True,phase oracle verified up to global phase,,,822,16,0/1,1,0,0,0x0,0,score_rz1,0
truth_n4_17,4,phase_parity_fprm_opt_tperrz30,0,34,49,49,0,0,4,2.585,2.585,17.585,25.085,32.585,62.585,152.585,463.83500000000004,925.085,1540.0849999999998,0.0001800060272216797,4,15,15,0,0,15,8,15,0,True,phase oracle verified up to global phase,,,822,16,0/1,1,0,0,0x0,0,score_synth_tperrz30,0
truth_n4_18,4,phase_parity_fprm_opt_score,0,34,49,49,0,0,4,2.585,2.585,17.585,25.085,32.585,62.585,152.585,463.83500000000004,925.085,1540.0849999999998,0.00018095970153808594,6,15,15,0,0,15,8,15,0,True,phase oracle verified up to global phase,,,7A0,16,0/1,1,0,0,0x0,0,score,0
truth_n4_18,4,phase_parity_fprm_opt_rz1,0,34,49,49,0,0,4,2.585,2.585,17.585,25.085,32.585,62.585,152.585,463.83500000000004,925.085,1540.0849999999998,0.00018095970153808594,6,15,15,0,0,15,8,15,0,True,phase oracle verified up to global phase,,,7A0,16,0/1,1,0,0,0x0,0,score_rz1,0
truth_n4_18,4,phase_parity_fprm_opt_tperrz30,0,34,49,49,0,0,4,2.585,2.585,17.585,25.085,32.585,62.585,152.585,463.83500000000004,925.085,1540.0849999999998,0.00018095970153808594,6,15,15,0,0,15,8,15,0,True,phase oracle verified up to global phase,,,7A0,16,0/1,1,0,0,0x0,0,score_synth_tperrz30,0
truth_n4_19,4,phase_parity_fprm_opt_score,8,20,31,31,0,0,4,9.575000000000001,9.575000000000001,9.575000000000001,9.575000000000001,9.575000000000001,9.575000000000001,9.575000000000001,9.575000000000001,9.575000000000001,9.575000000000001,0.00014925003051757812,8,11,11,3,8,0,4,8,1,True,phase oracle verified up to global phase,,,17FC,16,0/1,1,0,2,0x2,1,score,1
truth_n4_19,4,phase_parity_fprm_opt_rz1,8,20,31,31,0,0,4,9.575000000000001,9.575000000000001,9.575000000000001,9.575000000000001,9.575000000000001,9.575000000000001,9.575000000000001,9.575000000000001,9.575000000000001,9.575000000000001,0.00014925003051757812,8,11,11,3,8,0,4,8,1,True,phase oracle verified up to global phase,,,17FC,16,0/1,1,0,2,0x2,1,score_rz1,1
truth_n4_19,4,phase_parity_fprm_opt_tperrz30,8,20,31,31,0,0,4,9.575000000000001,9.575000000000001,9.575000000000001,9.575000000000001,9.575000000000001,9.575000000000001,9.575000000000001,9.575000000000001,9.575000000000001,9.575000000000001,0.00014925003051757812,8,11,11,3,8,0,4,8,1,True,phase oracle verified up to global phase,,,17FC,16,0/1,1,0,2,0x2,1,score_synth_tperrz30,1
truth_n4_2,4,phase_parity_fprm_opt_score,0,34,49,49,0,0,4,2.585,2.585,17.585,25.085,32.585,62.585,152.585,463.83500000000004,925.085,1540.0849999999998,0.00019216537475585938,12,15,15,0,0,15,8,15,0,True,phase oracle verified up to global phase,,,667,16,1/1,1,1,0,0x0,0,score,1
truth_n4_2,4,phase_parity_fprm_opt_rz1,0,34,49,49,0,0,4,2.585,2.585,17.585,25.085,32.585,62.585,152.585,463.83500000000004,925.085,1540.0849999999998,0.00019216537475585938,12,15,15,0,0,15,8,15,0,True,phase oracle verified up to global phase,,,667,16,1/1,1,1,0,0x0,0,score_rz1,1
truth_n4_2,4,phase_parity_fprm_opt_tperrz30,0,34,49,49,0,0,4,2.585,2.585,17.585,25.085,32.585,62.585,152.585,463.83500000000004,925.085,1540.0849999999998,0.00019216537475585938,12,15,15,0,0,15,8,15,0,True,phase oracle verified up to global phase,,,667,16,1/1,1,1,0,0x0,0,score_synth_tperrz30,1
truth_n4_20,4,phase_parity_fprm_opt_score,8,18,28,28,0,0,4,9.42,9.42,9.42,9.42,9.42,9.42,9.42,9.42,9.42,9.42,0.00013899803161621094,6,10,10,2,8,0,4,8,1,True,phase oracle verified up to global phase,,,37F8,16,0/1,1,0,0,0x0,0,score,0
truth_n4_20,4,phase_parity_fprm_opt_rz1,8,18,28,28,0,0,4,9.42,9.42,9.42,9.42,9.42,9.42,9.42,9.42,9.42,9.42,0.00013899803161621094,6,10,10,2,8,0,4,8,1,True,phase oracle verified up to global phase,,,37F8,16,0/1,1,0,0,0x0,0,score_rz1,0
truth_n4_20,4,phase_parity_fprm_opt_tperrz30,8,18,28,28,0,0,4,9.42,9.42,9.42,9.42,9.42,9.42,9.42,9.42,9.42,9.42,0.00013899803161621094,6,10,10,2,8,0,4,8,1,True,phase oracle verified up to global phase,,,37F8,16,0/1,1,0,0,0x0,0,score_synth_tperrz30,0
truth_n4_21,4,phase_parity_fprm_opt_score,8,20,31,31,0,0,4,9.575000000000001,9.575000000000001,9.575000000000001,9.575000000000001,9.575000000000001,9.575000000000001,9.575000000000001,9.575000000000001,9.575000000000001,9.575000000000001,0.00014901161193847656,7,11,11,3,8,0,4,8,1,True,phase oracle verified up to global phase,,,3B8F,16,1/1,1,1,12,0xc,2,score,1
truth_n4_21,4,phase_parity_fprm_opt_rz1,8,20,31,31,0,0,4,9.575000000000001,9.575000000000001,9.575000000000001,9.575000000000001,9.575000000000001,9.575000000000001,9.575000000000001,9.575000000000001,9.575000000000001,9.575000000000001,0.00014901161193847656,7,11,11,3,8,0,4,8,1,True,phase oracle verified up to global phase,,,3B8F,16,1/1,1,1,12,0xc,2,score_rz1,1
truth_n4_21,4,phase_parity_fprm_opt_tperrz30,8,20,31,31,0,0,4,9.575000000000001,9.575000000000001,9.575000000000001,9.575000000000001,9.575000000000001,9.575000000000001,9.575000000000001,9.575000000000001,9.575000000000001,9.575000000000001,0.00014901161193847656,7,11,11,3,8,0,4,8,1,True,phase oracle verified up to global phase,,,3B8F,16,1/1,1,1,12,0xc,2,score_synth_tperrz30,1
truth_n4_22,4,phase_parity_fprm_opt_score,0,34,49,49,0,0,4,2.585,2.585,17.585,25.085,32.585,62.585,152.585,463.83500000000004,925.085,1540.0849999999998,0.00018787384033203125,9,15,15,0,0,15,8,15,0,True,phase oracle verified up to global phase,,,815E,16,0/1,1,0,0,0x0,0,score,0
truth_n4_22,4,phase_parity_fprm_opt_rz1,0,34,49,49,0,0,4,2.585,2.585,17.585,25.085,32.585,62.585,152.585,463.83500000000004,925.085,1540.0849999999998,0.00018787384033203125,9,15,15,0,0,15,8,15,0,True,phase oracle verified up to global phase,,,815E,16,0/1,1,0,0,0x0,0,score_rz1,0
truth_n4_22,4,phase_parity_fprm_opt_tperrz30,0,34,49,49,0,0,4,2.585,2.585,17.585,25.085,32.585,62.585,152.585,463.83500000000004,925.085,1540.0849999999998,0.00018787384033203125,9,15,15,0,0,15,8,15,0,True,phase oracle verified up to global phase,,,815E,16,0/1,1,0,0,0x0,0,score_synth_tperrz30,0
