name,verified,threshold,run_probability,action,resource_time_s,pareto_time_s,policy_time_s,resource_score,pareto_score,policy_score,resource_T,pareto_T,policy_T,resource_CNOT,pareto_CNOT,policy_CNOT,resource_depth,pareto_depth,policy_depth,resource_gates,pareto_gates,policy_gates,resource_peak_ancilla,pareto_peak_ancilla,policy_peak_ancilla
raw_mcts_budget_policy_test_seed45:truth_n5_33,True,0.6,0.5694429874420166,stop_after_resource,0.34899282455444336,2.4752190113067627,0.34899282455444336,44.74999999999999,42.1,44.74999999999999,36.0,32.0,36.0,78.0,66.0,78.0,82.0,72.0,82.0,40.0,38.0,40.0,2.0,3.0,2.0
raw_mcts_budget_policy_test_seed45:truth_n5_34,True,0.6,0.6409967541694641,run_pareto,0.509289026260376,3.7379150390625,4.247204065322876,57.98500000000001,55.510000000000005,55.510000000000005,48.0,44.0,44.0,98.0,88.0,88.0,105.0,98.0,98.0,49.0,52.0,52.0,2.0,3.0,3.0
raw_mcts_budget_policy_test_seed45:truth_n5_35,True,0.6,0.7348428964614868,run_pareto,0.6497280597686768,4.583659887313843,5.2333879470825195,65.015,59.655,59.655,52.0,48.0,48.0,114.0,92.0,92.0,123.0,99.0,99.0,61.0,49.0,49.0,3.0,3.0,3.0
raw_mcts_budget_policy_test_seed45:truth_n5_36,True,0.6,0.5216256976127625,stop_after_resource,0.19916534423828125,1.6099257469177246,0.19916534423828125,44.85,42.18,44.85,36.0,32.0,36.0,80.0,68.0,80.0,82.0,72.0,82.0,42.0,38.0,42.0,2.0,3.0,2.0
raw_mcts_budget_policy_test_seed45:truth_n5_37,True,0.6,0.6868079304695129,run_pareto,0.46402502059936523,2.8470511436462402,3.3110761642456055,44.635,41.959999999999994,41.959999999999994,36.0,32.0,32.0,74.0,62.0,62.0,83.0,72.0,72.0,43.0,40.0,40.0,2.0,3.0,3.0
raw_mcts_budget_policy_test_seed45:truth_n5_38,True,0.6,0.5100494623184204,stop_after_resource,0.6331448554992676,4.497877836227417,0.6331448554992676,49.44,49.44,49.44,40.0,40.0,40.0,88.0,88.0,88.0,96.0,96.0,96.0,48.0,48.0,48.0,2.0,2.0,2.0
raw_mcts_budget_policy_test_seed45:truth_n5_39,True,0.6,0.6656729578971863,run_pareto,0.3445758819580078,2.385529041290283,2.730104923248291,44.695,42.28,42.28,36.0,32.0,32.0,78.0,68.0,68.0,79.0,76.0,76.0,39.0,42.0,42.0,2.0,3.0,3.0
raw_mcts_budget_policy_test_seed45:truth_n5_4,True,0.6,0.6966931223869324,run_pareto,0.39114809036254883,2.731252908706665,3.122400999069214,46.33,46.33,46.33,36.0,36.0,36.0,69.0,69.0,69.0,78.0,78.0,78.0,40.0,40.0,40.0,3.0,3.0,3.0
raw_mcts_budget_policy_test_seed45:truth_n5_40,True,0.6,0.6801427006721497,run_pareto,0.5891218185424805,3.599276065826416,4.1883978843688965,49.235,49.235,49.235,40.0,40.0,40.0,86.0,86.0,86.0,91.0,91.0,91.0,43.0,43.0,43.0,2.0,2.0,2.0
raw_mcts_budget_policy_test_seed45:truth_n5_41,True,0.6,0.8205730319023132,run_pareto,0.5395739078521729,3.6189889907836914,4.158562898635864,53.235,48.894999999999996,48.894999999999996,44.0,40.0,40.0,86.0,79.0,79.0,91.0,87.0,87.0,43.0,43.0,43.0,2.0,2.0,2.0
