name,n,profile,term_count,method,score,T,CNOT,depth,gates,peak_ancilla,time_s,anf_verified,plan_nodes,plan_mismatches,circuit_anf_verified,circuit_gates,circuit_max_wire_terms,circuit_mismatches
terms_n20_0004_shallow,20,shallow,83,screen_depth1,680.815,612,999,999,387,5,0.04659225000068545,True,5,0,True,81,83,0
terms_n20_0004_shallow,20,shallow,83,screen_depth2,663.4799999999999,596,976,976,380,5,0.22231012499833014,True,7,0,True,82,83,0
terms_n20_0004_shallow,20,shallow,83,screen_depth3,646.2099999999999,580,954,954,374,5,0.8436915829952341,True,9,0,True,84,83,0
terms_n20_0004_shallow,20,shallow,83,screen_depth4,628.9399999999999,564,932,932,368,5,2.368508917003055,True,11,0,True,86,83,0
terms_n20_0004_shallow,20,shallow,83,screen_single,737.4949999999999,664,1079,1079,415,5,0.007098417001543567,True,3,0,True,83,83,0
terms_n20_0005_mixed,20,mixed,153,adaptive_all_depth,1670.1399999999999,1516,2420,2420,904,6,7.955693292999058,True,11,0,True,146,153,0
terms_n20_0005_mixed,20,mixed,153,depth2_guard_direct,1743.9599999999998,1584,2520,2520,936,6,0.46696233300463064,True,7,0,True,144,153,0
terms_n20_0005_mixed,20,mixed,153,depth_frontier_policy,1670.1399999999999,1516,2420,2420,904,6,5.55606304200046,True,11,0,True,146,153,0
terms_n20_0005_mixed,20,mixed,153,depth_policy,1743.9599999999998,1584,2520,2520,936,6,0.46696233300463064,True,7,0,True,144,153,0
terms_n20_0005_mixed,20,mixed,153,direct_logical_and,2018.595,1836,2907,2907,1071,6,1.0830044629983604e-06,True,1,0,True,153,153,0
terms_n20_0005_mixed,20,mixed,153,screen_depth1,1804.99,1640,2606,2606,966,6,0.09670433399878675,True,5,0,True,146,153,0
terms_n20_0005_mixed,20,mixed,153,screen_depth2,1743.9599999999998,1584,2520,2520,936,6,0.46696233300463064,True,7,0,True,144,153,0
terms_n20_0005_mixed,20,mixed,153,screen_depth3,1709.2250000000001,1552,2473,2473,921,6,1.8216417919975356,True,9,0,True,145,153,0
terms_n20_0005_mixed,20,mixed,153,screen_depth4,1670.1399999999999,1516,2420,2420,904,6,5.55606304200046,True,11,0,True,146,153,0
terms_n20_0005_mixed,20,mixed,153,screen_single,1909.585,1736,2753,2753,1017,6,0.01432179199764505,True,3,0,True,149,153,0
terms_n20_0006_deep,20,deep,180,adaptive_all_depth,1602.23,1452,2350,2350,898,6,9.80073687400727,True,11,0,True,172,180,0
