name,n,profile,term_count,method,score,T,CNOT,depth,gates,peak_ancilla,schedule_logical_depth,schedule_cnot_depth_proxy,schedule_t_depth_proxy,explicit_ancilla_live_peak,explicit_ancilla_lifetime_area,time_s,anf_verified,plan_nodes,plan_mismatches,circuit_anf_verified,circuit_gates,circuit_max_wire_terms,circuit_mismatches
terms_n48_0003_shallow,48,shallow,36,depth_frontier_policy,295.025,260,425,425,165,5,33,297,120,1,9,0.03859962499700487,True,3,0,True,35,36,0
terms_n48_0003_shallow,48,shallow,36,depth_policy,295.025,260,425,425,165,5,33,297,120,1,9,0.03859962499700487,True,3,0,True,35,36,0
terms_n48_0003_shallow,48,shallow,36,direct_logical_and,345.29,308,498,498,190,4,36,353,143,0,0,1.1250085663050413e-06,True,1,0,True,36,36,0
terms_n48_0003_shallow,48,shallow,36,screen_depth1,295.025,260,425,425,165,5,33,297,120,1,9,0.03874258301220834,True,3,0,True,35,36,0
terms_n48_0003_shallow,48,shallow,36,screen_depth2,295.025,260,425,425,165,5,33,297,120,1,9,0.03859962499700487,True,3,0,True,35,36,0
terms_n48_0003_shallow,48,shallow,36,screen_depth3,295.025,260,425,425,165,5,33,297,120,1,9,0.039290749991778284,True,3,0,True,35,36,0
terms_n48_0003_shallow,48,shallow,36,screen_depth4,295.025,260,425,425,165,5,33,297,120,1,9,0.03494062498793937,True,3,0,True,35,36,0
terms_n48_0003_shallow,48,shallow,36,screen_single,295.025,260,425,425,165,5,33,297,120,1,9,0.020241790974978358,True,3,0,True,35,36,0
terms_n48_0004_mixed,48,mixed,112,adaptive_all_depth,685.5699999999999,616,1042,1042,426,4,116,1026,268,1,18,4.456686915043974,True,7,0,True,118,112,0
terms_n48_0004_mixed,48,mixed,112,depth2_guard_direct,685.5699999999999,616,1042,1042,426,4,116,1026,268,1,18,0.8950610000174493,True,7,0,True,118,112,0
terms_n48_0004_mixed,48,mixed,112,depth_frontier_policy,685.5699999999999,616,1042,1042,426,4,116,1026,268,1,18,0.8950610000174493,True,7,0,True,118,112,0
terms_n48_0004_mixed,48,mixed,112,depth_policy,685.5699999999999,616,1042,1042,426,4,116,1026,268,1,18,0.8950610000174493,True,7,0,True,118,112,0
terms_n48_0004_mixed,48,mixed,112,direct_logical_and,711.2800000000001,640,1072,1072,432,4,112,1052,274,0,0,1.2500095181167126e-06,True,1,0,True,112,112,0
terms_n48_0004_mixed,48,mixed,112,screen_depth1,694.14,624,1052,1052,428,4,114,1034,270,1,12,0.3180090829846449,True,5,0,True,116,112,0
terms_n48_0004_mixed,48,mixed,112,screen_depth2,685.5699999999999,616,1042,1042,426,4,116,1026,268,1,18,0.8950610000174493,True,7,0,True,118,112,0
terms_n48_0004_mixed,48,mixed,112,screen_depth3,685.5699999999999,616,1042,1042,426,4,116,1026,268,1,18,1.5806414580147248,True,7,0,True,118,112,0
terms_n48_0004_mixed,48,mixed,112,screen_depth4,685.5699999999999,616,1042,1042,426,4,116,1026,268,1,18,1.6005631660227664,True,7,0,True,118,112,0
terms_n48_0004_mixed,48,mixed,112,screen_single,702.7099999999999,632,1062,1062,430,4,112,1042,272,1,6,0.06241220800438896,True,3,0,True,114,112,0
terms_n48_0005_deep,48,deep,190,adaptive_all_depth,1404.91,1268,2086,2086,818,7,182,1716,582,1,46,72.09807358399848,True,11,0,True,184,190,0
terms_n48_0005_deep,48,deep,190,depth2_guard_direct,1470.03,1328,2174,2174,846,7,180,1776,609,1,32,3.914353584026685,True,7,0,True,182,190,0
terms_n48_0005_deep,48,deep,190,depth_frontier_policy,1404.91,1268,2086,2086,818,7,182,1716,582,1,46,51.004643499996746,True,11,0,True,184,190,0
terms_n48_0005_deep,48,deep,190,depth_policy,1470.03,1328,2174,2174,846,7,180,1776,609,1,32,3.914353584026685,True,7,0,True,182,190,0
terms_n48_0005_deep,48,deep,190,direct_logical_and,1735.9,1572,2548,2548,976,7,190,2018,727,0,0,1.2500095181167126e-06,True,1,0,True,190,190,0
terms_n48_0005_deep,48,deep,190,screen_depth1,1517.815,1372,2239,2239,867,7,179,1814,630,1,25,0.7483847919793334,True,5,0,True,181,190,0
terms_n48_0005_deep,48,deep,190,screen_depth2,1470.03,1328,2174,2174,846,7,180,1776,609,1,32,3.914353584026685,True,7,0,True,182,190,0
terms_n48_0005_deep,48,deep,190,screen_depth3,1435.2949999999998,1296,2127,2127,831,7,181,1742,594,1,39,16.324329916009447,True,9,0,True,183,190,0
terms_n48_0005_deep,48,deep,190,screen_depth4,1404.91,1268,2086,2086,818,7,182,1716,582,1,46,51.004643499996746,True,11,0,True,184,190,0
terms_n48_0005_deep,48,deep,190,screen_single,1618.19,1464,2382,2382,918,7,184,1908,674,1,12,0.1063617919862736,True,3,0,True,186,190,0
terms_n48_0006_shallow,48,shallow,56,adaptive_all_depth,413.645,368,605,605,237,5,52,457,172,1,19,2.1077322499768343,True,5,0,True,53,56,0
terms_n48_0006_shallow,48,shallow,56,depth2_guard_direct,413.645,368,605,605,237,5,52,457,172,1,19,0.41088604100514203,True,5,0,True,53,56,0
terms_n48_0006_shallow,48,shallow,56,depth_frontier_policy,413.645,368,605,605,237,5,52,457,172,1,19,0.41088604100514203,True,5,0,True,53,56,0
terms_n48_0006_shallow,48,shallow,56,depth_policy,413.645,368,605,605,237,5,52,457,172,1,19,0.41088604100514203,True,5,0,True,53,56,0
terms_n48_0006_shallow,48,shallow,56,direct_logical_and,524.9399999999999,472,764,764,292,4,56,564,220,0,0,1.7909915186464787e-06,True,1,0,True,56,56,0
terms_n48_0006_shallow,48,shallow,56,screen_depth1,413.645,368,605,605,237,5,52,457,172,1,19,0.14053237499319948,True,5,0,True,53,56,0
terms_n48_0006_shallow,48,shallow,56,screen_depth2,413.645,368,605,605,237,5,52,457,172,1,19,0.41088604100514203,True,5,0,True,53,56,0
terms_n48_0006_shallow,48,shallow,56,screen_depth3,413.645,368,605,605,237,5,52,457,172,1,19,0.704233916971134,True,5,0,True,53,56,0
terms_n48_0006_shallow,48,shallow,56,screen_depth4,413.645,368,605,605,237,5,52,457,172,1,19,0.8225361669901758,True,5,0,True,53,56,0
terms_n48_0006_shallow,48,shallow,56,screen_single,468.26,420,684,684,264,4,52,510,196,1,10,0.0295437500171829,True,3,0,True,54,56,0
terms_n48_0007_mixed,48,mixed,106,adaptive_all_depth,1276.105,1156,1841,1841,685,6,105,1221,567,1,23,5.693675832008012,True,7,0,True,107,106,0
terms_n48_0007_mixed,48,mixed,106,depth2_guard_direct,1276.105,1156,1841,1841,685,6,105,1221,567,1,23,0.9115501250198577,True,7,0,True,107,106,0
terms_n48_0007_mixed,48,mixed,106,depth_frontier_policy,1276.105,1156,1841,1841,685,6,105,1221,567,1,23,0.9115501250198577,True,7,0,True,107,106,0
terms_n48_0007_mixed,48,mixed,106,depth_policy,1276.105,1156,1841,1841,685,6,105,1221,567,1,23,0.9115501250198577,True,7,0,True,107,106,0
terms_n48_0007_mixed,48,mixed,106,direct_logical_and,1428.29,1296,2050,2050,754,6,106,1341,634,0,0,1.3750104699283838e-06,True,1,0,True,106,106,0
terms_n48_0007_mixed,48,mixed,106,screen_depth1,1315.2549999999999,1192,1895,1895,703,6,105,1253,583,1,15,0.3021478749869857,True,5,0,True,107,106,0
terms_n48_0007_mixed,48,mixed,106,screen_depth2,1276.105,1156,1841,1841,685,6,105,1221,567,1,23,0.9115501250198577,True,7,0,True,107,106,0
terms_n48_0007_mixed,48,mixed,106,screen_depth3,1276.105,1156,1841,1841,685,6,105,1221,567,1,23,1.9307788329897448,True,7,0,True,107,106,0
terms_n48_0007_mixed,48,mixed,106,screen_depth4,1276.105,1156,1841,1841,685,6,105,1221,567,1,23,2.4914489579969086,True,7,0,True,107,106,0
terms_n48_0007_mixed,48,mixed,106,screen_single,1367.4550000000002,1240,1967,1967,727,6,105,1293,606,1,7,0.057750041014514863,True,3,0,True,107,106,0
terms_n48_0008_deep,48,deep,183,adaptive_all_depth,1905.16,1728,2776,2776,1048,7,182,1927,838,1,39,73.53688575097476,True,11,0,True,184,183,0
terms_n48_0008_deep,48,deep,183,depth2_guard_direct,1948.465,1768,2833,2833,1065,7,179,1969,855,1,26,3.734694374987157,True,7,0,True,181,183,0
terms_n48_0008_deep,48,deep,183,depth_frontier_policy,1905.16,1728,2776,2776,1048,7,182,1927,838,1,39,52.33778545897803,True,11,0,True,184,183,0
terms_n48_0008_deep,48,deep,183,depth_policy,1948.465,1768,2833,2833,1065,7,179,1969,855,1,26,3.734694374987157,True,7,0,True,181,183,0
terms_n48_0008_deep,48,deep,183,direct_logical_and,2120.595,1928,3075,3075,1147,6,183,2143,932,0,0,1.5839759726077318e-06,True,1,0,True,183,183,0
terms_n48_0008_deep,48,deep,183,screen_depth1,1981.135,1800,2879,2879,1079,6,177,1997,870,1,20,0.7406150000169873,True,5,0,True,179,183,0
terms_n48_0008_deep,48,deep,183,screen_depth2,1948.465,1768,2833,2833,1065,7,179,1969,855,1,26,3.734694374987157,True,7,0,True,181,183,0
terms_n48_0008_deep,48,deep,183,screen_depth3,1931.13,1752,2810,2810,1058,7,180,1947,849,1,33,16.61189374999958,True,9,0,True,182,183,0
terms_n48_0008_deep,48,deep,183,screen_depth4,1905.16,1728,2776,2776,1048,7,182,1927,838,1,39,52.33778545897803,True,11,0,True,184,183,0
terms_n48_0008_deep,48,deep,183,screen_single,2042.1,1856,2964,2964,1108,6,178,2059,897,1,11,0.11189716699300334,True,3,0,True,180,183,0
terms_n48_0009_shallow,48,shallow,47,adaptive_all_depth,429.00500000000005,388,629,629,241,2,47,484,184,0,0,0.13746716803871095,True,1,0,True,47,47,0
terms_n48_0009_shallow,48,shallow,47,depth2_guard_direct,429.00500000000005,388,629,629,241,2,47,484,184,0,0,0.028406291996361688,True,1,0,True,47,47,0
terms_n48_0009_shallow,48,shallow,47,depth_frontier_policy,429.00500000000005,388,629,629,241,2,47,484,184,0,0,0.028406291996361688,True,1,0,True,47,47,0
terms_n48_0009_shallow,48,shallow,47,depth_policy,429.00500000000005,388,629,629,241,2,47,484,184,0,0,0.028406291996361688,True,1,0,True,47,47,0
terms_n48_0009_shallow,48,shallow,47,direct_logical_and,429.00500000000005,388,629,629,241,2,47,484,184,0,0,6.082991603761911e-06,True,1,0,True,47,47,0
terms_n48_0009_shallow,48,shallow,47,screen_depth1,429.00500000000005,388,629,629,241,2,47,484,184,0,0,0.02828716699150391,True,1,0,True,47,47,0
terms_n48_0009_shallow,48,shallow,47,screen_depth2,429.00500000000005,388,629,629,241,2,47,484,184,0,0,0.028406291996361688,True,1,0,True,47,47,0
