dataset,index,name,preset_name,n,anf_terms,method,flow,T,CNOT,depth,gates,explicit_ancilla,peak_ancilla,n_qubits,score,correct,source_blif_correct,verilog_correct,time_s,abc_time_s,cirkit_time_s,verify_time_s,aig_gates,aig_level,mc_size,mc_depth,cirkit_commit,abc_binary,cirkit_binary,source_manifest,skipped,error,aig_inputs,aig_outputs
highdim,19,anf_n14_19,anf_n14_19,14,56,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",24248,36373,229,12125,6062,6062,6077,37951.604999999996,True,True,True,2.536841869354248,0.04641413688659668,2.2937662601470947,0.10298395156860352,6062,38,6062,38,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/highdim_resource_external_seed42,,,14,1
highdim,2,anf_n14_2,anf_n14_2,14,1010,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",42216,63325,295,21109,10554,10554,10569,66072.515,True,True,True,4.339272975921631,0.054609060287475586,4.068144798278809,0.12043166160583496,10554,49,10554,49,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/highdim_resource_external_seed42,,,14,1
highdim,20,anf_n14_20,anf_n14_20,14,1018,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",41956,62935,289,20979,10489,10489,10504,65665.525,True,True,True,4.273066997528076,0.05333399772644043,3.9984817504882812,0.12281513214111328,10489,48,10489,48,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/highdim_resource_external_seed42,,,14,1
highdim,21,anf_n14_21,anf_n14_21,14,10,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",400,601,91,201,100,100,115,627.415,True,True,True,0.32471394538879395,0.04009294509887695,0.11262321472167969,0.07422304153442383,100,15,100,15,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/highdim_resource_external_seed42,,,14,1
highdim,22,anf_n14_22,anf_n14_22,14,321,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",38580,57871,271,19291,9645,9645,9660,60381.815,True,True,True,3.969879150390625,0.04951882362365723,3.708683967590332,0.11794281005859375,9645,45,9645,45,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/highdim_resource_external_seed42,,,14,1
highdim,23,anf_n14_23,anf_n14_23,14,53,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",18556,27835,187,9279,4639,4639,4654,29042.995000000003,True,True,True,2.035823106765747,0.04550027847290039,1.8016490936279297,0.09389686584472656,4639,31,4639,31,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/highdim_resource_external_seed42,,,14,1
highdim,24,anf_n14_24,anf_n14_24,14,45,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",13572,20359,169,6787,3393,3393,3408,21242.765,True,True,True,2.463524103164673,0.04540514945983887,2.2340826988220215,0.08948111534118652,3393,28,3393,28,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/highdim_resource_external_seed42,,,14,1
highdim,25,anf_n14_25,anf_n14_25,14,6,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",56,85,49,29,14,14,29,88.425,True,True,True,0.29073190689086914,0.03872799873352051,0.08025884628295898,0.07640385627746582,14,8,14,8,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/highdim_resource_external_seed42,,,14,1
highdim,26,anf_n14_26,anf_n14_26,14,6,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",216,325,73,109,54,54,69,339.185,True,True,True,0.3031151294708252,0.0375370979309082,0.08992886543273926,0.07457709312438965,54,12,54,12,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/highdim_resource_external_seed42,,,14,1
highdim,27,anf_n14_27,anf_n14_27,14,10,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",660,991,97,331,165,165,180,1034.405,True,True,True,0.341749906539917,0.04204702377319336,0.13048291206359863,0.07513284683227539,165,16,165,16,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/highdim_resource_external_seed42,,,14,1
