losses,mean_baseline,mean_relative_pct,mean_target,metric,pairs,ties,wins
0,10389.333333333334,-4.083396554291552,10060.666666666666,T,12,1,11
0,16268.416666666666,-3.6043173547677894,15757.916666666666,CNOT,12,1,11
0,16268.5,-3.60427314379543,15758.0,depth,12,1,11
5,3.0833333333333335,10.277777777777777,3.5,peak_ancilla,12,7,0
0,11349.055833333334,-3.9880164309106885,10991.326666666668,score,12,1,11
11,0.8425406813621521,58.810635043418976,1.449048678080241,time_s,12,0,1
