bit,direct_score,resource_score,direct_T,resource_T,direct_CNOT,resource_CNOT,improvement_pct,correct
0,1542.47,789.53,1372,688,2177,1289,48.81,True
1,1586.71,775.92,1412,676,2235,1211,51.1,True
2,1818.76,857.22,1620,748,2562,1335,52.87,True
3,1885.52,847.42,1680,740,2654,1311,55.06,True
4,1707.44,915.89,1520,800,2408,1427,46.36,True
5,1667.27,817.02,1484,712,2351,1282,51.0,True
6,1829.91,890.88,1628,776,2577,1386,51.32,True
7,1693.8,835.82,1508,728,2386,1316,50.65,True
