losses,mean_baseline,mean_relative_pct,mean_target,metric,pairs,ties,wins
0,3700.3333333333335,-0.5228419420398032,3674.1666666666665,T,24,8,16
1,6404.5,-0.5004687992408224,6358.833333333333,CNOT,24,6,17
1,6404.625,-0.5004397658080255,6358.958333333333,depth,24,6,17
1,3.375,0.8333333333333334,3.4166666666666665,peak_ancilla,24,23,0
0,4084.0472916666663,-0.5190096652341761,4055.2514583333336,score,24,6,18
24,27.845824350913364,356.64155230714124,133.0679288903872,time_s,24,0,0
