name,n,profile,term_count,truth_build_time_s,method,score,T,CNOT,depth,gates,peak_ancilla,schedule_logical_depth,schedule_cnot_depth_proxy,schedule_t_depth_proxy,explicit_ancilla_live_peak,explicit_ancilla_lifetime_area,plan_time_s,truth_verify_time_s,truth_verified,anf_verified,plan_nodes,plan_mismatches,circuit_anf_verified,circuit_gates,circuit_max_wire_terms,circuit_mismatches
truth_bridge_n30_002_deep,30,deep,202,54.95845658300095,screen_depth1,2397.295,2180,3463,3463,1283,7,191,2319,1060,1,25,0.25306683298549615,44.32460387502215,True,True,5,0,True,193,202,0
truth_bridge_n30_002_deep,30,deep,202,54.95845658300095,screen_depth2,2327.5649999999996,2116,3365,3365,1249,7,189,2259,1031,1,35,1.264621874986915,30.34108720900258,True,True,7,0,True,191,202,0
truth_bridge_n30_002_deep,30,deep,202,54.95845658300095,screen_depth3,2292.83,2084,3318,3318,1234,7,191,2230,1015,1,42,4.96772033299203,30.498617542005377,True,True,9,0,True,192,202,0
truth_bridge_n30_002_deep,30,deep,202,54.95845658300095,screen_depth4,2258.0950000000003,2052,3271,3271,1219,7,191,2191,999,1,49,15.652663165994454,31.253088500001468,True,True,11,0,True,193,202,0
truth_bridge_n30_002_deep,30,deep,202,54.95845658300095,screen_single,2497.6049999999996,2272,3605,3605,1333,7,197,2421,1105,1,13,0.04292845900636166,52.56111754200538,True,True,3,0,True,197,202,0
truth_bridge_n30_003_shallow,30,shallow,48,6.266974167025182,adaptive_all_depth,479.05,432,698,698,266,3,48,461,208,1,6,0.07402850000653416,6.088141375017585,True,True,3,0,True,50,48,0
truth_bridge_n30_003_shallow,30,shallow,48,6.266974167025182,depth2_guard_direct,479.05,432,698,698,266,3,48,461,208,1,6,0.016304916993249208,6.783185874985065,True,True,3,0,True,50,48,0
truth_bridge_n30_003_shallow,30,shallow,48,6.266974167025182,depth_frontier_policy,479.05,432,698,698,266,3,48,461,208,1,6,0.016304916993249208,6.783185874985065,True,True,3,0,True,50,48,0
truth_bridge_n30_003_shallow,30,shallow,48,6.266974167025182,depth_policy,479.05,432,698,698,266,3,48,461,208,1,6,0.015995374997146428,7.044729167013429,True,True,3,0,True,50,48,0
truth_bridge_n30_003_shallow,30,shallow,48,6.266974167025182,direct_logical_and,500.67,452,726,726,274,3,48,483,218,0,0,2.633300027810037e-05,5.915015666018007,True,True,1,0,True,48,48,0
truth_bridge_n30_003_shallow,30,shallow,48,6.266974167025182,screen_depth1,479.05,432,698,698,266,3,48,461,208,1,6,0.015995374997146428,7.044729167013429,True,True,3,0,True,50,48,0
truth_bridge_n30_003_shallow,30,shallow,48,6.266974167025182,screen_depth2,479.05,432,698,698,266,3,48,461,208,1,6,0.016304916993249208,6.783185874985065,True,True,3,0,True,50,48,0
truth_bridge_n30_003_shallow,30,shallow,48,6.266974167025182,screen_depth3,479.05,432,698,698,266,3,48,461,208,1,6,0.016463250009110197,7.18922383300378,True,True,3,0,True,50,48,0
truth_bridge_n30_003_shallow,30,shallow,48,6.266974167025182,screen_depth4,479.05,432,698,698,266,3,48,461,208,1,6,0.0166752910008654,7.594169415999204,True,True,3,0,True,50,48,0
truth_bridge_n30_003_shallow,30,shallow,48,6.266974167025182,screen_single,479.05,432,698,698,266,3,48,461,208,1,6,0.008589667006162927,6.088141375017585,True,True,3,0,True,50,48,0
truth_bridge_n30_004_mixed,30,mixed,138,20.37043900002027,adaptive_all_depth,1023.105,924,1513,1513,589,5,125,1145,437,1,51,12.94419733301038,16.4240907090134,True,True,11,0,True,127,138,0
truth_bridge_n30_004_mixed,30,mixed,138,20.37043900002027,depth2_guard_direct,1105.625,1000,1625,1625,625,5,123,1213,474,1,37,0.7786739580042195,17.389098624989856,True,True,7,0,True,125,138,0
truth_bridge_n30_004_mixed,30,mixed,138,20.37043900002027,depth_frontier_policy,1105.625,1000,1625,1625,625,5,123,1213,474,1,37,0.7786739580042195,17.389098624989856,True,True,7,0,True,125,138,0
truth_bridge_n30_004_mixed,30,mixed,138,20.37043900002027,depth_policy,1105.625,1000,1625,1625,625,5,123,1213,474,1,37,0.7786739580042195,17.389098624989856,True,True,7,0,True,125,138,0
truth_bridge_n30_004_mixed,30,mixed,138,20.37043900002027,direct_logical_and,1417.6699999999998,1288,2070,2070,782,4,138,1505,614,0,0,8.154200622811913e-05,21.439934250025544,True,True,1,0,True,138,138,0
truth_bridge_n30_004_mixed,30,mixed,138,20.37043900002027,screen_depth1,1192.885,1080,1749,1749,669,5,127,1297,512,1,25,0.1596831250062678,18.07255025001359,True,True,5,0,True,129,138,0
truth_bridge_n30_004_mixed,30,mixed,138,20.37043900002027,screen_depth2,1105.625,1000,1625,1625,625,5,123,1213,474,1,37,0.7786739580042195,17.389098624989856,True,True,7,0,True,125,138,0
truth_bridge_n30_004_mixed,30,mixed,138,20.37043900002027,screen_depth3,1044.725,944,1541,1541,597,5,124,1162,446,1,45,3.0034055419964716,16.69727229201817,True,True,9,0,True,125,138,0
truth_bridge_n30_004_mixed,30,mixed,138,20.37043900002027,screen_depth4,1023.105,924,1513,1513,589,5,125,1145,437,1,51,8.977581457991619,16.4240907090134,True,True,11,0,True,127,138,0
truth_bridge_n30_004_mixed,30,mixed,138,20.37043900002027,screen_single,1293.2600000000002,1172,1892,1892,720,5,132,1399,556,1,12,0.02485325001180172,19.138504665985238,True,True,3,0,True,134,138,0
truth_bridge_n30_005_deep,30,deep,204,31.787693999998737,adaptive_all_depth,1896.98,1720,2772,2772,1052,7,190,2163,821,1,52,21.298604832962155,18.72890329200891,True,True,11,0,True,192,204,0
truth_bridge_n30_005_deep,30,deep,204,31.787693999998737,depth2_guard_direct,2010.21,1824,2930,2930,1106,7,192,2271,869,1,34,1.2282651249843184,25.43077637499664,True,True,7,0,True,194,204,0
truth_bridge_n30_005_deep,30,deep,204,31.787693999998737,depth_frontier_policy,1896.98,1720,2772,2772,1052,7,190,2163,821,1,52,14.907724958000472,18.72890329200891,True,True,11,0,True,192,204,0
truth_bridge_n30_005_deep,30,deep,204,31.787693999998737,depth_policy,2010.21,1824,2930,2930,1106,7,192,2271,869,1,34,1.2282651249843184,25.43077637499664,True,True,7,0,True,194,204,0
truth_bridge_n30_005_deep,30,deep,204,31.787693999998737,direct_logical_and,2315.36,2104,3360,3360,1256,7,204,2537,1005,0,0,8.504200377501547e-05,32.38032137497794,True,True,1,0,True,204,204,0
truth_bridge_n30_005_deep,30,deep,204,31.787693999998737,screen_depth1,2097.34,1904,3052,3052,1148,7,194,2351,909,1,24,0.2510666250018403,26.914625334000448,True,True,5,0,True,196,204,0
truth_bridge_n30_005_deep,30,deep,204,31.787693999998737,screen_depth2,2010.21,1824,2930,2930,1106,7,192,2271,869,1,34,1.2282651249843184,25.43077637499664,True,True,7,0,True,194,204,0
truth_bridge_n30_005_deep,30,deep,204,31.787693999998737,screen_depth3,1944.83,1764,2838,2838,1074,7,190,2203,841,1,44,4.874036624998553,19.257444457995007,True,True,9,0,True,192,204,0
truth_bridge_n30_005_deep,30,deep,204,31.787693999998737,screen_depth4,1896.98,1720,2772,2772,1052,7,190,2163,821,1,52,14.907724958000472,18.72890329200891,True,True,11,0,True,192,204,0
truth_bridge_n30_005_deep,30,deep,204,31.787693999998737,screen_single,2197.65,1996,3194,3194,1198,7,198,2435,952,1,12,0.03751149997697212,31.408320041984553,True,True,3,0,True,200,204,0
