baseline_CNOT,baseline_T,baseline_depth,baseline_peak_ancilla,baseline_score,baseline_time_s,name,relative_CNOT_pct,relative_T_pct,relative_depth_pct,relative_peak_ancilla_pct,relative_score_pct,relative_time_s_pct,target_CNOT,target_T,target_depth,target_peak_ancilla,target_score,target_time_s
102.0,52.0,102.0,1.0,60.11,20.938929080963135,anf_n18_0,9.803921568627452,15.384615384615385,9.803921568627452,0.0,14.25719514223924,-96.48566590401461,112.0,60.0,112.0,1.0,68.68,0.7358639240264893
17447.0,10004.0,17447.0,4.0,11039.275,87.9294080734253,anf_n18_1,40.90101450106036,56.5373850459816,40.90101450106036,0.0,54.98567614268146,-98.98344715879333,24583.0,15660.0,24583.0,4.0,17109.295,0.8938488960266113
6532.0,3840.0,6533.0,4.0,4232.924999999999,87.52537393569946,anf_n18_10,40.20208205756276,49.791666666666664,40.195928363692026,-25.0,48.733440824016505,-99.05572780912178,9158.0,5752.0,9159.0,3.0,6295.775,0.8264777660369873
2672.0,1532.0,2672.0,3.0,1695.48,66.78791189193726,anf_n18_11,31.62425149700599,44.12532637075718,31.62425149700599,0.0,42.763406233043156,-98.87004694547551,3517.0,2208.0,3517.0,3.0,2420.525,0.7546720504760742
18600.0,10644.0,18600.0,4.0,11747.24,92.47424983978271,anf_n18_2,41.89784946236559,57.94813979706878,41.89784946236559,0.0,56.35523748557111,-99.02344169564348,26393.0,16812.0,26393.0,4.0,18367.425000000003,0.9030649662017822
41248.0,24452.0,41248.0,5.0,26886.32,205.10063099861145,anf_n18_3,46.99864235841738,59.31621135285457,46.99864235841738,0.0,58.13859985301075,-99.45904699630381,60634.0,38956.0,60634.0,5.0,42517.65,1.1094980239868164
4999.0,2916.0,4999.0,3.0,3216.6150000000002,79.10152292251587,anf_n18_4,36.44728945789158,46.776406035665296,36.44728945789158,0.0,45.69866148109112,-99.01531737239186,6821.0,4280.0,6821.0,3.0,4686.565,0.7788989543914795
11762.0,6748.0,11762.0,4.0,7448.45,128.08787608146667,anf_n18_5,39.491583064104745,54.83106105512745,39.491583064104745,0.0,53.29330263343381,-99.33788337238968,16407.0,10448.0,16407.0,4.0,11417.975,0.8480911254882812
449.0,240.0,449.0,2.0,270.585,24.17253875732422,anf_n18_6,10.46770601336303,25.0,10.46770601336303,0.0,23.155385553522915,-96.88846524034803,496.0,300.0,496.0,2.0,333.23999999999995,0.7521369457244873
29800.0,17560.0,29800.0,5.0,19321.56,147.06465888023376,anf_n18_7,44.95973154362416,58.04100227790433,44.95973154362416,0.0,56.78004260525545,-99.32352273635706,43198.0,27752.0,43198.0,5.0,30292.35,0.994858980178833
2902.0,1676.0,2902.0,3.0,1853.01,67.41537618637085,anf_n18_8,31.77119228118539,43.198090692124104,31.77119228118539,0.0,41.9614573046017,-98.86035812445739,3824.0,2400.0,3824.0,3.0,2630.56,0.7682938575744629
76.0,36.0,90.0,1.0,42.93,20.976731777191162,anf_n18_9,2.631578947368421,22.22222222222222,-13.333333333333334,-100.0,13.277428371768002,-96.44948176796848,78.0,44.0,78.0,0.0,48.63,0.7447826862335205
