n,name,direct_score,resource_score,improvement_pct,correct,direct_T,resource_T,time_s
10,truth_n10_0,8906.8,4376.8,50.9,True,7976,3872,213.9
10,truth_n10_1,8681.6,4489.9,48.3,True,7772,3972,266.1
10,truth_n10_2,9729.6,4491.5,53.8,True,8712,3972,189.9
11,truth_n11_0,19521.4,10004.3,48.8,True,17500,8876,652.2
11,truth_n11_1,21038.6,10210.6,51.5,True,18864,9060,507.1
11,truth_n11_2,20704.5,10013.1,51.6,True,18564,8884,488.7
