n,method,functions,mean_terms,mean_T,mean_CNOT,mean_depth,mean_peak_ancilla,mean_schedule_logical_depth,mean_schedule_cnot_depth_proxy,mean_schedule_t_depth_proxy,mean_explicit_ancilla_live_peak,mean_explicit_ancilla_lifetime_area,mean_score,mean_plan_time_s,mean_truth_build_time_s,mean_truth_verify_time_s,truth_verified_rows,anf_verified_rows,circuit_verified_rows,mean_circuit_max_wire_terms
21,adaptive_all_depth,6,125.83333333333333,1049.3333333333333,1696.3333333333333,1696.3333333333333,5.5,120.66666666666667,1245.6666666666667,505,1,38.166666666666664,1160.1016666666667,5.929792312166683,12.084956485998797,0.009869125001083981,6,6,6,125.83333333333333
21,depth2_guard_direct,6,125.83333333333333,1092.6666666666667,1760.5,1760.5,5.5,119.83333333333333,1296.6666666666667,524.6666666666666,1,27,1207.1725,0.3697089581667872,12.084956485998797,0.010022124833388565,6,6,6,125.83333333333333
21,depth_frontier_policy,6,125.83333333333333,1054,1702,1702,5.5,119.33333333333333,1251.6666666666667,507.1666666666667,1,35.5,1165.09,3.6171440625003015,12.084956485998797,0.009869951332802884,6,6,6,125.83333333333333
21,depth_policy,6,125.83333333333333,1092.6666666666667,1760.5,1760.5,5.5,119.83333333333333,1296.6666666666667,524.6666666666666,1,27,1207.1725,0.3686371386659933,12.084956485998797,0.010019583166770948,6,6,6,125.83333333333333
21,direct_logical_and,6,125.83333333333333,1262.6666666666667,2019.8333333333333,2019.8333333333333,4.833333333333333,125.83333333333333,1473,606.5,0,0,1390.9958333333334,6.416500885582839e-06,12.084956485998797,0.012003847332380246,6,6,6,125.83333333333333
21,screen_depth1,6,125.83333333333333,1125.3333333333333,1809.5,1809.5,5.333333333333333,119.83333333333333,1328,539.5,1,20.333333333333332,1242.3641666666667,0.07891543733179181,12.084956485998797,0.010303687500709202,6,6,6,125.83333333333333
21,screen_depth2,6,125.83333333333333,1092.6666666666667,1760.5,1760.5,5.5,119.83333333333333,1296.6666666666667,524.6666666666666,1,27,1207.1725,0.3697089581667872,12.084956485998797,0.010022124833388565,6,6,6,125.83333333333333
21,screen_depth3,6,125.83333333333333,1070,1727.1666666666667,1727.1666666666667,5.5,120.5,1268.6666666666667,514.1666666666666,1,33,1182.5658333333333,1.3821966319992498,12.084956485998797,0.009924750002634633,6,6,6,125.83333333333333
21,screen_depth4,6,125.83333333333333,1049.3333333333333,1696.3333333333333,1696.3333333333333,5.5,120.66666666666667,1245.6666666666667,505,1,38.166666666666664,1160.1016666666667,4.086454784667391,12.084956485998797,0.00986948600014633,6,6,6,125.83333333333333
21,screen_single,6,125.83333333333333,1175.3333333333333,1885,1885,5.333333333333333,120.5,1379.8333333333333,564.1666666666666,1,11.833333333333334,1296.7716666666665,0.012516500001462797,12.084956485998797,0.010650673665319724,6,6,6,125.83333333333333
22,adaptive_all_depth,6,123.16666666666667,976,1581.8333333333333,1581.8333333333333,5.166666666666667,116.5,1180.8333333333333,464.3333333333333,0.8333333333333334,37.333333333333336,1079.3925000000002,6.653675652996753,50.33506212516901,0.01904609066696139,6,6,6,123.16666666666667
22,depth2_guard_direct,6,123.16666666666667,1036.6666666666667,1673.1666666666667,1673.1666666666667,5.166666666666667,116.83333333333333,1246.8333333333333,492.6666666666667,0.8333333333333334,25,1145.3891666666668,0.4105044581653298,50.33506212516901,0.02003238900094099,6,6,6,123.16666666666667
22,depth_frontier_policy,6,123.16666666666667,976,1581.8333333333333,1581.8333333333333,5.166666666666667,116.5,1180.8333333333333,464.3333333333333,0.8333333333333334,37.333333333333336,1079.3925000000002,4.575655770999826,50.33506212516901,0.01904609066696139,6,6,6,123.16666666666667
22,depth_policy,6,123.16666666666667,1038.6666666666667,1675.8333333333333,1675.8333333333333,5.166666666666667,116.16666666666667,1249.1666666666667,493.5,0.8333333333333334,24,1147.5425,0.39787611099745845,50.33506212516901,0.020121881831679882,6,6,6,123.16666666666667
22,direct_logical_and,6,123.16666666666667,1189.3333333333333,1907.1666666666667,1907.1666666666667,5,123.16666666666667,1414.1666666666667,564.3333333333334,0,0,1311.4058333333332,1.169433380709961e-05,50.33506212516901,0.024567090165267775,6,6,6,123.16666666666667
22,screen_depth1,6,123.16666666666667,1080,1739,1739,5.166666666666667,117.33333333333333,1293.5,513.1666666666666,0.8333333333333334,17.5,1192.5683333333334,0.08708620833203895,50.33506212516901,0.020888444666828338,6,6,6,123.16666666666667
22,screen_depth2,6,123.16666666666667,1036.6666666666667,1673.1666666666667,1673.1666666666667,5.166666666666667,116.83333333333333,1246.8333333333333,492.6666666666667,0.8333333333333334,25,1145.3891666666668,0.41051414566633565,50.33506212516901,0.020035236332963297,6,6,6,123.16666666666667
22,screen_depth3,6,123.16666666666667,998.6666666666666,1615.8333333333333,1615.8333333333333,5.166666666666667,116.5,1206.8333333333333,474.5,0.8333333333333334,32,1104.0425,1.5509007640005923,50.33506212516901,0.019413090335244004,6,6,6,123.16666666666667
22,screen_depth4,6,123.16666666666667,976,1581.8333333333333,1581.8333333333333,5.166666666666667,116.5,1180.8333333333333,464.3333333333333,0.8333333333333334,37.333333333333336,1079.3925000000002,4.59128908349885,50.33506212516901,0.019029146165848942,6,6,6,123.16666666666667
22,screen_single,6,123.16666666666667,1130,1816,1816,5.166666666666667,119.83333333333333,1352,536.3333333333334,0.8333333333333334,8.833333333333334,1247.0733333333333,0.013885451498936163,50.33506212516901,0.02211924299990642,6,6,6,123.16666666666667
