n,method,functions,mean_terms,mean_T,mean_CNOT,mean_depth,mean_peak_ancilla,mean_schedule_logical_depth,mean_schedule_cnot_depth_proxy,mean_schedule_t_depth_proxy,mean_explicit_ancilla_live_peak,mean_explicit_ancilla_lifetime_area,mean_score,mean_plan_time_s,mean_truth_build_time_s,mean_truth_verify_time_s,truth_verified_rows,anf_verified_rows,circuit_verified_rows,mean_circuit_max_wire_terms
23,adaptive_all_depth,6,117.66666666666667,980,1586.6666666666667,1586.6666666666667,5,115,1118.5,469.3333333333333,0.8333333333333334,34.333333333333336,1083.3333333333335,7.508436500501072,209.53536472916676,0.040866764165305845,6,6,6,117.66666666666667
23,depth2_guard_direct,6,117.66666666666667,1008,1625.8333333333333,1625.8333333333333,4.833333333333333,112.16666666666667,1146.8333333333333,481,0.8333333333333334,23.833333333333332,1113.2658333333334,0.4304064585012384,209.53536472916676,0.04162871516746236,6,6,6,117.66666666666667
23,depth_frontier_policy,6,117.66666666666667,983.3333333333334,1590.8333333333333,1590.8333333333333,5,114.16666666666667,1120.8333333333333,470.6666666666667,0.8333333333333334,32.5,1086.9041666666667,4.946685923834593,209.53536472916676,0.04071422249883957,6,6,6,117.66666666666667
23,depth_policy,6,117.66666666666667,1008,1625.8333333333333,1625.8333333333333,4.833333333333333,112.16666666666667,1146.8333333333333,481,0.8333333333333334,23.833333333333332,1113.2658333333334,0.4304064585012384,209.53536472916676,0.04162871516746236,6,6,6,117.66666666666667
23,direct_logical_and,6,117.66666666666667,1152.6666666666667,1846.6666666666667,1846.6666666666667,4.333333333333333,117.66666666666667,1297.5,549.8333333333334,0,0,1269.84,1.1784834593224028e-05,209.53536472916676,0.050655166664607044,6,6,6,117.66666666666667
23,screen_depth1,6,117.66666666666667,1034.6666666666667,1665.1666666666667,1665.1666666666667,4.833333333333333,112,1178,493.8333333333333,0.8333333333333334,17.833333333333332,1142.2225,0.09382893766451161,209.53536472916676,0.0423708816645861,6,6,6,117.66666666666667
23,screen_depth2,6,117.66666666666667,1008,1625.8333333333333,1625.8333333333333,4.833333333333333,112.16666666666667,1146.8333333333333,481,0.8333333333333334,23.833333333333332,1113.2658333333334,0.4304064585012384,209.53536472916676,0.04162871516746236,6,6,6,117.66666666666667
23,screen_depth3,6,117.66666666666667,986.6666666666666,1594.8333333333333,1594.8333333333333,5,113.16666666666667,1125.5,471.3333333333333,0.8333333333333334,29.5,1090.4641666666666,1.7088311804994494,209.53536472916676,0.04133637533232104,6,6,6,117.66666666666667
23,screen_depth4,6,117.66666666666667,980,1586.6666666666667,1586.6666666666667,5,115,1118.5,469.3333333333333,0.8333333333333334,34.333333333333336,1083.3333333333335,5.261432159669009,209.53536472916676,0.040836555665009655,6,6,6,117.66666666666667
23,screen_single,6,117.66666666666667,1086,1743.1666666666667,1743.1666666666667,4.833333333333333,113,1230.6666666666667,519.1666666666666,0.8333333333333334,10.166666666666666,1198.1125,0.013937764166864023,209.53536472916676,0.043738569166938156,6,6,6,117.66666666666667
