dataset,name,n,budget,cap_fraction,peak_cap,feasible,method,selected_policy,selected_k,T,CNOT,depth,gates,explicit_ancilla,peak_ancilla,n_qubits,score,lut_nodes,lut_edges,checkpoint_nodes,expanded_compute_calls,keep_peak_ancilla,keep_score,peak_reduction_vs_keep_pct,score_change_vs_keep_pct,official_ros_fully_reproduced
n14,anf_n14_13,14,keep100,1.0,6690,True,external_ros_lut_garbage_budget_keep100,keep_all_bennett,3,150192.0,267193.0,271095.0,120903.0,6689.0,6690.0,6704.0,179535.175,6689.0,10584.0,6689.0,13378.0,6690.0,179535.175,0.0,0.0,False
n14,anf_n14_13,14,line75,0.75,5017,True,external_ros_lut_garbage_budget_line75,fanout_checkpoint,3,241054461840.0,429026536729.0,436136221215.0,195081759375.0,655.0,713.0,670.0,266708385647.135,6689.0,10584.0,654.0,21661495930.0,6690.0,179535.175,89.3423019431988,148554847.8797874,False
n14,anf_n14_13,14,line50,0.5,3345,True,external_ros_lut_garbage_budget_line50,fanout_checkpoint,3,241054461840.0,429026536729.0,436136221215.0,195081759375.0,655.0,713.0,670.0,266708385647.135,6689.0,10584.0,654.0,21661495930.0,6690.0,179535.175,89.3423019431988,148554847.8797874,False
n14,anf_n14_13,14,line25,0.25,1672,True,external_ros_lut_garbage_budget_line25,fanout_checkpoint,3,241054461840.0,429026536729.0,436136221215.0,195081759375.0,655.0,713.0,670.0,266708385647.135,6689.0,10584.0,654.0,21661495930.0,6690.0,179535.175,89.3423019431988,148554847.8797874,False
n14,anf_n14_13,14,minline,0.0,62.0,True,external_ros_lut_garbage_budget_minline,zero_checkpoint,3,437253601464.0,825082372205.0,846016739327.0,408763137863.0,1.0,62.0,16.0,487034778944.735,6689.0,10584.0,0.0,72151132278.0,6690.0,179535.175,99.07324364723468,271275308.2562011,False
n14,anf_n14_14,14,keep100,1.0,89,True,external_ros_lut_garbage_budget_keep100,keep_all_bennett,3,1432.0,2745.0,2825.0,1393.0,88.0,89.0,103.0,1776.105,88.0,98.0,88.0,176.0,89.0,1776.105,0.0,0.0,False
n14,anf_n14_14,14,line75,0.75,66,True,external_ros_lut_garbage_budget_line75,fanout_checkpoint,3,28816.0,57021.0,58791.0,29975.0,9.0,21.0,24.0,32320.455,88.0,98.0,8.0,4370.0,89.0,1776.105,76.40449438202248,1719.7378533363737,False
n14,anf_n14_14,14,line50,0.5,44,True,external_ros_lut_garbage_budget_line50,fanout_checkpoint,3,28816.0,57021.0,58791.0,29975.0,9.0,21.0,24.0,32320.455,88.0,98.0,8.0,4370.0,89.0,1776.105,76.40449438202248,1719.7378533363737,False
n14,anf_n14_14,14,line25,0.25,22,True,external_ros_lut_garbage_budget_line25,fanout_checkpoint,3,28816.0,57021.0,58791.0,29975.0,9.0,21.0,24.0,32320.455,88.0,98.0,8.0,4370.0,89.0,1776.105,76.40449438202248,1719.7378533363737,False
n14,anf_n14_14,14,minline,0.0,17.0,True,external_ros_lut_garbage_budget_minline,zero_checkpoint,3,86048.0,171239.0,177185.0,91137.0,1.0,17.0,16.0,96500.705,88.0,98.0,0.0,14122.0,89.0,1776.105,80.89887640449439,5333.27703035575,False
n14,anf_n14_15,14,keep100,1.0,1,True,external_ros_lut_garbage_budget_keep100,fanout_checkpoint,5,16.0,29.0,29.0,13.0,1.0,1.0,16.0,19.725,1.0,0.0,0.0,2.0,1.0,19.725,0.0,0.0,False
n14,anf_n14_15,14,line75,0.75,1,True,external_ros_lut_garbage_budget_line75,fanout_checkpoint,5,16.0,29.0,29.0,13.0,1.0,1.0,16.0,19.725,1.0,0.0,0.0,2.0,1.0,19.725,0.0,0.0,False
n14,anf_n14_15,14,line50,0.5,1,True,external_ros_lut_garbage_budget_line50,fanout_checkpoint,5,16.0,29.0,29.0,13.0,1.0,1.0,16.0,19.725,1.0,0.0,0.0,2.0,1.0,19.725,0.0,0.0,False
n14,anf_n14_15,14,line25,0.25,1,True,external_ros_lut_garbage_budget_line25,fanout_checkpoint,5,16.0,29.0,29.0,13.0,1.0,1.0,16.0,19.725,1.0,0.0,0.0,2.0,1.0,19.725,0.0,0.0,False
n14,anf_n14_15,14,minline,0.0,1.0,True,external_ros_lut_garbage_budget_minline,fanout_checkpoint,5,16.0,29.0,29.0,13.0,1.0,1.0,16.0,19.725,1.0,0.0,0.0,2.0,1.0,19.725,0.0,0.0,False
n14,anf_n14_16,14,keep100,1.0,1736,True,external_ros_lut_garbage_budget_keep100,keep_all_bennett,3,39856.0,71153.0,72157.0,32301.0,1735.0,1736.0,1750.0,47579.485,1735.0,2264.0,1735.0,3470.0,1736.0,47579.485,0.0,0.0,False
n14,anf_n14_16,14,line75,0.75,1302,True,external_ros_lut_garbage_budget_line75,fanout_checkpoint,3,29011312.0,51611099.0,52318909.0,23307597.0,196.0,221.0,211.0,32094057.565,1735.0,2264.0,195.0,2558844.0,1736.0,47579.485,87.26958525345623,67353.56231787712,False
n14,anf_n14_16,14,line50,0.5,868,True,external_ros_lut_garbage_budget_line50,fanout_checkpoint,3,29011312.0,51611099.0,52318909.0,23307597.0,196.0,221.0,211.0,32094057.565,1735.0,2264.0,195.0,2558844.0,1736.0,47579.485,87.26958525345623,67353.56231787712,False
n14,anf_n14_16,14,line25,0.25,434,True,external_ros_lut_garbage_budget_line25,fanout_checkpoint,3,29011312.0,51611099.0,52318909.0,23307597.0,196.0,221.0,211.0,32094057.565,1735.0,2264.0,195.0,2558844.0,1736.0,47579.485,87.26958525345623,67353.56231787712,False
n14,anf_n14_16,14,minline,0.0,29.0,True,external_ros_lut_garbage_budget_minline,zero_checkpoint,3,49891536.0,92826931.0,94978093.0,45086557.0,1.0,29.0,16.0,55480208.205,1735.0,2264.0,0.0,6944886.0,1736.0,47579.485,98.32949308755761,116505.31467501172,False
n14,anf_n14_17,14,keep100,1.0,4722,True,external_ros_lut_garbage_budget_keep100,keep_all_bennett,3,107696.0,191371.0,194087.0,86391.0,4721.0,4722.0,4736.0,128570.055,4721.0,6903.0,4721.0,9442.0,4722.0,128570.055,0.0,0.0,False
n14,anf_n14_17,14,line75,0.75,3541,True,external_ros_lut_garbage_budget_line75,fanout_checkpoint,3,986574640.0,1747215899.0,1773263593.0,786688953.0,440.0,480.0,455.0,1090930079.385,4721.0,6903.0,439.0,87235480.0,4722.0,128570.055,89.83481575603558,848410.2377727069,False
n14,anf_n14_17,14,line50,0.5,2361,True,external_ros_lut_garbage_budget_line50,fanout_checkpoint,3,986574640.0,1747215899.0,1773263593.0,786688953.0,440.0,480.0,455.0,1090930079.385,4721.0,6903.0,439.0,87235480.0,4722.0,128570.055,89.83481575603558,848410.2377727069,False
n14,anf_n14_17,14,line25,0.25,1180,True,external_ros_lut_garbage_budget_line25,fanout_checkpoint,3,986574640.0,1747215899.0,1773263593.0,786688953.0,440.0,480.0,455.0,1090930079.385,4721.0,6903.0,439.0,87235480.0,4722.0,128570.055,89.83481575603558,848410.2377727069,False
n14,anf_n14_17,14,minline,0.0,43.0,True,external_ros_lut_garbage_budget_minline,zero_checkpoint,3,1680341776.0,3145697423.0,3221453281.0,1541111505.0,1.0,43.0,16.0,1869902673.185,4721.0,6903.0,0.0,261652942.0,4722.0,128570.055,99.08936891147819,1454284.2834826508,False
n14,anf_n14_18,14,keep100,1.0,6766,True,external_ros_lut_garbage_budget_keep100,keep_all_bennett,3,152912.0,272213.0,276091.0,123179.0,6765.0,6766.0,6780.0,182705.675,6765.0,10593.0,6765.0,13530.0,6766.0,182705.675,0.0,0.0,False
n14,anf_n14_18,14,line75,0.75,5074,True,external_ros_lut_garbage_budget_line75,fanout_checkpoint,3,862553414232.0,1534705950847.0,1559549946115.0,696996531883.0,666.0,732.0,681.0,954304868240.4349,6765.0,10593.0,665.0,77217955420.0,6766.0,182705.675,89.18120011823825,522318031.73862,False
n14,anf_n14_18,14,line50,0.5,3383,True,external_ros_lut_garbage_budget_line50,fanout_checkpoint,3,862553414232.0,1534705950847.0,1559549946115.0,696996531883.0,666.0,732.0,681.0,954304868240.4349,6765.0,10593.0,665.0,77217955420.0,6766.0,182705.675,89.18120011823825,522318031.73862,False
n14,anf_n14_18,14,line25,0.25,1691,True,external_ros_lut_garbage_budget_line25,fanout_checkpoint,3,862553414232.0,1534705950847.0,1559549946115.0,696996531883.0,666.0,732.0,681.0,954304868240.4349,6765.0,10593.0,665.0,77217955420.0,6766.0,182705.675,89.18120011823825,522318031.73862,False
n14,anf_n14_18,14,minline,0.0,68.0,True,external_ros_lut_garbage_budget_minline,zero_checkpoint,3,1566415240848.0,2947161553037.0,3021709089579.0,1455293848731.0,1.0,68.0,16.0,1744180277936.475,6765.0,10593.0,0.0,249099364526.0,6766.0,182705.675,98.99497487437186,954639255.3109257,False
n14,anf_n14_19,14,keep100,1.0,4029,True,external_ros_lut_garbage_budget_keep100,keep_all_bennett,3,92040.0,163381.0,165611.0,73571.0,4028.0,4029.0,4043.0,109853.115,4028.0,5837.0,4028.0,8056.0,4029.0,109853.115,0.0,0.0,False
n14,anf_n14_19,14,line75,0.75,3021,True,external_ros_lut_garbage_budget_line75,fanout_checkpoint,3,1431867160.0,2533913943.0,2566203579.0,1134336419.0,410.0,452.0,425.0,1583061039.595,4028.0,5837.0,409.0,125849208.0,4029.0,109853.115,88.7813353189377,1440970.6875221517,False
n14,anf_n14_19,14,line50,0.5,2014,True,external_ros_lut_garbage_budget_line50,fanout_checkpoint,3,1431867160.0,2533913943.0,2566203579.0,1134336419.0,410.0,452.0,425.0,1583061039.595,4028.0,5837.0,409.0,125849208.0,4029.0,109853.115,88.7813353189377,1440970.6875221517,False
n14,anf_n14_19,14,line25,0.25,1007,True,external_ros_lut_garbage_budget_line25,fanout_checkpoint,3,1431867160.0,2533913943.0,2566203579.0,1134336419.0,410.0,452.0,425.0,1583061039.595,4028.0,5837.0,409.0,125849208.0,4029.0,109853.115,88.7813353189377,1440970.6875221517,False
n14,anf_n14_19,14,minline,0.0,44.0,True,external_ros_lut_garbage_budget_minline,zero_checkpoint,3,2392593840.0,4462282243.0,4556178829.0,2163584989.0,1.0,44.0,16.0,2661063750.045,4028.0,5837.0,0.0,357851438.0,4029.0,109853.115,98.90791759741872,2422283.5164300986,False
n14,anf_n14_2,14,keep100,1.0,6747,True,external_ros_lut_garbage_budget_keep100,keep_all_bennett,3,153544.0,273301.0,277189.0,123645.0,6746.0,6747.0,6761.0,183364.325,6746.0,10618.0,6746.0,13492.0,6747.0,183364.325,0.0,0.0,False
n14,anf_n14_2,14,line75,0.75,5060,True,external_ros_lut_garbage_budget_line75,fanout_checkpoint,3,58771665096.0,104394276629.0,106064868947.0,47293203851.0,655.0,708.0,670.0,65011342649.87501,6746.0,10618.0,654.0,5272008370.0,6747.0,183364.325,89.50644730991552,35454638.892025486,False
n14,anf_n14_2,14,line50,0.5,3373,True,external_ros_lut_garbage_budget_line50,fanout_checkpoint,3,58771665096.0,104394276629.0,106064868947.0,47293203851.0,655.0,708.0,670.0,65011342649.87501,6746.0,10618.0,654.0,5272008370.0,6747.0,183364.325,89.50644730991552,35454638.892025486,False
n14,anf_n14_2,14,line25,0.25,1686,True,external_ros_lut_garbage_budget_line25,fanout_checkpoint,3,58771665096.0,104394276629.0,106064868947.0,47293203851.0,655.0,708.0,670.0,65011342649.87501,6746.0,10618.0,654.0,5272008370.0,6747.0,183364.325,89.50644730991552,35454638.892025486,False
