n,baseline,functions,baseline_T,target_T,delta_T_pct,baseline_CNOT,target_CNOT,delta_CNOT_pct,baseline_peak_ancilla,target_peak_ancilla,delta_peak_ancilla_pct,baseline_score,target_score,delta_score_pct,score_wins,score_losses,score_ties
3,Internal ESOP-MILP,3,24,8,-66.67,45,27,-40.00,0,0,+0.00,26.6850,9.6750,-63.74,2,0,1
4,Internal ESOP-MILP,69,1456,1028,-29.40,2466,2217,-10.10,102,100,-1.96,1818.4050,1367.5500,-24.79,64,1,4
5,Internal ESOP-MILP,67,3392,2580,-23.94,5558,5461,-1.75,169,139,-17.75,4085.1500,3192.9400,-21.84,65,1,1
6,Internal ESOP-MILP,38,9924,3540,-64.33,15562,6993,-55.06,140,120,-14.29,11191.0900,4201.3350,-62.46,36,1,1
3,ABC-ESOP export,3,24,8,-66.67,45,27,-40.00,0,0,+0.00,26.8850,9.6750,-64.01,2,0,1
4,ABC-ESOP export,69,1576,1028,-34.77,2622,2217,-15.45,104,100,-3.85,1954.6950,1367.5500,-30.04,66,0,3
5,ABC-ESOP export,67,3592,2580,-28.17,5802,5461,-5.88,170,139,-18.24,4305.1100,3192.9400,-25.83,66,0,1
6,ABC-ESOP export,38,4452,3540,-20.49,7068,6993,-1.06,132,120,-9.09,5167.2750,4201.3350,-18.69,36,1,1
