correct,functions,mean_depth,mean_peak_ancilla,mean_score,mean_time_s,method,n,total_CNOT,total_T
24,24,268.0833333333333,28435.541666666668,183128.95958333332,1.2694043417771657,external_abc_aig,16,6824554,2729812
24,24,1111210.0,12893.0,740149.7333333333,1.0836268663406372,external_abc_lut,16,26435774,15576336
24,24,360.5,35955.625,224654.33666666667,0.8039939701557159,external_abc_xag,16,5167634,3441740
24,24,191208.0,6032.75,118064.57333333333,3.0473031600316367,external_bdd,16,4013432,2291632
