func_n,func_tt,teacher,objective,label_type,step,cand_idx,label,n,dim,size,log_size,cnot_cost,t_cost,objective_cost,control_count,is_singleton,support_bits,active_size,overlap,off_count,cover_ratio,off_ratio,monotone_valid,mono_removed,xor_next_size,mono_next_size,cost_per_overlap,cost_per_size,current_cost,t_cnot_ratio,cover_per_dim,xor_parity_flip,basis_overlap,dim_cost_ratio,size_cost_ratio,off_active_ratio,mono_xor_gap,greedy_value,opt_cost,teacher_time_s
3,1,xor_beam,cnot,step_choice,0,41,1.0,3.0,0.0,1.0,0.0,14.0,16.0,14.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,14.0,14.0,0.0,1.1428571428571428,1.0,-1.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.07142857142857142,14.0,0.0006
3,2,xor_beam,cnot,step_choice,0,42,1.0,3.0,0.0,1.0,0.0,14.0,16.0,14.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,14.0,14.0,0.0,1.1428571428571428,1.0,-1.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.07142857142857142,14.0,0.0
3,3,xor_beam,cnot,step_choice,0,13,1.0,3.0,1.0,2.0,1.0,6.0,4.0,6.0,2.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,3.0,3.0,0.0,0.6666666666666666,2.0,-2.0,1.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.3333333333333333,6.0,0.0001
3,3,xor_beam,cnot,step_choice,0,41,0.0,3.0,0.0,1.0,0.0,14.0,16.0,14.0,3.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,14.0,14.0,0.0,1.1428571428571428,1.0,-1.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.07142857142857142,6.0,0.0001
3,3,xor_beam,cnot,step_choice,0,42,0.0,3.0,0.0,1.0,0.0,14.0,16.0,14.0,3.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,14.0,14.0,0.0,1.1428571428571428,1.0,-1.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.07142857142857142,6.0,0.0001
3,4,xor_beam,cnot,step_choice,0,43,1.0,3.0,0.0,1.0,0.0,14.0,16.0,14.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,14.0,14.0,0.0,1.1428571428571428,1.0,-1.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.07142857142857142,14.0,0.0
3,5,xor_beam,cnot,step_choice,0,14,1.0,3.0,1.0,2.0,1.0,6.0,4.0,6.0,2.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,3.0,3.0,0.0,0.6666666666666666,2.0,-2.0,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.3333333333333333,6.0,0.0
3,5,xor_beam,cnot,step_choice,0,41,0.0,3.0,0.0,1.0,0.0,14.0,16.0,14.0,3.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,14.0,14.0,0.0,1.1428571428571428,1.0,-1.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.07142857142857142,6.0,0.0
3,5,xor_beam,cnot,step_choice,0,43,0.0,3.0,0.0,1.0,0.0,14.0,16.0,14.0,3.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,14.0,14.0,0.0,1.1428571428571428,1.0,-1.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.07142857142857142,6.0,0.0
3,6,xor_beam,cnot,step_choice,0,20,1.0,3.0,1.0,2.0,1.0,8.0,4.0,8.0,2.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,4.0,4.0,0.0,0.5,2.0,-2.0,0.5,0.125,0.25,0.0,0.0,0.25,8.0,0.0001
3,6,xor_beam,cnot,step_choice,0,42,0.0,3.0,0.0,1.0,0.0,14.0,16.0,14.0,3.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,14.0,14.0,0.0,1.1428571428571428,1.0,-1.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.07142857142857142,8.0,0.0001
3,6,xor_beam,cnot,step_choice,0,43,0.0,3.0,0.0,1.0,0.0,14.0,16.0,14.0,3.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,14.0,14.0,0.0,1.1428571428571428,1.0,-1.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.07142857142857142,8.0,0.0001
3,7,xor_beam,cnot,step_choice,0,1,1.0,3.0,2.0,4.0,2.0,1.0,0.0,1.0,1.0,0.0,2.0,3.0,3.0,1.0,0.75,0.25,0.0,3.0,1.0,0.0,0.3333333333333333,0.25,0.0,0.0,1.5,-2.0,1.0,2.0,4.0,0.3333333333333333,-1.0,3.0,15.0,0.0002
3,7,xor_beam,cnot,step_choice,0,13,0.0,3.0,1.0,2.0,1.0,6.0,4.0,6.0,2.0,0.0,1.0,3.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,3.0,3.0,0.0,0.6666666666666666,2.0,-2.0,1.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.3333333333333333,15.0,0.0002
3,7,xor_beam,cnot,step_choice,0,14,0.0,3.0,1.0,2.0,1.0,6.0,4.0,6.0,2.0,0.0,1.0,3.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,3.0,3.0,0.0,0.6666666666666666,2.0,-2.0,1.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.3333333333333333,15.0,0.0002
3,7,xor_beam,cnot,step_choice,0,20,0.0,3.0,1.0,2.0,1.0,8.0,4.0,8.0,2.0,0.0,2.0,3.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,4.0,4.0,0.0,0.5,2.0,-2.0,1.0,0.125,0.25,0.0,0.0,0.25,15.0,0.0002
3,7,xor_beam,cnot,step_choice,0,41,0.0,3.0,0.0,1.0,0.0,14.0,16.0,14.0,3.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,14.0,14.0,0.0,1.1428571428571428,1.0,-1.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.07142857142857142,15.0,0.0002
3,7,xor_beam,cnot,step_choice,0,42,0.0,3.0,0.0,1.0,0.0,14.0,16.0,14.0,3.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,14.0,14.0,0.0,1.1428571428571428,1.0,-1.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.07142857142857142,15.0,0.0002
3,7,xor_beam,cnot,step_choice,0,43,0.0,3.0,0.0,1.0,0.0,14.0,16.0,14.0,3.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,14.0,14.0,0.0,1.1428571428571428,1.0,-1.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.07142857142857142,15.0,0.0002
3,7,xor_beam,cnot,step_choice,1,44,1.0,3.0,0.0,1.0,0.0,14.0,16.0,14.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,14.0,14.0,1.0,1.1428571428571428,1.0,-1.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.07142857142857142,15.0,0.0002
3,8,xor_beam,cnot,step_choice,0,44,1.0,3.0,0.0,1.0,0.0,14.0,16.0,14.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,14.0,14.0,0.0,1.1428571428571428,1.0,-1.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.07142857142857142,14.0,0.0
