func_n,func_tt,teacher,objective,label_type,step,cand_idx,label,n,dim,size,log_size,cnot_cost,t_cost,objective_cost,control_count,is_singleton,support_bits,active_size,overlap,off_count,cover_ratio,off_ratio,monotone_valid,mono_removed,xor_next_size,mono_next_size,cost_per_overlap,cost_per_size,current_cost,opt_cost,teacher_time_s
5,134217830,xor_beam,t,step_choice,0,1045,0.0,5.0,1.0,2.0,1.0,10.0,24.0,24.0,4.0,0.0,1.0,5.0,2.0,0.0,1.0,0.0,1.0,2.0,3.0,3.0,12.0,12.0,0.0,48.0,0.0047
5,134217830,xor_beam,t,step_choice,0,1046,0.0,5.0,1.0,2.0,1.0,14.0,24.0,24.0,4.0,0.0,3.0,5.0,2.0,0.0,1.0,0.0,1.0,2.0,3.0,3.0,12.0,12.0,0.0,48.0,0.0047
5,134217830,xor_beam,t,step_choice,0,1067,0.0,5.0,1.0,2.0,1.0,14.0,24.0,24.0,4.0,0.0,3.0,5.0,2.0,0.0,1.0,0.0,1.0,2.0,3.0,3.0,12.0,12.0,0.0,48.0,0.0047
5,134217830,xor_beam,t,step_choice,0,1074,0.0,5.0,1.0,2.0,1.0,14.0,24.0,24.0,4.0,0.0,3.0,5.0,2.0,0.0,1.0,0.0,1.0,2.0,3.0,3.0,12.0,12.0,0.0,48.0,0.0047
5,134217830,xor_beam,t,step_choice,0,1075,0.0,5.0,1.0,2.0,1.0,10.0,24.0,24.0,4.0,0.0,1.0,5.0,2.0,0.0,1.0,0.0,1.0,2.0,3.0,3.0,12.0,12.0,0.0,48.0,0.0047
5,134217830,xor_beam,t,step_choice,0,1096,0.0,5.0,1.0,2.0,1.0,14.0,24.0,24.0,4.0,0.0,3.0,5.0,2.0,0.0,1.0,0.0,1.0,2.0,3.0,3.0,12.0,12.0,0.0,48.0,0.0047
5,134217830,xor_beam,t,step_choice,0,1156,0.0,5.0,1.0,2.0,1.0,12.0,24.0,24.0,4.0,0.0,2.0,5.0,2.0,0.0,1.0,0.0,1.0,2.0,3.0,3.0,12.0,12.0,0.0,48.0,0.0047
5,134217830,xor_beam,t,step_choice,0,1177,0.0,5.0,1.0,2.0,1.0,16.0,24.0,24.0,4.0,0.0,4.0,5.0,2.0,0.0,1.0,0.0,1.0,2.0,3.0,3.0,12.0,12.0,0.0,48.0,0.0047
5,134217830,xor_beam,t,step_choice,0,1202,0.0,5.0,1.0,2.0,1.0,16.0,24.0,24.0,4.0,0.0,4.0,5.0,2.0,0.0,1.0,0.0,1.0,2.0,3.0,3.0,12.0,12.0,0.0,48.0,0.0047
5,134217830,xor_beam,t,step_choice,0,1508,0.0,5.0,0.0,1.0,0.0,14.0,32.0,32.0,5.0,1.0,0.0,5.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,4.0,32.0,32.0,0.0,48.0,0.0047
5,134217830,xor_beam,t,step_choice,0,1509,0.0,5.0,0.0,1.0,0.0,14.0,32.0,32.0,5.0,1.0,0.0,5.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,4.0,32.0,32.0,0.0,48.0,0.0047
5,134217830,xor_beam,t,step_choice,0,1512,0.0,5.0,0.0,1.0,0.0,14.0,32.0,32.0,5.0,1.0,0.0,5.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,4.0,32.0,32.0,0.0,48.0,0.0047
5,134217830,xor_beam,t,step_choice,0,1513,0.0,5.0,0.0,1.0,0.0,14.0,32.0,32.0,5.0,1.0,0.0,5.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,4.0,32.0,32.0,0.0,48.0,0.0047
5,134217830,xor_beam,t,step_choice,0,1534,0.0,5.0,0.0,1.0,0.0,14.0,32.0,32.0,5.0,1.0,0.0,5.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,4.0,32.0,32.0,0.0,48.0,0.0047
5,134217830,xor_beam,t,step_choice,1,1534,1.0,5.0,0.0,1.0,0.0,14.0,32.0,32.0,5.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,32.0,32.0,16.0,48.0,0.0047
