target_id,angle_pi,denominator,source_count,source_file,source_name,source_method,source_split,source_n,source_parity_mask_hex,backend,beam_width,max_sequence_length,sequence,sequence_length,t_count,achieved_error,smoke_epsilon,smoke_pass,tight_epsilon,tight_pass,status
den8-small,1/8,8,1088,raw_phase_parity_affine.csv,threshold2_n4,phase_parity_affine_fprm_opt_tperrz30,traditional,4,0xe,internal_matrix_beam,2500,24,T H T H T H T H T H T S Td Td,14,8,0.11185337158122173,0.125,True,0.05,False,pass
den8-mid,3/8,8,714,raw_phase_parity_affine.csv,majority_n4,phase_parity_affine_fprm_opt_tperrz30,traditional,4,0x7,internal_matrix_beam,2500,24,T H T H T H T H X Td H Sd,12,5,0.11185337158122222,0.125,True,0.05,False,pass
den16-mid-a,3/16,16,714,raw_phase_parity_affine.csv,truth_n5_1,phase_parity_affine_fprm_opt_tperrz30,traditional,5,0x2,internal_matrix_beam,2500,24,X Sd Td X Td Td,6,3,0.06939217050794039,0.125,True,0.05,False,pass
den16-mid-b,5/16,16,572,raw_phase_parity_affine.csv,truth_n5_1,phase_parity_affine_fprm_opt_tperrz30,traditional,5,0x4,internal_matrix_beam,2500,24,S Td Td S Td Td S Td Td S Td,11,7,0.06939217050793958,0.125,True,0.05,False,pass
den32-small,1/32,32,903,raw_phase_parity_affine.csv,truth_n6_0,phase_parity_affine_fprm_opt_tperrz30,traditional,6,0x3e,internal_matrix_beam,2500,24,X Sd T X Td,5,2,0.034706538214398217,0.125,True,0.05,True,pass
den32-frequent,57/32,32,1015,raw_phase_parity_affine.csv,truth_n6_0,phase_parity_affine_fprm_opt_tperrz30,traditional,6,0x35,internal_matrix_beam,2500,24,X Sd X Sd Td Td S Td Td S Td Td S Td Td S Td,17,9,0.034706538214398217,0.125,True,0.05,True,pass
