name,n,method,T,CNOT,depth,gates,explicit_ancilla,peak_ancilla,n_qubits,score,score_lower_bound,score_rz1,score_rz1.5,score_rz2,score_rz4,score_rz10,score_synth_tperrz30,score_synth_tperrz60,score_synth_tperrz100,time_s,anf_terms,constant_term_global_phase,parity_gadgets,rz_total,rz_clifford,rz_t_like,rz_non_clifford,rz_max_denominator,phase_ops,ct_supported,verified_up_to_global_phase,correct,skipped,error,truth_table_hex
truth_n4_20,4,phase_parity_anf,8,18,28,28,0,0,4,9.42,9.42,9.42,9.42,9.42,9.42,9.42,9.42,9.42,9.42,9.799003601074219e-05,6,0,10,10,2,8,0,4,8,1,True,phase oracle verified up to global phase,,,37F8
truth_n4_21,4,phase_parity_anf,8,20,32,32,0,0,4,9.600000000000001,9.600000000000001,9.600000000000001,9.600000000000001,9.600000000000001,9.600000000000001,9.600000000000001,9.600000000000001,9.600000000000001,9.600000000000001,0.00010919570922851562,6,1,12,12,4,8,0,4,8,1,True,phase oracle verified up to global phase,,,3B8F
truth_n4_22,4,phase_parity_anf,0,34,49,49,0,0,4,2.585,2.585,17.585,25.085,32.585,62.585,152.585,463.83500000000004,925.085,1540.0849999999998,0.00014209747314453125,9,0,15,15,0,0,15,8,15,0,True,phase oracle verified up to global phase,,,815E
truth_n4_23,4,phase_parity_anf,7,14,24,24,0,0,4,8.16,8.16,8.16,8.16,8.16,8.16,8.16,8.16,8.16,8.16,9.584426879882812e-05,7,1,10,10,3,7,0,4,7,1,True,phase oracle verified up to global phase,,,9A1D
truth_n4_24,4,phase_parity_anf,0,34,49,49,0,0,4,2.585,2.585,17.585,25.085,32.585,62.585,152.585,463.83500000000004,925.085,1540.0849999999998,0.00015401840209960938,12,1,15,15,0,0,15,8,15,0,True,phase oracle verified up to global phase,,,6CB
truth_n4_25,4,phase_parity_anf,8,18,29,29,0,0,4,9.445,9.445,9.445,9.445,9.445,9.445,9.445,9.445,9.445,9.445,0.00010180473327636719,7,1,11,11,3,8,0,4,8,1,True,phase oracle verified up to global phase,,,8FAD
truth_n4_26,4,phase_parity_anf,0,34,49,49,0,0,4,2.585,2.585,17.585,25.085,32.585,62.585,152.585,463.83500000000004,925.085,1540.0849999999998,0.00013375282287597656,8,1,15,15,0,0,15,8,15,0,True,phase oracle verified up to global phase,,,32E7
truth_n4_27,4,phase_parity_anf,7,14,24,24,0,0,4,8.16,8.16,8.16,8.16,8.16,8.16,8.16,8.16,8.16,8.16,9.703636169433594e-05,9,1,10,10,3,7,0,4,7,1,True,phase oracle verified up to global phase,,,B74D
truth_n4_28,4,phase_parity_anf,0,34,49,49,0,0,4,2.585,2.585,17.585,25.085,32.585,62.585,152.585,463.83500000000004,925.085,1540.0849999999998,0.0001430511474609375,9,0,15,15,0,0,15,8,15,0,True,phase oracle verified up to global phase,,,A65E
truth_n4_29,4,phase_parity_anf,8,20,32,32,0,0,4,9.600000000000001,9.600000000000001,9.600000000000001,9.600000000000001,9.600000000000001,9.600000000000001,9.600000000000001,9.600000000000001,9.600000000000001,9.600000000000001,0.00015687942504882812,7,0,12,12,4,8,0,4,8,1,True,phase oracle verified up to global phase,,,B38A
truth_n4_3,4,phase_parity_anf,0,34,49,49,0,0,4,2.585,2.585,17.585,25.085,32.585,62.585,152.585,463.83500000000004,925.085,1540.0849999999998,0.00018310546875,11,0,15,15,0,0,15,8,15,0,True,phase oracle verified up to global phase,,,BDD6
truth_n4_30,4,phase_parity_anf,7,14,23,23,0,0,4,8.135,8.135,8.135,8.135,8.135,8.135,8.135,8.135,8.135,8.135,0.00010013580322265625,9,1,9,9,2,7,0,4,7,1,True,phase oracle verified up to global phase,,,8B81
truth_n4_31,4,phase_parity_anf,0,34,49,49,0,0,4,2.585,2.585,17.585,25.085,32.585,62.585,152.585,463.83500000000004,925.085,1540.0849999999998,0.00015807151794433594,10,1,15,15,0,0,15,8,15,0,True,phase oracle verified up to global phase,,,6B65
truth_n4_32,4,phase_parity_anf,8,20,32,32,0,0,4,9.600000000000001,9.600000000000001,9.600000000000001,9.600000000000001,9.600000000000001,9.600000000000001,9.600000000000001,9.600000000000001,9.600000000000001,9.600000000000001,0.0001201629638671875,8,0,12,12,4,8,0,4,8,1,True,phase oracle verified up to global phase,,,386E
truth_n4_33,4,phase_parity_anf,8,18,29,29,0,0,4,9.445,9.445,9.445,9.445,9.445,9.445,9.445,9.445,9.445,9.445,0.00010800361633300781,6,1,11,11,3,8,0,4,8,1,True,phase oracle verified up to global phase,,,72FF
truth_n4_34,4,phase_parity_anf,0,34,49,49,0,0,4,2.585,2.585,17.585,25.085,32.585,62.585,152.585,463.83500000000004,925.085,1540.0849999999998,0.00013899803161621094,5,0,15,15,0,0,15,8,15,0,True,phase oracle verified up to global phase,,,96DA
truth_n4_35,4,phase_parity_anf,0,34,49,49,0,0,4,2.585,2.585,17.585,25.085,32.585,62.585,152.585,463.83500000000004,925.085,1540.0849999999998,0.00014781951904296875,6,1,15,15,0,0,15,8,15,0,True,phase oracle verified up to global phase,,,4737
truth_n4_36,4,phase_parity_anf,8,18,28,28,0,0,4,9.42,9.42,9.42,9.42,9.42,9.42,9.42,9.42,9.42,9.42,0.00011110305786132812,9,0,10,10,2,8,0,4,8,1,True,phase oracle verified up to global phase,,,CF36
truth_n4_37,4,phase_parity_anf,0,34,49,49,0,0,4,2.585,2.585,17.585,25.085,32.585,62.585,152.585,463.83500000000004,925.085,1540.0849999999998,0.00017213821411132812,9,0,15,15,0,0,15,8,15,0,True,phase oracle verified up to global phase,,,DE8A
truth_n4_38,4,phase_parity_anf,0,34,49,49,0,0,4,2.585,2.585,17.585,25.085,32.585,62.585,152.585,463.83500000000004,925.085,1540.0849999999998,0.00015211105346679688,8,1,15,15,0,0,15,8,15,0,True,phase oracle verified up to global phase,,,1A9
truth_n4_39,4,phase_parity_anf,0,34,49,49,0,0,4,2.585,2.585,17.585,25.085,32.585,62.585,152.585,463.83500000000004,925.085,1540.0849999999998,0.00018095970153808594,11,1,15,15,0,0,15,8,15,0,True,phase oracle verified up to global phase,,,C241
truth_n4_4,4,phase_parity_anf,7,24,36,36,0,0,4,8.86,8.86,8.86,8.86,8.86,8.86,8.86,8.86,8.86,8.86,0.0001380443572998047,8,0,12,12,5,7,0,4,7,1,True,phase oracle verified up to global phase,,,4668
