losses,mean_baseline,mean_relative_pct,mean_target,metric,pairs,ties,wins
0,21516.666666666668,-9.431292520219756,20138.0,T,6,1,5
0,33635.666666666664,-8.607569876645352,31480.5,CNOT,6,1,5
0,33635.666666666664,-8.607569876645352,31480.5,depth,6,1,5
5,1.6666666666666667,61.11111111111111,2.8333333333333335,peak_ancilla,6,1,0
0,23491.15166666667,-9.038283392634687,21988.51916666667,score,6,1,5
6,10.492119550704956,476.6960484700744,60.51231241226196,time_s,6,0,0
