correct,functions,mean_depth,mean_peak_ancilla,mean_score,mean_time_s,method,n,total_CNOT,total_T
3,3,9.0,0.0,3.225,0.00902088483174642,and_affine_nmcts,3,27,8
53,53,36.45283018867924,1.4339622641509433,20.328301886792453,0.38407220030730627,and_affine_nmcts,4,1750,816
51,51,88.43137254901961,1.9411764705882353,47.94647058823529,3.6065324100793577,and_affine_nmcts,5,4233,1988
38,38,235.68421052631578,2.789473684210526,136.97105263157894,0.7847872784263209,and_affine_nmcts,6,8765,4468
3,3,257.6666666666667,2.0,153.78166666666667,4.51848578453064,and_affine_nmcts,7,759,404
69,69,171.42028985507247,1.6666666666666667,104.34144927536232,0.4595361170561417,and_affine_nmcts,8,11806,6272
64,64,583.640625,2.140625,353.004453125,5.338627018034458,and_affine_nmcts,10,37349,20116
1,1,232.0,2.0,141.73999999999998,0.2458961009979248,and_affine_nmcts,11,232,124
48,48,1733.75,2.1458333333333335,1080.4133333333334,96.86742019156615,and_affine_nmcts,12,83216,46752
3,3,15.0,0.0,8.895,4.474322001139323e-05,and_direct_anf,3,45,24
53,53,56.867924528301884,1.4339622641509433,38.89867924528302,5.582593521981869e-05,and_direct_anf,4,2990,1732
51,51,155.58823529411765,2.392156862745098,107.43245098039216,0.00010568487877939261,and_direct_anf,5,7909,4768
38,38,390.13157894736844,3.263157894736842,269.67328947368424,0.00016826704928749487,and_direct_anf,6,14806,9128
3,3,609.6666666666666,2.3333333333333335,421.815,0.0002426306406656901,and_direct_anf,7,1829,1144
69,69,240.71014492753622,1.8840579710144927,168.5139855072464,0.00022696757662123528,and_direct_anf,8,16604,10392
64,64,819.65625,2.21875,570.65640625,0.0010182633996009827,and_direct_anf,10,52454,33160
1,1,351.0,2.0,240.65499999999997,0.0028951168060302734,and_direct_anf,11,351,216
48,48,2485.4583333333335,2.1458333333333335,1729.713125,0.009979238112767538,and_direct_anf,12,119298,75824
3,3,15.0,0.0,8.895,0.00011372566223144531,and_mcts_factor,3,45,24
53,53,49.301886792452834,1.4339622641509433,29.410283018867926,0.007731014827512346,and_mcts_factor,4,2589,1252
51,51,121.01960784313725,1.9607843137254901,70.92823529411764,0.09192620539197735,and_mcts_factor,5,6146,3052
38,38,270.6578947368421,2.4473684210526314,158.06486842105264,0.6786078842062699,and_mcts_factor,6,10266,5212
3,3,404.0,2.0,234.54666666666665,4.542509317398071,and_mcts_factor,7,1212,620
69,69,178.7826086956522,1.6521739130434783,108.4640579710145,0.42443383949390356,and_mcts_factor,8,12331,6528
64,64,583.640625,2.140625,353.004453125,5.231073021888733,and_mcts_factor,10,37349,20116
1,1,232.0,2.0,141.73999999999998,0.25197386741638184,and_mcts_factor,11,232,124
43,43,1386.5581395348838,1.9767441860465116,853.1011627906977,70.15513657969097,and_mcts_factor,12,59618,33000
3,3,9.0,0.0,3.225,0.008327404657999674,and_resource_nmcts,3,27,8
53,53,36.37735849056604,1.4339622641509433,20.32,0.4021859933745186,and_resource_nmcts,4,1741,816
51,51,88.43137254901961,1.9411764705882353,47.94647058823529,3.734064078798481,and_resource_nmcts,5,4233,1988
38,38,232.81578947368422,2.789473684210526,135.53197368421053,1.4624672939902859,and_resource_nmcts,6,8548,4424
3,3,257.6666666666667,2.0,153.78166666666667,6.0002163251241045,and_resource_nmcts,7,759,404
69,69,171.34782608695653,1.681159420289855,104.24746376811595,0.8510477750197701,and_resource_nmcts,8,11795,6264
64,64,583.265625,2.140625,352.732578125,9.515701118856668,and_resource_nmcts,10,37325,20100
1,1,232.0,2.0,141.73999999999998,0.6465883255004883,and_resource_nmcts,11,232,124
48,48,1726.4166666666667,2.1458333333333335,1068.245,45.6916178415219,and_resource_nmcts,12,82864,46188
3,3,13.0,0.0,8.745,4.2597452799479164e-05,direct_anf,3,39,24
53,53,51.64150943396226,0.9622641509433962,58.561037735849055,5.9564158601580925e-05,direct_anf,4,2713,2848
51,51,129.05882352941177,1.4313725490196079,177.78039215686275,0.00010338484072217754,direct_anf,5,6556,8552
38,38,294.8421052631579,1.8157894736842106,475.0734210526316,0.00020580542714972245,direct_anf,6,11185,17288
3,3,406.3333333333333,1.3333333333333333,788.0583333333334,0.00023444493611653647,direct_anf,7,1219,2288
69,69,161.68115942028984,1.1594202898550725,302.54478260869564,0.00022832898126132247,direct_anf,8,11151,20092
64,64,521.03125,1.3125,1051.01640625,0.0010846219956874847,direct_anf,10,33342,65236
1,1,285.0,1.0,425.94499999999994,0.0016891956329345703,direct_anf,11,285,408
48,48,1521.7291666666667,1.2291666666666667,3219.3096875,0.008494938413302103,direct_anf,12,73039,150336
