manuscript,status,pdf,pages,characters,words,required_anchors,missing_anchors,forbidden_hits,author_identity_anchor,anonymous_identity_anchor,pdftotext_returncode,stderr,failures,next_action
author,pass,paper_latex/resource_nmcts_submission_v1.pdf,40,193855,17105,18,none,none,True,False,0,none,none,No action needed.
anonymous,pass,paper_latex/resource_nmcts_submission_anonymous.pdf,40,192538,16934,18,none,none,False,True,0,none,none,No action needed.
