row_type,budget,method,difficulty_slice,pairs,no_prior_score_min,no_prior_score_max,score_wins,score_losses,score_ties,mean_score_relative,T_wins,T_losses,T_ties,mean_T_relative,mean_time_relative,status
method_slice,top8_s8_n12,and_affine_nmcts,easy,59,0.19499999999999998,24.805,12,0,47,-0.0040823032701724745,1,0,58,-0.00423728813559322,0.4663474127085103,pass
method_slice,top8_s8_n12,and_affine_nmcts,middle,59,26.25,54.245,22,0,37,-0.02571363511024428,13,0,46,-0.029240345342040258,0.3402187611642319,pass
method_slice,top8_s8_n12,and_affine_nmcts,hard,59,54.31999999999999,175.51500000000001,8,0,51,-0.008678452406081111,5,0,54,-0.00836592785745328,0.2914561485360901,pass
method_slice,top8_s8_n12,and_resource_nmcts,easy,59,0.19499999999999998,24.770000000000003,11,0,48,-0.0040780828636629235,1,0,58,-0.00423728813559322,0.217219801875528,pass
method_slice,top8_s8_n12,and_resource_nmcts,middle,59,24.805,53.93,18,0,41,-0.017875812751661002,8,0,51,-0.019371682931004965,0.2603060720799416,pass
method_slice,top8_s8_n12,and_resource_nmcts,hard,59,53.970000000000006,162.425,9,0,50,-0.00998874240467579,6,0,53,-0.008751135869779937,0.1448696714564146,pass
method_slice,top8_s8_n12,and_pareto_resource_nmcts,easy,59,0.19499999999999998,22.375,10,0,49,-0.0041087124424743346,1,0,58,-0.00423728813559322,0.07786387344208694,pass
method_slice,top8_s8_n12,and_pareto_resource_nmcts,middle,59,22.520000000000003,53.395,13,0,46,-0.012531531437663545,5,0,54,-0.012557781201848998,0.13543756389546682,pass
method_slice,top8_s8_n12,and_pareto_resource_nmcts,hard,59,53.43,141.91500000000002,6,0,53,-0.006618987736973888,3,0,56,-0.0061633281972265025,0.075049230117651,pass
method_slice,top12_s12_n16,and_affine_nmcts,easy,59,0.19499999999999998,24.805,12,0,47,-0.0040823032701724745,1,0,58,-0.00423728813559322,0.36910954676313107,pass
method_slice,top12_s12_n16,and_affine_nmcts,middle,59,26.25,54.245,22,0,37,-0.02571363511024428,13,0,46,-0.029240345342040258,0.38893507695413876,pass
method_slice,top12_s12_n16,and_affine_nmcts,hard,59,54.31999999999999,175.51500000000001,8,0,51,-0.008678452406081111,5,0,54,-0.00836592785745328,0.2683435609077819,pass
method_slice,top12_s12_n16,and_resource_nmcts,easy,59,0.19499999999999998,24.770000000000003,11,0,48,-0.0040780828636629235,1,0,58,-0.00423728813559322,0.3511083165220481,pass
method_slice,top12_s12_n16,and_resource_nmcts,middle,59,24.805,53.93,18,0,41,-0.017875812751661002,8,0,51,-0.019371682931004965,0.2937608513723934,pass
method_slice,top12_s12_n16,and_resource_nmcts,hard,59,53.970000000000006,162.425,9,0,50,-0.00998874240467579,6,0,53,-0.008751135869779937,0.21376135244130012,pass
method_slice,top12_s12_n16,and_pareto_resource_nmcts,easy,59,0.19499999999999998,22.375,10,0,49,-0.0041087124424743346,1,0,58,-0.00423728813559322,0.1547960997336025,pass
method_slice,top12_s12_n16,and_pareto_resource_nmcts,middle,59,22.520000000000003,53.395,13,0,46,-0.012531531437663545,5,0,54,-0.012557781201848998,0.2077393675003754,pass
method_slice,top12_s12_n16,and_pareto_resource_nmcts,hard,59,53.43,141.91500000000002,6,0,53,-0.006618987736973888,3,0,56,-0.0061633281972265025,0.10282540796538261,pass
method_slice,top24_s24_n32,and_affine_nmcts,easy,59,0.19499999999999998,24.25,10,0,49,-0.004221558436265847,1,0,58,-0.00423728813559322,0.9679007804899501,pass
method_slice,top24_s24_n32,and_affine_nmcts,middle,59,24.545,53.895,22,0,37,-0.027847418120582734,13,0,46,-0.03190378359869885,1.0305456132321391,pass
method_slice,top24_s24_n32,and_affine_nmcts,hard,59,53.970000000000006,175.51500000000001,10,0,49,-0.012007582109628994,8,0,51,-0.01234048437438268,0.7380388060922651,pass
method_slice,top24_s24_n32,and_resource_nmcts,easy,59,0.19499999999999998,22.445,11,0,48,-0.0043879119298782495,1,0,58,-0.00423728813559322,1.0151629187781313,pass
method_slice,top24_s24_n32,and_resource_nmcts,middle,59,22.520000000000003,53.654999999999994,18,0,41,-0.018228379478861342,9,0,50,-0.020758431775380927,0.3955373110379986,pass
method_slice,top24_s24_n32,and_resource_nmcts,hard,59,53.675,162.28,10,0,49,-0.010324077067825406,7,0,52,-0.009881079372604797,0.24271903403550815,pass
method_slice,top24_s24_n32,and_pareto_resource_nmcts,easy,59,0.19499999999999998,22.375,10,0,49,-0.0041087124424743346,1,0,58,-0.00423728813559322,0.2282059722613053,pass
