source,scope,pairs,random_repeats,score_wins,score_losses,score_ties,mean_score_relative,mean_time_relative,mean_t_depth_relative,mean_aux_area_relative,target_at_or_better_than_random_best,seed_means_beaten,one_sided_sign_p,status
held-out frontier policy,"test n=28,40",48,8,24,1,23,-0.007768798092,0.5914298865,,,45,8,7.748603821e-07,pass
scale generalization,"n=24,28,32,40",96,8,55,3,38,-0.01122116176,0.5877710328,-0.01097125064,0.09916294581,90,8,1.129929483e-13,pass
truth-table bridge,n=23,6,8,5,0,1,-0.008889917248,0.7100151155,-0.00786622584,0.1143748428,5,8,0.03125,pass
