split,pairs,skips,true_skips,false_skips,score_wins,score_losses,score_ties,mean_rel_score_vs_depth2,mean_rel_time_vs_depth2,mean_rel_time_vs_all_depth
train,240,22,22,0,0,0,240,0.0,0.2590093376332613,-0.044828703294249074
valid,72,3,3,0,0,0,72,0.0,0.26531761137292165,-0.016101691234502526
test,48,3,3,0,0,0,48,0.0,0.39401904563948825,-0.028686908048700513
