name,n,profile,term_count,method,score,T,CNOT,depth,gates,peak_ancilla,time_s,anf_verified,plan_nodes,plan_mismatches,circuit_anf_verified,circuit_gates,circuit_max_wire_terms,circuit_mismatches
terms_n20_0005_mixed,20,mixed,153,direct_logical_and,2018.595,1836,2907,2907,1071,6,1.624997821636498e-06,True,1,0,True,153,153,0
terms_n20_0005_mixed,20,mixed,153,screen_depth1,1804.99,1640,2606,2606,966,6,0.2504970410009264,True,5,0,True,146,153,0
terms_n20_0005_mixed,20,mixed,153,screen_depth2,1743.9599999999998,1584,2520,2520,936,6,2.9155412090040045,True,7,0,True,144,153,0
terms_n20_0005_mixed,20,mixed,153,screen_single,1909.585,1736,2753,2753,1017,6,0.014826541999354959,True,3,0,True,149,153,0
terms_n20_0006_deep,20,deep,180,adaptive_all_depth,1667.545,1512,2441,2441,929,6,4.027585123993049,True,7,0,True,173,180,0
terms_n20_0006_deep,20,deep,180,depth2_guard_direct,1667.545,1512,2441,2441,929,6,3.6150812079940806,True,7,0,True,173,180,0
terms_n20_0006_deep,20,deep,180,depth_policy,1667.545,1512,2441,2441,929,6,3.6150812079940806,True,7,0,True,173,180,0
terms_n20_0006_deep,20,deep,180,direct_logical_and,1876.8,1704,2736,2736,1032,6,7.499984349124134e-07,True,1,0,True,180,180,0
terms_n20_0006_deep,20,deep,180,screen_depth1,1706.76,1548,2496,2496,948,6,0.37653375000081724,True,5,0,True,174,180,0
terms_n20_0006_deep,20,deep,180,screen_depth2,1667.545,1512,2441,2441,929,6,3.6150812079940806,True,7,0,True,173,180,0
terms_n20_0006_deep,20,deep,180,screen_single,1789.5400000000002,1624,2612,2612,988,6,0.03597016599815106,True,3,0,True,176,180,0
terms_n20_0007_shallow,20,shallow,39,adaptive_all_depth,384.7,344,556,556,212,4,0.02286037500743987,True,3,0,True,40,39,0
terms_n20_0007_shallow,20,shallow,39,depth2_guard_direct,384.7,344,556,556,212,4,0.008576291002100334,True,3,0,True,40,39,0
terms_n20_0007_shallow,20,shallow,39,depth_policy,384.7,344,556,556,212,4,0.008576291002100334,True,3,0,True,40,39,0
terms_n20_0007_shallow,20,shallow,39,direct_logical_and,415.085,372,597,597,225,4,6.250047590583563e-07,True,1,0,True,39,39,0
terms_n20_0007_shallow,20,shallow,39,screen_depth1,384.7,344,556,556,212,4,0.008576291002100334,True,3,0,True,40,39,0
terms_n20_0007_shallow,20,shallow,39,screen_depth2,384.7,344,556,556,212,4,0.00610650000453461,True,3,0,True,40,39,0
terms_n20_0007_shallow,20,shallow,39,screen_single,384.7,344,556,556,212,4,0.008177584000804927,True,3,0,True,40,39,0
terms_n20_0008_mixed,20,mixed,162,adaptive_all_depth,1489.985,1352,2177,2177,825,5,3.382646124002349,True,7,0,True,149,162,0
terms_n20_0008_mixed,20,mixed,162,depth2_guard_direct,1489.985,1352,2177,2177,825,5,3.0546901659981813,True,7,0,True,149,162,0
terms_n20_0008_mixed,20,mixed,162,depth_policy,1489.985,1352,2177,2177,825,5,3.0546901659981813,True,7,0,True,149,162,0
terms_n20_0008_mixed,20,mixed,162,direct_logical_and,1749.83,1592,2550,2550,958,4,9.590003173798323e-07,True,1,0,True,162,162,0
terms_n20_0008_mixed,20,mixed,162,screen_depth1,1564.195,1420,2283,2283,863,5,0.3046494160007569,True,5,0,True,153,162,0
terms_n20_0008_mixed,20,mixed,162,screen_depth2,1489.985,1352,2177,2177,825,5,3.0546901659981813,True,7,0,True,149,162,0
terms_n20_0008_mixed,20,mixed,162,screen_single,1642.7549999999999,1492,2395,2395,903,5,0.02330654200341087,True,3,0,True,157,162,0
terms_n20_0009_deep,20,deep,183,adaptive_all_depth,2089.4049999999997,1896,3021,3021,1125,8,4.173964999994496,True,7,0,True,177,183,0
terms_n20_0009_deep,20,deep,183,depth2_guard_direct,2089.4049999999997,1896,3021,3021,1125,8,3.77847487499821,True,7,0,True,177,183,0
terms_n20_0009_deep,20,deep,183,depth_policy,2089.4049999999997,1896,3021,3021,1125,8,3.77847487499821,True,7,0,True,177,183,0
terms_n20_0009_deep,20,deep,183,direct_logical_and,2353.145,2140,3393,3393,1253,7,8.750066626816988e-07,True,1,0,True,183,183,0
terms_n20_0009_deep,20,deep,183,screen_depth1,2161.42,1964,3124,3124,1160,7,0.35707608299708227,True,5,0,True,178,183,0
terms_n20_0009_deep,20,deep,183,screen_depth2,2089.4049999999997,1896,3021,3021,1125,8,3.77847487499821,True,7,0,True,177,183,0
terms_n20_0009_deep,20,deep,183,screen_single,2235.435,2032,3227,3227,1195,7,0.03841404199920362,True,3,0,True,179,183,0
terms_n20_0010_shallow,20,shallow,66,adaptive_all_depth,532.0699999999999,476,782,782,306,5,0.12042258399742423,True,7,0,True,68,66,0
terms_n20_0010_shallow,20,shallow,66,depth2_guard_direct,532.0699999999999,476,782,782,306,5,0.06718354199983878,True,7,0,True,68,66,0
terms_n20_0010_shallow,20,shallow,66,depth_policy,536.2249999999999,480,785,785,305,5,0.047673458997451235,True,5,0,True,65,66,0
terms_n20_0010_shallow,20,shallow,66,direct_logical_and,647.39,584,942,942,358,4,8.749993867240846e-07,True,1,0,True,66,66,0
terms_n20_0010_shallow,20,shallow,66,screen_depth1,536.2249999999999,480,785,785,305,5,0.047673458997451235,True,5,0,True,65,66,0
terms_n20_0010_shallow,20,shallow,66,screen_depth2,532.0699999999999,476,782,782,306,5,0.06718354199983878,True,7,0,True,68,66,0
terms_n20_0010_shallow,20,shallow,66,screen_single,566.6099999999999,508,826,826,318,5,0.005565583000134211,True,3,0,True,64,66,0
terms_n20_0011_mixed,20,mixed,108,adaptive_all_depth,1175.705,1060,1697,1697,637,8,2.0607335840031737,True,7,0,True,107,108,0
terms_n20_0011_mixed,20,mixed,108,depth2_guard_direct,1175.705,1060,1697,1697,637,8,1.870444416999817,True,7,0,True,107,108,0
terms_n20_0011_mixed,20,mixed,108,depth_policy,1175.705,1060,1697,1697,637,8,1.870444416999817,True,7,0,True,107,108,0
terms_n20_0011_mixed,20,mixed,108,direct_logical_and,1347.77,1220,1938,1938,718,7,1.0000003385357559e-06,True,1,0,True,108,108,0
terms_n20_0011_mixed,20,mixed,108,screen_depth1,1197.325,1080,1725,1725,645,8,0.18061558400222566,True,5,0,True,105,108,0
terms_n20_0011_mixed,20,mixed,108,screen_depth2,1175.705,1060,1697,1697,637,8,1.870444416999817,True,7,0,True,107,108,0
terms_n20_0011_mixed,20,mixed,108,screen_single,1234.3449999999998,1116,1777,1777,661,7,0.009673583001131192,True,3,0,True,103,108,0
terms_n20_0012_deep,20,deep,149,adaptive_all_depth,1676.5549999999998,1520,2427,2427,907,7,3.2238642090014764,True,7,0,True,147,149,0
