baseline_CNOT,baseline_T,baseline_depth,baseline_peak_ancilla,baseline_score,baseline_time_s,name,relative_CNOT_pct,relative_T_pct,relative_depth_pct,relative_peak_ancilla_pct,relative_score_pct,relative_time_s_pct,target_CNOT,target_T,target_depth,target_peak_ancilla,target_score,target_time_s
192.0,108.0,192.0,0.0,119.4,10.709929943084717,anf_n20_0,-21.354166666666664,-25.925925925925924,-21.354166666666664,100.0,-23.77303182579565,410.82618878039796,151.0,80.0,151.0,1.0,91.015,54.7091269493103
119441.0,76784.0,119441.0,4.0,83787.82500000001,10.772517204284668,anf_n20_1,-5.25196540551402,-5.251093977912065,-5.25196540551402,50.0,-5.245899389320587,639.7649551784853,113168.0,72752.0,113168.0,6.0,79392.40000000001,79.6913070678711
11938.0,7504.0,11938.0,2.0,8208.93,10.732682943344116,anf_n20_2,-7.111744010722064,-7.142857142857142,-7.111744010722064,50.0,-7.112071853457147,439.8337707135453,11089.0,6968.0,11089.0,3.0,7625.1050000000005,57.93864703178406
2592.0,1584.0,2592.0,1.0,1738.6399999999999,10.719086170196533,anf_n20_3,-9.760802469135802,-10.1010101010101,-9.760802469135802,100.0,-9.941390972254165,421.32192308272323,2339.0,1424.0,2339.0,2.0,1565.795,55.88094615936279
67530.0,43052.0,67530.0,3.0,47016.92999999999,10.735316276550293,anf_n20_4,-8.166740707833556,-8.166867973613305,-8.166740707833556,66.66666666666666,-8.157306314980573,528.8697448963048,62015.0,39536.0,62015.0,5.0,43181.615,67.51115608215332
121.0,68.0,121.0,0.0,75.185,10.775784015655518,anf_n20_5,0.0,0.0,0.0,0.0,0.0,398.728377782607,121.0,68.0,121.0,0.0,75.185,53.74189281463623
