dataset,method,baseline,metric,items,wins,losses,ties,mean_relative
schedule_truth_bridge,adaptive_all_depth,screen_depth2,score,12,10,0,2,-0.038121379710518634
schedule_truth_bridge,adaptive_all_depth,screen_depth2,schedule_logical_depth,12,5,4,3,0.007767695428073928
schedule_truth_bridge,adaptive_all_depth,screen_depth2,schedule_cnot_depth_proxy,12,10,0,2,-0.036081441817783666
schedule_truth_bridge,adaptive_all_depth,screen_depth2,schedule_t_depth_proxy,12,10,0,2,-0.036326815279375424
schedule_truth_bridge,adaptive_all_depth,screen_depth2,explicit_ancilla_live_peak,12,0,0,12,0.0
schedule_truth_bridge,adaptive_all_depth,screen_depth2,explicit_ancilla_lifetime_area,12,0,10,2,0.383051225399904
schedule_truth_bridge,adaptive_all_depth,screen_depth2,peak_ancilla,12,0,0,12,0.0
schedule_truth_bridge,depth2_guard_direct,screen_depth2,score,12,0,0,12,0.0
schedule_truth_bridge,depth2_guard_direct,screen_depth2,schedule_logical_depth,12,0,0,12,0.0
schedule_truth_bridge,depth2_guard_direct,screen_depth2,schedule_cnot_depth_proxy,12,0,0,12,0.0
schedule_truth_bridge,depth2_guard_direct,screen_depth2,schedule_t_depth_proxy,12,0,0,12,0.0
schedule_truth_bridge,depth2_guard_direct,screen_depth2,explicit_ancilla_live_peak,12,0,0,12,0.0
schedule_truth_bridge,depth2_guard_direct,screen_depth2,explicit_ancilla_lifetime_area,12,0,0,12,0.0
schedule_truth_bridge,depth2_guard_direct,screen_depth2,peak_ancilla,12,0,0,12,0.0
schedule_truth_bridge,depth_frontier_policy,adaptive_all_depth,score,12,0,2,10,0.0032395062941104856
schedule_truth_bridge,depth_frontier_policy,adaptive_all_depth,schedule_logical_depth,12,2,0,10,-0.0072717231222385855
schedule_truth_bridge,depth_frontier_policy,adaptive_all_depth,schedule_cnot_depth_proxy,12,0,2,10,0.0036000490816186417
schedule_truth_bridge,depth_frontier_policy,adaptive_all_depth,schedule_t_depth_proxy,12,0,2,10,0.003245342458312965
schedule_truth_bridge,depth_frontier_policy,adaptive_all_depth,explicit_ancilla_live_peak,12,0,0,12,0.0
schedule_truth_bridge,depth_frontier_policy,adaptive_all_depth,explicit_ancilla_lifetime_area,12,2,0,10,-0.04014844804318489
schedule_truth_bridge,depth_frontier_policy,adaptive_all_depth,peak_ancilla,12,0,0,12,0.0
schedule_truth_bridge,depth_frontier_policy,screen_depth2,score,12,8,0,4,-0.03495657997240373
