name,n,method,T,CNOT,depth,gates,explicit_ancilla,peak_ancilla,n_qubits,score,score_lower_bound,score_rz1,score_rz1.5,score_rz2,score_rz4,score_rz10,score_synth_tperrz30,score_synth_tperrz60,score_synth_tperrz100,time_s,anf_terms,parity_gadgets,rz_total,rz_clifford,rz_t_like,rz_non_clifford,rz_max_denominator,phase_ops,ct_supported,verified_up_to_global_phase,correct,skipped,error,truth_table_hex,candidate_affine_forms,candidate_polarities,candidate_transforms,global_phase_pi,global_phase_pi_den,global_phase_pi_num,polarity,polarity_hex,polarity_weight,rank_metric,shifted_constant_term,transform_index,transform_nonidentity,transform_rows_hex,transform_weight
majority_n4,4,phase_parity_affine_fprm_opt_tperrz30,0,34,49,49,0,0,4,2.585,2.585,17.585,25.085,32.585,62.585,152.585,463.83500000000004,925.085,1540.0849999999998,0.07590699195861816,5,15,15,0,0,15,8,15,0,True,phase oracle verified up to global phase,,,E880,2048,16,128,0/1,1,0,0,0x0,0,score_synth_tperrz30,0,0,0,0x1;0x2;0x4;0x8,4
mul_w2_bit1,4,phase_parity_affine_fprm_opt_score,0,4,10,10,0,0,4,0.41000000000000003,0.41000000000000003,0.41000000000000003,0.41000000000000003,0.41000000000000003,0.41000000000000003,0.41000000000000003,0.41000000000000003,0.41000000000000003,0.41000000000000003,0.031039079030354817,2,6,6,6,0,0,2,0,1,True,phase oracle verified up to global phase,,,6AC0,2048,16,128,0/1,1,0,0,0x0,0,score,0,0,0,0x1;0x2;0x4;0x8,4
mul_w2_bit1,4,phase_parity_affine_fprm_opt_rz1,0,4,10,10,0,0,4,0.41000000000000003,0.41000000000000003,0.41000000000000003,0.41000000000000003,0.41000000000000003,0.41000000000000003,0.41000000000000003,0.41000000000000003,0.41000000000000003,0.41000000000000003,0.031039079030354817,2,6,6,6,0,0,2,0,1,True,phase oracle verified up to global phase,,,6AC0,2048,16,128,0/1,1,0,0,0x0,0,score_rz1,0,0,0,0x1;0x2;0x4;0x8,4
mul_w2_bit1,4,phase_parity_affine_fprm_opt_tperrz30,0,4,10,10,0,0,4,0.41000000000000003,0.41000000000000003,0.41000000000000003,0.41000000000000003,0.41000000000000003,0.41000000000000003,0.41000000000000003,0.41000000000000003,0.41000000000000003,0.41000000000000003,0.031039079030354817,2,6,6,6,0,0,2,0,1,True,phase oracle verified up to global phase,,,6AC0,2048,16,128,0/1,1,0,0,0x0,0,score_synth_tperrz30,0,0,0,0x1;0x2;0x4;0x8,4
parity_n4,4,phase_parity_affine_fprm_opt_score,0,0,4,4,0,0,4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.01607664426167806,4,4,4,4,0,0,1,0,1,True,phase oracle verified up to global phase,,,6996,2048,16,128,0/1,1,0,0,0x0,0,score,0,0,0,0x1;0x2;0x4;0x8,4
parity_n4,4,phase_parity_affine_fprm_opt_rz1,0,0,4,4,0,0,4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.01607664426167806,4,4,4,4,0,0,1,0,1,True,phase oracle verified up to global phase,,,6996,2048,16,128,0/1,1,0,0,0x0,0,score_rz1,0,0,0,0x1;0x2;0x4;0x8,4
parity_n4,4,phase_parity_affine_fprm_opt_tperrz30,0,0,4,4,0,0,4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.01607664426167806,4,4,4,4,0,0,1,0,1,True,phase oracle verified up to global phase,,,6996,2048,16,128,0/1,1,0,0,0x0,0,score_synth_tperrz30,0,0,0,0x1;0x2;0x4;0x8,4
threshold2_n4,4,phase_parity_affine_fprm_opt_score,0,34,49,49,0,0,4,2.585,2.585,17.585,25.085,32.585,62.585,152.585,463.83500000000004,925.085,1540.0849999999998,0.0732256571451823,7,15,15,0,0,15,8,15,0,True,phase oracle verified up to global phase,,,FEE8,2048,16,128,0/1,1,0,0,0x0,0,score,0,0,0,0x1;0x2;0x4;0x8,4
threshold2_n4,4,phase_parity_affine_fprm_opt_rz1,0,34,49,49,0,0,4,2.585,2.585,17.585,25.085,32.585,62.585,152.585,463.83500000000004,925.085,1540.0849999999998,0.0732256571451823,7,15,15,0,0,15,8,15,0,True,phase oracle verified up to global phase,,,FEE8,2048,16,128,0/1,1,0,0,0x0,0,score_rz1,0,0,0,0x1;0x2;0x4;0x8,4
threshold2_n4,4,phase_parity_affine_fprm_opt_tperrz30,0,34,49,49,0,0,4,2.585,2.585,17.585,25.085,32.585,62.585,152.585,463.83500000000004,925.085,1540.0849999999998,0.0732256571451823,7,15,15,0,0,15,8,15,0,True,phase oracle verified up to global phase,,,FEE8,2048,16,128,0/1,1,0,0,0x0,0,score_synth_tperrz30,0,0,0,0x1;0x2;0x4;0x8,4
truth_n4_0,4,phase_parity_affine_fprm_opt_score,7,20,29,29,0,0,4,8.524999999999999,8.524999999999999,8.524999999999999,8.524999999999999,8.524999999999999,8.524999999999999,8.524999999999999,8.524999999999999,8.524999999999999,8.524999999999999,0.05276203155517578,5,9,9,2,7,0,4,7,1,True,phase oracle verified up to global phase,,,A3B1,2048,16,128,1/1,1,1,0,0x0,0,score,1,20,1,0x5;0x3;0x7;0x8,8
truth_n4_0,4,phase_parity_affine_fprm_opt_rz1,7,20,29,29,0,0,4,8.524999999999999,8.524999999999999,8.524999999999999,8.524999999999999,8.524999999999999,8.524999999999999,8.524999999999999,8.524999999999999,8.524999999999999,8.524999999999999,0.05276203155517578,5,9,9,2,7,0,4,7,1,True,phase oracle verified up to global phase,,,A3B1,2048,16,128,1/1,1,1,0,0x0,0,score_rz1,1,20,1,0x5;0x3;0x7;0x8,8
truth_n4_0,4,phase_parity_affine_fprm_opt_tperrz30,7,20,29,29,0,0,4,8.524999999999999,8.524999999999999,8.524999999999999,8.524999999999999,8.524999999999999,8.524999999999999,8.524999999999999,8.524999999999999,8.524999999999999,8.524999999999999,0.05276203155517578,5,9,9,2,7,0,4,7,1,True,phase oracle verified up to global phase,,,A3B1,2048,16,128,1/1,1,1,0,0x0,0,score_synth_tperrz30,1,20,1,0x5;0x3;0x7;0x8,8
truth_n4_1,4,phase_parity_affine_fprm_opt_score,7,20,29,29,0,0,4,8.524999999999999,8.524999999999999,8.524999999999999,8.524999999999999,8.524999999999999,8.524999999999999,8.524999999999999,8.524999999999999,8.524999999999999,8.524999999999999,0.05300672849019369,5,9,9,2,7,0,4,7,1,True,phase oracle verified up to global phase,,,1C80,2048,16,128,0/1,1,0,0,0x0,0,score,0,10,1,0x1;0x2;0x4;0xa,5
truth_n4_1,4,phase_parity_affine_fprm_opt_rz1,7,20,29,29,0,0,4,8.524999999999999,8.524999999999999,8.524999999999999,8.524999999999999,8.524999999999999,8.524999999999999,8.524999999999999,8.524999999999999,8.524999999999999,8.524999999999999,0.05300672849019369,5,9,9,2,7,0,4,7,1,True,phase oracle verified up to global phase,,,1C80,2048,16,128,0/1,1,0,0,0x0,0,score_rz1,0,10,1,0x1;0x2;0x4;0xa,5
truth_n4_1,4,phase_parity_affine_fprm_opt_tperrz30,7,20,29,29,0,0,4,8.524999999999999,8.524999999999999,8.524999999999999,8.524999999999999,8.524999999999999,8.524999999999999,8.524999999999999,8.524999999999999,8.524999999999999,8.524999999999999,0.05300672849019369,5,9,9,2,7,0,4,7,1,True,phase oracle verified up to global phase,,,1C80,2048,16,128,0/1,1,0,0,0x0,0,score_synth_tperrz30,0,10,1,0x1;0x2;0x4;0xa,5
truth_n4_10,4,phase_parity_affine_fprm_opt_score,0,34,49,49,0,0,4,2.585,2.585,17.585,25.085,32.585,62.585,152.585,463.83500000000004,925.085,1540.0849999999998,0.07144625981648763,7,15,15,0,0,15,8,15,0,True,phase oracle verified up to global phase,,,AD3C,2048,16,128,0/1,1,0,0,0x0,0,score,0,0,0,0x1;0x2;0x4;0x8,4
truth_n4_10,4,phase_parity_affine_fprm_opt_rz1,0,34,49,49,0,0,4,2.585,2.585,17.585,25.085,32.585,62.585,152.585,463.83500000000004,925.085,1540.0849999999998,0.07144625981648763,7,15,15,0,0,15,8,15,0,True,phase oracle verified up to global phase,,,AD3C,2048,16,128,0/1,1,0,0,0x0,0,score_rz1,0,0,0,0x1;0x2;0x4;0x8,4
truth_n4_10,4,phase_parity_affine_fprm_opt_tperrz30,0,34,49,49,0,0,4,2.585,2.585,17.585,25.085,32.585,62.585,152.585,463.83500000000004,925.085,1540.0849999999998,0.07144625981648763,7,15,15,0,0,15,8,15,0,True,phase oracle verified up to global phase,,,AD3C,2048,16,128,0/1,1,0,0,0x0,0,score_synth_tperrz30,0,0,0,0x1;0x2;0x4;0x8,4
truth_n4_11,4,phase_parity_affine_fprm_opt_score,7,18,27,27,0,0,4,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,0.05235497156778971,7,9,9,2,7,0,4,7,1,True,phase oracle verified up to global phase,,,BD9C,2048,16,128,0/1,1,0,0,0x0,0,score,0,6,1,0x1;0x2;0x5;0x8,5
truth_n4_11,4,phase_parity_affine_fprm_opt_rz1,7,18,27,27,0,0,4,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,0.05235497156778971,7,9,9,2,7,0,4,7,1,True,phase oracle verified up to global phase,,,BD9C,2048,16,128,0/1,1,0,0,0x0,0,score_rz1,0,6,1,0x1;0x2;0x5;0x8,5
truth_n4_11,4,phase_parity_affine_fprm_opt_tperrz30,7,18,27,27,0,0,4,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,0.05235497156778971,7,9,9,2,7,0,4,7,1,True,phase oracle verified up to global phase,,,BD9C,2048,16,128,0/1,1,0,0,0x0,0,score_synth_tperrz30,0,6,1,0x1;0x2;0x5;0x8,5
truth_n4_12,4,phase_parity_affine_fprm_opt_score,7,18,27,27,0,0,4,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,0.05466866493225098,10,9,9,2,7,0,4,7,1,True,phase oracle verified up to global phase,,,E465,2048,16,128,1/1,1,1,0,0x0,0,score,1,20,1,0x5;0x3;0x7;0x8,8
truth_n4_12,4,phase_parity_affine_fprm_opt_rz1,7,18,27,27,0,0,4,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,0.05466866493225098,10,9,9,2,7,0,4,7,1,True,phase oracle verified up to global phase,,,E465,2048,16,128,1/1,1,1,0,0x0,0,score_rz1,1,20,1,0x5;0x3;0x7;0x8,8
truth_n4_12,4,phase_parity_affine_fprm_opt_tperrz30,7,18,27,27,0,0,4,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,8.395,0.05466866493225098,10,9,9,2,7,0,4,7,1,True,phase oracle verified up to global phase,,,E465,2048,16,128,1/1,1,1,0,0x0,0,score_synth_tperrz30,1,20,1,0x5;0x3;0x7;0x8,8
truth_n4_13,4,phase_parity_affine_fprm_opt_score,0,34,49,49,0,0,4,2.585,2.585,17.585,25.085,32.585,62.585,152.585,463.83500000000004,925.085,1540.0849999999998,0.07173760732014973,9,15,15,0,0,15,8,15,0,True,phase oracle verified up to global phase,,,8B9D,2048,16,128,1/1,1,1,0,0x0,0,score,1,0,0,0x1;0x2;0x4;0x8,4
truth_n4_13,4,phase_parity_affine_fprm_opt_rz1,0,34,49,49,0,0,4,2.585,2.585,17.585,25.085,32.585,62.585,152.585,463.83500000000004,925.085,1540.0849999999998,0.07173760732014973,9,15,15,0,0,15,8,15,0,True,phase oracle verified up to global phase,,,8B9D,2048,16,128,1/1,1,1,0,0x0,0,score_rz1,1,0,0,0x1;0x2;0x4;0x8,4
truth_n4_13,4,phase_parity_affine_fprm_opt_tperrz30,0,34,49,49,0,0,4,2.585,2.585,17.585,25.085,32.585,62.585,152.585,463.83500000000004,925.085,1540.0849999999998,0.07173760732014973,9,15,15,0,0,15,8,15,0,True,phase oracle verified up to global phase,,,8B9D,2048,16,128,1/1,1,1,0,0x0,0,score_synth_tperrz30,1,0,0,0x1;0x2;0x4;0x8,4
