target,baseline,metric,items,wins,losses,ties,mean_relative,by_n
and_fprm_linear_pair_fast,external_ros_lut_k4,peak_ancilla,12,12,0,0,-0.9989476253708583,18:12
and_fprm_linear_pair_fast,external_ros_lut_k4,score,12,12,0,0,-0.9967082431802425,18:12
and_direct_anf,external_ros_lut_proxy,T,309,302,2,5,-0.6568303860160702,14:64;15:32;16:24;18:12;3:3;4:69;5:67;6:38
and_direct_anf,external_ros_lut_proxy,CNOT,309,307,2,0,-0.6795205359102876,14:64;15:32;16:24;18:12;3:3;4:69;5:67;6:38
and_direct_anf,external_ros_lut_proxy,depth,309,307,2,0,-0.6828076669682999,14:64;15:32;16:24;18:12;3:3;4:69;5:67;6:38
and_direct_anf,external_ros_lut_proxy,peak_ancilla,309,309,0,0,-0.735040291750655,14:64;15:32;16:24;18:12;3:3;4:69;5:67;6:38
and_direct_anf,external_ros_lut_proxy,score,309,307,2,0,-0.6745360205725294,14:64;15:32;16:24;18:12;3:3;4:69;5:67;6:38
and_direct_anf,external_ros_lut_k4,T,309,306,1,2,-0.7089077599958126,14:64;15:32;16:24;18:12;3:3;4:69;5:67;6:38
and_direct_anf,external_ros_lut_k4,CNOT,309,308,1,0,-0.7217627418618165,14:64;15:32;16:24;18:12;3:3;4:69;5:67;6:38
and_direct_anf,external_ros_lut_k4,depth,309,308,1,0,-0.7236679980246811,14:64;15:32;16:24;18:12;3:3;4:69;5:67;6:38
and_direct_anf,external_ros_lut_k4,peak_ancilla,309,309,0,0,-0.7529593039671169,14:64;15:32;16:24;18:12;3:3;4:69;5:67;6:38
and_direct_anf,external_ros_lut_k4,score,309,308,1,0,-0.7175941274952776,14:64;15:32;16:24;18:12;3:3;4:69;5:67;6:38
direct_anf,external_ros_lut_proxy,T,309,243,55,11,-0.41504110418791906,14:64;15:32;16:24;18:12;3:3;4:69;5:67;6:38
direct_anf,external_ros_lut_proxy,CNOT,309,308,1,0,-0.7286388925588808,14:64;15:32;16:24;18:12;3:3;4:69;5:67;6:38
direct_anf,external_ros_lut_proxy,depth,309,308,1,0,-0.731207021754415,14:64;15:32;16:24;18:12;3:3;4:69;5:67;6:38
direct_anf,external_ros_lut_proxy,peak_ancilla,309,309,0,0,-0.8271676905910268,14:64;15:32;16:24;18:12;3:3;4:69;5:67;6:38
direct_anf,external_ros_lut_proxy,score,309,272,37,0,-0.4816494166005929,14:64;15:32;16:24;18:12;3:3;4:69;5:67;6:38
direct_anf,external_ros_lut_k4,T,309,275,29,5,-0.5031537857221808,14:64;15:32;16:24;18:12;3:3;4:69;5:67;6:38
direct_anf,external_ros_lut_k4,CNOT,309,309,0,0,-0.7643553295845911,14:64;15:32;16:24;18:12;3:3;4:69;5:67;6:38
direct_anf,external_ros_lut_k4,depth,309,309,0,0,-0.7657313129607062,14:64;15:32;16:24;18:12;3:3;4:69;5:67;6:38
direct_anf,external_ros_lut_k4,peak_ancilla,309,309,0,0,-0.8365981677356749,14:64;15:32;16:24;18:12;3:3;4:69;5:67;6:38
direct_anf,external_ros_lut_k4,score,309,287,22,0,-0.5505005139084365,14:64;15:32;16:24;18:12;3:3;4:69;5:67;6:38
external_ros_lut_proxy,external_ros_lut_k4,T,309,218,0,91,-0.19975321441866756,14:64;15:32;16:24;18:12;3:3;4:69;5:67;6:38
external_ros_lut_proxy,external_ros_lut_k4,CNOT,309,218,1,90,-0.18020633212824042,14:64;15:32;16:24;18:12;3:3;4:69;5:67;6:38
external_ros_lut_proxy,external_ros_lut_k4,depth,309,215,2,92,-0.1774410314088583,14:64;15:32;16:24;18:12;3:3;4:69;5:67;6:38
external_ros_lut_proxy,external_ros_lut_k4,peak_ancilla,309,53,163,93,0.2272949626761424,14:64;15:32;16:24;18:12;3:3;4:69;5:67;6:38
external_ros_lut_proxy,external_ros_lut_k4,score,309,219,0,90,-0.18116738977977637,14:64;15:32;16:24;18:12;3:3;4:69;5:67;6:38
