policy,topk,functions,random_repeats,wins,losses,ties,sign_p,target_mean,random_mean,mean_delta,mean_relative,mean_pair_delta,median_pair_delta,mean_pair_relative,seed_means_beaten,random_seed_means,target_at_or_better_than_random_best,method
rank,64,38,8,16,3,19,0.004425048828125,1482.4823684210526,1482.8002302631578,-0.3178618421052306,-0.00021436592442990014,-0.31786184210527124,0.0,0.014211272024072902,8,8,29,phase_parity_affine_policy_tperrz30_top64
diverse,64,38,8,16,3,19,0.004425048828125,1482.3951315789473,1482.8002302631578,-0.40509868421054307,-0.00027319842278325567,-0.4050986842105344,0.0,0.006305803777107505,8,8,29,phase_parity_affine_policy_diverse_tperrz30_top64
rank,128,38,8,14,5,19,0.063568115234375,1482.290394736842,1482.5176315789472,-0.22723684210518513,-0.00015327766581984444,-0.22723684210526615,0.0,0.0070223430937198525,8,8,28,phase_parity_affine_policy_tperrz30_top128
diverse,128,38,8,14,5,19,0.063568115234375,1482.1498684210526,1482.5176315789472,-0.3677631578946148,-0.0002480666334490273,-0.36776315789474046,0.0,-0.0007870941844793558,8,8,29,phase_parity_affine_policy_diverse_tperrz30_top128
rank,256,38,8,12,6,20,0.237884521484375,1482.1361842105262,1482.3171217105262,-0.18093750000002728,-0.00012206396144924352,-0.18093750000001094,0.0,0.0009834485020242482,8,8,27,phase_parity_affine_policy_tperrz30_top256
diverse,256,38,8,15,3,20,0.007537841796875,1482.0567105263156,1482.3171217105262,-0.2604111842106249,-0.0001756784566517874,-0.2604111842105458,0.0,-0.00030290798536494377,8,8,31,phase_parity_affine_policy_diverse_tperrz30_top256
rank,512,38,8,14,3,21,0.012725830078125,1482.0324999999998,1482.1305098684209,-0.09800986842105885,-6.612769102888239e-05,-0.09800986842105375,0.0,0.0006628512107046321,8,8,30,phase_parity_affine_policy_tperrz30_top512
diverse,512,38,8,17,0,21,1.52587890625e-05,1481.9509210526314,1482.1305098684209,-0.17958881578942965,-0.00012116936706563919,-0.1795888157894665,0.0,-0.0006324970837257112,8,8,32,phase_parity_affine_policy_diverse_tperrz30_top512
