target,baseline,metric,items,wins,losses,ties,mean_relative,median_relative,by_n
and_pareto_resource_nmcts,external_revkit_cli_dbs,score,177,173,0,4,-0.6921786146875487,-0.7192335372436127,3:3;4:69;5:67;6:38
and_pareto_resource_nmcts,external_revkit_cli_dbs,T,177,173,0,4,-0.7419741581593087,-0.7696335078534031,3:3;4:69;5:67;6:38
and_pareto_resource_nmcts,external_revkit_cli_dbs,CNOT,177,100,68,9,-0.07490831172279597,-0.05555555555555555,3:3;4:69;5:67;6:38
and_pareto_resource_nmcts,external_revkit_cli_dbs,depth,177,83,87,7,-0.007810324478777171,0.0,3:3;4:69;5:67;6:38
and_pareto_resource_nmcts,external_revkit_cli_dbs,peak_ancilla,177,2,160,15,1.3728813559322033,1.0,3:3;4:69;5:67;6:38
and_fprm_polarity_archive,external_revkit_cli_dbs,score,177,173,0,4,-0.6648670429134815,-0.6915245120639312,3:3;4:69;5:67;6:38
and_fprm_polarity_archive,external_revkit_cli_dbs,T,177,173,0,4,-0.7180444711735596,-0.746031746031746,3:3;4:69;5:67;6:38
and_fprm_polarity_archive,external_revkit_cli_dbs,CNOT,177,83,85,9,-0.017185375844626885,0.0,3:3;4:69;5:67;6:38
and_fprm_polarity_archive,external_revkit_cli_dbs,depth,177,66,103,8,0.04589782624608565,0.061224489795918366,3:3;4:69;5:67;6:38
and_fprm_polarity_archive,external_revkit_cli_dbs,peak_ancilla,177,0,164,13,1.4519774011299436,1.0,3:3;4:69;5:67;6:38
and_direct_anf,external_revkit_cli_dbs,score,177,167,6,4,-0.3648871319716204,-0.38979721166032955,3:3;4:69;5:67;6:38
and_direct_anf,external_revkit_cli_dbs,T,177,169,3,5,-0.4259386389044314,-0.4461538461538462,3:3;4:69;5:67;6:38
and_direct_anf,external_revkit_cli_dbs,CNOT,177,14,158,5,0.7604236906847676,0.6372549019607843,3:3;4:69;5:67;6:38
and_direct_anf,external_revkit_cli_dbs,depth,177,14,159,4,0.7661157027732151,0.6470588235294118,3:3;4:69;5:67;6:38
and_direct_anf,external_revkit_cli_dbs,peak_ancilla,177,2,160,15,1.5197740112994351,1.0,3:3;4:69;5:67;6:38
direct_anf,external_revkit_cli_dbs,score,177,89,84,4,0.0009841376109129634,-0.0007164674384401406,3:3;4:69;5:67;6:38
direct_anf,external_revkit_cli_dbs,T,177,94,78,5,-0.023086001657488534,-0.037037037037037035,3:3;4:69;5:67;6:38
direct_anf,external_revkit_cli_dbs,CNOT,177,24,144,9,0.4733343266856004,0.43548387096774194,3:3;4:69;5:67;6:38
direct_anf,external_revkit_cli_dbs,depth,177,22,145,10,0.4793001533652277,0.44642857142857145,3:3;4:69;5:67;6:38
direct_anf,external_revkit_cli_dbs,peak_ancilla,177,2,112,63,0.672316384180791,1.0,3:3;4:69;5:67;6:38
and_esop_milp,external_revkit_cli_dbs,score,177,172,1,4,-0.544684003055531,-0.5902153558052435,3:3;4:69;5:67;6:38
and_esop_milp,external_revkit_cli_dbs,T,177,173,0,4,-0.600201643191349,-0.6428571428571429,3:3;4:69;5:67;6:38
and_esop_milp,external_revkit_cli_dbs,CNOT,177,91,76,10,0.2439183508565277,-0.02586206896551724,3:3;4:69;5:67;6:38
and_esop_milp,external_revkit_cli_dbs,depth,177,48,123,6,0.48001983976600987,0.14634146341463414,3:3;4:69;5:67;6:38
and_esop_milp,external_revkit_cli_dbs,peak_ancilla,177,2,163,12,1.6666666666666667,2.0,3:3;4:69;5:67;6:38
sshr_h,external_revkit_cli_dbs,score,177,171,6,0,0.8064996473363767,-0.5103619086130207,3:3;4:69;5:67;6:38
sshr_h,external_revkit_cli_dbs,T,177,171,6,0,0.6667148597361569,-0.5303326810176126,3:3;4:69;5:67;6:38
sshr_h,external_revkit_cli_dbs,CNOT,177,153,20,4,0.06305417927745341,-0.22916666666666666,3:3;4:69;5:67;6:38
sshr_h,external_revkit_cli_dbs,depth,177,82,90,5,0.35875047594024584,0.021739130434782608,3:3;4:69;5:67;6:38
sshr_h,external_revkit_cli_dbs,peak_ancilla,177,2,117,58,0.7005649717514124,1.0,3:3;4:69;5:67;6:38
and_resource_nmcts,external_revkit_cli_rms,score,177,173,0,4,-0.7149137958553846,-0.7478376240655219,3:3;4:69;5:67;6:38
and_resource_nmcts,external_revkit_cli_rms,T,177,173,0,4,-0.758999313825905,-0.7894736842105263,3:3;4:69;5:67;6:38
and_resource_nmcts,external_revkit_cli_rms,CNOT,177,164,9,4,-0.3145783123294246,-0.3405994550408719,3:3;4:69;5:67;6:38
and_resource_nmcts,external_revkit_cli_rms,depth,177,162,10,5,-0.27205246898771096,-0.29577464788732394,3:3;4:69;5:67;6:38
and_resource_nmcts,external_revkit_cli_rms,peak_ancilla,177,0,170,7,1.4519774011299436,1.0,3:3;4:69;5:67;6:38
and_pareto_resource_nmcts,external_revkit_cli_rms,score,177,173,0,4,-0.7224469739680304,-0.7534378578149622,3:3;4:69;5:67;6:38
and_pareto_resource_nmcts,external_revkit_cli_rms,T,177,173,0,4,-0.766606558102482,-0.7959183673469388,3:3;4:69;5:67;6:38
and_pareto_resource_nmcts,external_revkit_cli_rms,CNOT,177,164,9,4,-0.34195281614412726,-0.375,3:3;4:69;5:67;6:38
and_pareto_resource_nmcts,external_revkit_cli_rms,depth,177,163,9,5,-0.29742847187284865,-0.335149863760218,3:3;4:69;5:67;6:38
and_pareto_resource_nmcts,external_revkit_cli_rms,peak_ancilla,177,0,170,7,1.5593220338983051,1.0,3:3;4:69;5:67;6:38
and_fprm_polarity_archive,external_revkit_cli_rms,score,177,173,0,4,-0.696461471310203,-0.7168679028316803,3:3;4:69;5:67;6:38
and_fprm_polarity_archive,external_revkit_cli_rms,T,177,173,0,4,-0.7443622619302042,-0.7660818713450293,3:3;4:69;5:67;6:38
and_fprm_polarity_archive,external_revkit_cli_rms,CNOT,177,162,11,4,-0.2973029014265206,-0.328125,3:3;4:69;5:67;6:38
and_fprm_polarity_archive,external_revkit_cli_rms,depth,177,160,13,4,-0.2557392793277117,-0.2857142857142857,3:3;4:69;5:67;6:38
and_fprm_polarity_archive,external_revkit_cli_rms,peak_ancilla,177,0,172,5,1.6384180790960452,1.0,3:3;4:69;5:67;6:38
and_direct_anf,external_revkit_cli_rms,score,177,173,0,4,-0.4483397296226218,-0.43511591391890647,3:3;4:69;5:67;6:38
and_direct_anf,external_revkit_cli_rms,T,177,173,0,4,-0.5004741915872577,-0.48717948717948717,3:3;4:69;5:67;6:38
and_direct_anf,external_revkit_cli_rms,CNOT,177,6,156,15,0.1866118162014557,0.17647058823529413,3:3;4:69;5:67;6:38
and_direct_anf,external_revkit_cli_rms,depth,177,6,156,15,0.1858390810592323,0.17391304347826086,3:3;4:69;5:67;6:38
and_direct_anf,external_revkit_cli_rms,peak_ancilla,177,0,170,7,1.7062146892655368,2.0,3:3;4:69;5:67;6:38
direct_anf,external_revkit_cli_rms,score,177,169,3,5,-0.13897840372628714,-0.14438695704488028,3:3;4:69;5:67;6:38
direct_anf,external_revkit_cli_rms,T,177,169,0,8,-0.1581501671380984,-0.16339869281045752,3:3;4:69;5:67;6:38
direct_anf,external_revkit_cli_rms,CNOT,177,0,0,177,0.0,0.0,3:3;4:69;5:67;6:38
direct_anf,external_revkit_cli_rms,depth,177,0,0,177,0.0,0.0,3:3;4:69;5:67;6:38
direct_anf,external_revkit_cli_rms,peak_ancilla,177,0,138,39,0.8587570621468926,1.0,3:3;4:69;5:67;6:38
and_esop_milp,external_revkit_cli_rms,score,177,173,0,4,-0.5920197318675707,-0.6149881046788264,3:3;4:69;5:67;6:38
and_esop_milp,external_revkit_cli_rms,T,177,173,0,4,-0.6403712266473267,-0.6666666666666666,3:3;4:69;5:67;6:38
and_esop_milp,external_revkit_cli_rms,CNOT,177,130,43,4,-0.15142370066508118,-0.29310344827586204,3:3;4:69;5:67;6:38
and_esop_milp,external_revkit_cli_rms,depth,177,118,52,7,-0.0013994113757223423,-0.17142857142857143,3:3;4:69;5:67;6:38
and_esop_milp,external_revkit_cli_rms,peak_ancilla,177,0,170,7,1.8531073446327684,2.0,3:3;4:69;5:67;6:38
sshr_h,external_revkit_cli_rms,score,177,171,6,0,0.7523419011241927,-0.5783953384132676,3:3;4:69;5:67;6:38
sshr_h,external_revkit_cli_rms,T,177,171,6,0,0.6163719024231676,-0.6106194690265486,3:3;4:69;5:67;6:38
sshr_h,external_revkit_cli_rms,CNOT,177,169,7,1,-0.14644799395271874,-0.4755244755244755,3:3;4:69;5:67;6:38
sshr_h,external_revkit_cli_rms,depth,177,153,22,2,0.07535819318337199,-0.3228346456692913,3:3;4:69;5:67;6:38
sshr_h,external_revkit_cli_rms,peak_ancilla,177,0,141,36,0.8870056497175142,1.0,3:3;4:69;5:67;6:38
and_resource_nmcts,external_revkit_cli_tbs,score,177,173,0,4,-0.7149137958553846,-0.7478376240655219,3:3;4:69;5:67;6:38
and_resource_nmcts,external_revkit_cli_tbs,T,177,173,0,4,-0.758999313825905,-0.7894736842105263,3:3;4:69;5:67;6:38
and_resource_nmcts,external_revkit_cli_tbs,CNOT,177,164,9,4,-0.3145783123294246,-0.3405994550408719,3:3;4:69;5:67;6:38
and_resource_nmcts,external_revkit_cli_tbs,depth,177,162,10,5,-0.27205246898771096,-0.29577464788732394,3:3;4:69;5:67;6:38
and_resource_nmcts,external_revkit_cli_tbs,peak_ancilla,177,0,170,7,1.4519774011299436,1.0,3:3;4:69;5:67;6:38
and_pareto_resource_nmcts,external_revkit_cli_tbs,score,177,173,0,4,-0.7224469739680304,-0.7534378578149622,3:3;4:69;5:67;6:38
and_pareto_resource_nmcts,external_revkit_cli_tbs,T,177,173,0,4,-0.766606558102482,-0.7959183673469388,3:3;4:69;5:67;6:38
and_pareto_resource_nmcts,external_revkit_cli_tbs,CNOT,177,164,9,4,-0.34195281614412726,-0.375,3:3;4:69;5:67;6:38
and_pareto_resource_nmcts,external_revkit_cli_tbs,depth,177,163,9,5,-0.29742847187284865,-0.335149863760218,3:3;4:69;5:67;6:38
and_pareto_resource_nmcts,external_revkit_cli_tbs,peak_ancilla,177,0,170,7,1.5593220338983051,1.0,3:3;4:69;5:67;6:38
and_fprm_polarity_archive,external_revkit_cli_tbs,score,177,173,0,4,-0.696461471310203,-0.7168679028316803,3:3;4:69;5:67;6:38
and_fprm_polarity_archive,external_revkit_cli_tbs,T,177,173,0,4,-0.7443622619302042,-0.7660818713450293,3:3;4:69;5:67;6:38
and_fprm_polarity_archive,external_revkit_cli_tbs,CNOT,177,162,11,4,-0.2973029014265206,-0.328125,3:3;4:69;5:67;6:38
and_fprm_polarity_archive,external_revkit_cli_tbs,depth,177,160,13,4,-0.2557392793277117,-0.2857142857142857,3:3;4:69;5:67;6:38
and_fprm_polarity_archive,external_revkit_cli_tbs,peak_ancilla,177,0,172,5,1.6384180790960452,1.0,3:3;4:69;5:67;6:38
and_direct_anf,external_revkit_cli_tbs,score,177,173,0,4,-0.4483397296226218,-0.43511591391890647,3:3;4:69;5:67;6:38
and_direct_anf,external_revkit_cli_tbs,T,177,173,0,4,-0.5004741915872577,-0.48717948717948717,3:3;4:69;5:67;6:38
and_direct_anf,external_revkit_cli_tbs,CNOT,177,6,156,15,0.1866118162014557,0.17647058823529413,3:3;4:69;5:67;6:38
and_direct_anf,external_revkit_cli_tbs,depth,177,6,156,15,0.1858390810592323,0.17391304347826086,3:3;4:69;5:67;6:38
and_direct_anf,external_revkit_cli_tbs,peak_ancilla,177,0,170,7,1.7062146892655368,2.0,3:3;4:69;5:67;6:38
direct_anf,external_revkit_cli_tbs,score,177,169,3,5,-0.13897840372628714,-0.14438695704488028,3:3;4:69;5:67;6:38
direct_anf,external_revkit_cli_tbs,T,177,169,0,8,-0.1581501671380984,-0.16339869281045752,3:3;4:69;5:67;6:38
direct_anf,external_revkit_cli_tbs,CNOT,177,0,0,177,0.0,0.0,3:3;4:69;5:67;6:38
direct_anf,external_revkit_cli_tbs,depth,177,0,0,177,0.0,0.0,3:3;4:69;5:67;6:38
direct_anf,external_revkit_cli_tbs,peak_ancilla,177,0,138,39,0.8587570621468926,1.0,3:3;4:69;5:67;6:38
and_esop_milp,external_revkit_cli_tbs,score,177,173,0,4,-0.5920197318675707,-0.6149881046788264,3:3;4:69;5:67;6:38
and_esop_milp,external_revkit_cli_tbs,T,177,173,0,4,-0.6403712266473267,-0.6666666666666666,3:3;4:69;5:67;6:38
and_esop_milp,external_revkit_cli_tbs,CNOT,177,130,43,4,-0.15142370066508118,-0.29310344827586204,3:3;4:69;5:67;6:38
and_esop_milp,external_revkit_cli_tbs,depth,177,118,52,7,-0.0013994113757223423,-0.17142857142857143,3:3;4:69;5:67;6:38
and_esop_milp,external_revkit_cli_tbs,peak_ancilla,177,0,170,7,1.8531073446327684,2.0,3:3;4:69;5:67;6:38
sshr_h,external_revkit_cli_tbs,score,177,171,6,0,0.7523419011241927,-0.5783953384132676,3:3;4:69;5:67;6:38
sshr_h,external_revkit_cli_tbs,T,177,171,6,0,0.6163719024231676,-0.6106194690265486,3:3;4:69;5:67;6:38
sshr_h,external_revkit_cli_tbs,CNOT,177,169,7,1,-0.14644799395271874,-0.4755244755244755,3:3;4:69;5:67;6:38
sshr_h,external_revkit_cli_tbs,depth,177,153,22,2,0.07535819318337199,-0.3228346456692913,3:3;4:69;5:67;6:38
sshr_h,external_revkit_cli_tbs,peak_ancilla,177,0,141,36,0.8870056497175142,1.0,3:3;4:69;5:67;6:38
