name,n,profile,term_count,truth_build_time_s,method,score,T,CNOT,depth,gates,peak_ancilla,plan_time_s,truth_verify_time_s,truth_verified,anf_verified,plan_nodes,plan_mismatches,circuit_anf_verified,circuit_gates,circuit_max_wire_terms,circuit_mismatches
truth_bridge_n21_000_shallow,21,shallow,49,11.769717167000636,adaptive_all_depth,330.93000000000006,292,490,490,198,5,0.06861716701678233,0.003294417001598049,True,True,5,0,True,52,49,0
truth_bridge_n21_000_shallow,21,shallow,49,11.769717167000636,depth2_guard_direct,330.93000000000006,292,490,490,198,5,0.017678291005722713,0.003299292002338916,True,True,5,0,True,52,49,0
truth_bridge_n21_000_shallow,21,shallow,49,11.769717167000636,depth_frontier_policy,330.93000000000006,292,490,490,198,5,0.017678291005722713,0.003299292002338916,True,True,5,0,True,52,49,0
truth_bridge_n21_000_shallow,21,shallow,49,11.769717167000636,depth_policy,330.93000000000006,292,490,490,198,5,0.011378292001609225,0.003294417001598049,True,True,5,0,True,52,49,0
truth_bridge_n21_000_shallow,21,shallow,49,11.769717167000636,direct_logical_and,398.335,356,583,583,227,4,1.962499663932249e-05,0.005729166994569823,True,True,1,0,True,49,49,0
truth_bridge_n21_000_shallow,21,shallow,49,11.769717167000636,screen_depth1,330.93000000000006,292,490,490,198,5,0.011378292001609225,0.003294417001598049,True,True,5,0,True,52,49,0
truth_bridge_n21_000_shallow,21,shallow,49,11.769717167000636,screen_depth2,330.93000000000006,292,490,490,198,5,0.017678291005722713,0.003299292002338916,True,True,5,0,True,52,49,0
truth_bridge_n21_000_shallow,21,shallow,49,11.769717167000636,screen_depth3,330.93000000000006,292,490,490,198,5,0.01768395800172584,0.003278666001278907,True,True,5,0,True,52,49,0
truth_bridge_n21_000_shallow,21,shallow,49,11.769717167000636,screen_depth4,330.93000000000006,292,490,490,198,5,0.017640084006416146,0.0032447080011479557,True,True,5,0,True,52,49,0
truth_bridge_n21_000_shallow,21,shallow,49,11.769717167000636,screen_single,348.20000000000005,308,512,512,204,5,0.004236542001308408,0.0033849169994937256,True,True,3,0,True,50,49,0
truth_bridge_n21_001_mixed,21,mixed,80,11.954286790998594,adaptive_all_depth,820.3399999999999,740,1196,1196,456,5,0.765282041989849,0.007009458000538871,True,True,9,0,True,86,80,0
truth_bridge_n21_001_mixed,21,mixed,80,11.954286790998594,depth2_guard_direct,828.8450000000001,748,1205,1205,457,5,0.1295609169974341,0.006644290995609481,True,True,7,0,True,83,80,0
truth_bridge_n21_001_mixed,21,mixed,80,11.954286790998594,depth_frontier_policy,828.8450000000001,748,1205,1205,457,5,0.1295609169974341,0.006644290995609481,True,True,7,0,True,83,80,0
truth_bridge_n21_001_mixed,21,mixed,80,11.954286790998594,depth_policy,828.8450000000001,748,1205,1205,457,5,0.1295609169974341,0.006644290995609481,True,True,7,0,True,83,80,0
truth_bridge_n21_001_mixed,21,mixed,80,11.954286790998594,direct_logical_and,935.4,848,1352,1352,504,4,1.6624995623715222e-05,0.009422666997124907,True,True,1,0,True,80,80,0
truth_bridge_n21_001_mixed,21,mixed,80,11.954286790998594,screen_depth1,837.4150000000001,756,1215,1215,459,5,0.040959250000014435,0.006708957997034304,True,True,5,0,True,81,80,0
truth_bridge_n21_001_mixed,21,mixed,80,11.954286790998594,screen_depth2,828.8450000000001,748,1205,1205,457,5,0.1295609169974341,0.006644290995609481,True,True,7,0,True,83,80,0
truth_bridge_n21_001_mixed,21,mixed,80,11.954286790998594,screen_depth3,820.3399999999999,740,1196,1196,456,5,0.2535404579975875,0.007009458000538871,True,True,9,0,True,86,80,0
truth_bridge_n21_001_mixed,21,mixed,80,11.954286790998594,screen_depth4,820.3399999999999,740,1196,1196,456,5,0.33394920799764805,0.006640457999310456,True,True,9,0,True,86,80,0
truth_bridge_n21_001_mixed,21,mixed,80,11.954286790998594,screen_single,863.3199999999999,780,1248,1248,468,5,0.007272208997164853,0.006758041003195103,True,True,3,0,True,78,80,0
truth_bridge_n21_002_deep,21,deep,174,11.877747416001512,adaptive_all_depth,1308.195,1184,1939,1939,755,5,9.46922275100951,0.011799125000834465,True,True,11,0,True,163,174,0
