comparison,pairs,score_wins,score_losses,score_ties,mean_rel_score,mean_rel_time
frontier_policy_vs_depth-2_screen,48,26,0,22,-0.014702232653104741,1.905657147858199
frontier_policy_vs_depth-3_screen,48,1,0,47,-0.00024791428009395683,0.015216036623888991
frontier_policy_vs_depth-4_screen,48,0,24,24,0.009868745944968227,-0.4032107007922133
frontier_policy_vs_oracle_depth-2_3_4_frontier,48,2,6,40,0.0037544381637541918,-0.7153822144712304
