n,method,functions,mean_terms,mean_T,mean_CNOT,mean_depth,mean_peak_ancilla,mean_schedule_logical_depth,mean_schedule_cnot_depth_proxy,mean_schedule_t_depth_proxy,mean_explicit_ancilla_live_peak,mean_explicit_ancilla_lifetime_area,mean_score,mean_plan_time_s,mean_truth_build_time_s,mean_truth_verify_time_s,truth_verified_rows,anf_verified_rows,circuit_verified_rows,mean_circuit_max_wire_terms
28,adaptive_all_depth,6,107.83333333333333,941.3333333333334,1519.3333333333333,1519.3333333333333,5.166666666666667,105.5,1060.5,453.5,1,29.833333333333332,1041.01,7.952016076514458,2.8486424166718884,2.327069589999155,6,6,6,107.83333333333333
28,depth2_guard_direct,6,107.83333333333333,968.6666666666666,1559.3333333333333,1559.3333333333333,5,104.5,1089.8333333333333,465.8333333333333,1,22.833333333333332,1070.3366666666666,0.5190978125077285,2.8486424166718884,2.386180235994592,6,6,6,107.83333333333333
28,depth_frontier_policy,6,107.83333333333333,943.3333333333334,1521.5,1521.5,5.166666666666667,104.66666666666667,1062.1666666666667,454,1,28,1043.1308333333334,4.563482868174712,2.8486424166718884,2.323185138661453,6,6,6,107.83333333333333
28,depth_policy,6,107.83333333333333,968.6666666666666,1559.3333333333333,1559.3333333333333,5,104.5,1089.8333333333333,465.8333333333333,1,22.833333333333332,1070.3366666666666,0.5140624166767035,2.8486424166718884,2.3862559999979567,6,6,6,107.83333333333333
28,direct_logical_and,6,107.83333333333333,1098,1754.8333333333333,1754.8333333333333,4.333333333333333,107.83333333333333,1223.3333333333333,527.5,0,0,1209.7508333333335,8.041829763290783e-06,2.8486424166718884,2.879551548505939,6,6,6,107.83333333333333
28,screen_depth1,6,107.83333333333333,991.3333333333334,1593,1593,5,104.5,1114.1666666666667,476.6666666666667,1,17.833333333333332,1094.9650000000001,0.11199918066752919,2.8486424166718884,2.459759090328589,6,6,6,107.83333333333333
28,screen_depth2,6,107.83333333333333,968.6666666666666,1559.3333333333333,1559.3333333333333,5,104.5,1089.8333333333333,465.8333333333333,1,22.833333333333332,1070.3366666666666,0.5190978125077285,2.8486424166718884,2.386180235994592,6,6,6,107.83333333333333
28,screen_depth3,6,107.83333333333333,954,1538,1538,5,105.16666666666667,1072.5,459.5,1,27.5,1054.43,1.9060358193334348,2.8486424166718884,2.3634033333316133,6,6,6,107.83333333333333
28,screen_depth4,6,107.83333333333333,941.3333333333334,1519.3333333333333,1519.3333333333333,5.166666666666667,105.5,1060.5,453.5,1,29.833333333333332,1041.01,5.397524326501298,2.8486424166718884,2.355275986007958,6,6,6,107.83333333333333
28,screen_single,6,107.83333333333333,1040,1666.5,1666.5,4.666666666666667,104.83333333333333,1162.3333333333333,499.5,1,9.333333333333334,1147.2558333333334,0.017358937504468486,2.8486424166718884,2.5189712361704246,6,6,6,107.83333333333333
