n,method,functions,mean_terms,mean_T,mean_CNOT,mean_depth,mean_peak_ancilla,mean_score,mean_time_s,verified_rows,mean_plan_nodes,circuit_verified_rows,mean_circuit_gates,mean_circuit_max_wire_terms
20,adaptive_all_depth,24,118.375,997.1666666666666,1610.75,1610.75,5.666666666666667,1103.2270833333332,5.269673960333724,24,9.666666666666666,24,115,118.375
20,depth2_guard_direct,24,118.375,1043.1666666666667,1678.5,1678.5,5.5,1152.8374999999999,0.32955113541720493,24,6.666666666666667,24,113.75,118.375
20,depth_frontier_policy,24,118.375,999.8333333333334,1613.9583333333333,1613.9583333333333,5.666666666666667,1106.075625,3.3781168385833857,24,9.083333333333334,24,114.20833333333333,118.375
20,depth_policy,24,118.375,1044,1679.4166666666667,1679.4166666666667,5.5,1153.7220833333333,0.31941552425026504,24,6.416666666666667,24,113.41666666666667,118.375
20,direct_logical_and,24,118.375,1209.8333333333333,1933.125,1933.125,4.916666666666667,1333.2214583333332,8.506252318814708e-07,24,1,24,118.375,118.375
20,screen_depth1,24,118.375,1075.5,1727.125,1727.125,5.416666666666667,1187.8414583333333,0.07135986970903711,24,4.916666666666667,24,113.875,118.375
20,screen_depth2,24,118.375,1043.1666666666667,1678.5,1678.5,5.5,1152.8374999999999,0.3295601944588877,24,6.666666666666667,24,113.75,118.375
20,screen_depth3,24,118.375,1015.5,1637.5,1637.5,5.625,1123.0325,1.232238579915247,24,8.25,24,114.25,118.375
20,screen_depth4,24,118.375,997.1666666666666,1610.75,1610.75,5.666666666666667,1103.2270833333332,3.625576432416892,24,9.666666666666666,24,115,118.375
20,screen_single,24,118.375,1127.6666666666667,1806.6666666666667,1806.6666666666667,5.333333333333333,1244.49,0.01093888383365993,24,3,24,115.16666666666667,118.375
28,adaptive_all_depth,24,115.54166666666667,939.1666666666666,1522,1522.125,5.083333333333333,1038.8747916666666,8.498797652833067,24,8.166666666666666,24,113.375,115.54166666666667
28,depth2_guard_direct,24,115.54166666666667,981.1666666666666,1584.2083333333333,1584.3333333333333,4.875,1084.0816666666667,0.522297663208216,24,5.833333333333333,24,112.58333333333333,115.54166666666667
28,depth_frontier_policy,24,115.54166666666667,941.3333333333334,1524.7916666666667,1524.9166666666667,5.041666666666667,1041.1179166666666,5.6369173072916965,24,7.833333333333333,24,112.91666666666667,115.54166666666667
28,depth_policy,24,115.54166666666667,981.1666666666666,1584.2083333333333,1584.3333333333333,4.875,1084.0816666666667,0.5222959010831497,24,5.833333333333333,24,112.58333333333333,115.54166666666667
28,direct_logical_and,24,115.54166666666667,1127.8333333333333,1807.1666666666667,1807.2916666666667,4.5,1243.0239583333332,7.170832153254499e-07,24,1,24,115.54166666666667,115.54166666666667
28,screen_depth1,24,115.54166666666667,1009.6666666666666,1627.0416666666667,1627.1666666666667,4.875,1115.0808333333332,0.11265705900010896,24,4.416666666666667,24,112.66666666666667,115.54166666666667
28,screen_depth2,24,115.54166666666667,981.1666666666666,1584.2083333333333,1584.3333333333333,4.875,1084.0816666666667,0.5223001892500179,24,5.833333333333333,24,112.58333333333333,115.54166666666667
28,screen_depth3,24,115.54166666666667,957,1548.375,1548.5,5,1058.0775,1.9668395712499962,24,7.083333333333333,24,113,115.54166666666667
28,screen_depth4,24,115.54166666666667,939.1666666666666,1522,1522.125,5.083333333333333,1038.8747916666666,5.878648656250031,24,8.166666666666666,24,113.375,115.54166666666667
28,screen_single,24,115.54166666666667,1052.6666666666667,1692.0416666666667,1692.1666666666667,4.875,1161.8758333333333,0.01835217708291263,24,2.75,24,113.16666666666667,115.54166666666667
40,adaptive_all_depth,24,118.79166666666667,1006,1625.1666666666667,1625.2083333333333,5.291666666666667,1112.1602083333332,17.53803598608556,24,8,24,116.20833333333333,118.79166666666667
40,depth2_guard_direct,24,118.79166666666667,1044.8333333333333,1682.1666666666667,1682.2083333333333,5.25,1154.226875,1.0996249689169417,24,5.583333333333333,24,114.95833333333333,118.79166666666667
40,depth_frontier_policy,24,118.79166666666667,1026.1666666666667,1654.6666666666667,1654.7083333333333,5.25,1133.959375,7.475466003584491,24,6.75,24,115.45833333333333,118.79166666666667
40,depth_policy,24,118.79166666666667,1044.8333333333333,1682.1666666666667,1682.2083333333333,5.25,1154.226875,1.0996391876669804,24,5.583333333333333,24,114.95833333333333,118.79166666666667
40,direct_logical_and,24,118.79166666666667,1194.1666666666667,1910,1910.0416666666667,5,1316.3760416666667,7.326252671191469e-07,24,1,24,118.79166666666667,118.79166666666667
40,screen_depth1,24,118.79166666666667,1077.5,1731.5,1731.5416666666667,5.208333333333333,1189.6902083333334,0.23837856604071325,24,4.25,24,115.29166666666667,118.79166666666667
40,screen_depth2,24,118.79166666666667,1044.8333333333333,1682.1666666666667,1682.2083333333333,5.25,1154.226875,1.0996249689169417,24,5.583333333333333,24,114.95833333333333,118.79166666666667
40,screen_depth3,24,118.79166666666667,1019.5,1644.5416666666667,1644.5833333333333,5.291666666666667,1126.7845833333333,4.119632232541941,24,6.833333333333333,24,115.33333333333333,118.79166666666667
40,screen_depth4,24,118.79166666666667,1006,1625.1666666666667,1625.2083333333333,5.291666666666667,1112.1602083333332,12.040278765585148,24,8,24,116.20833333333333,118.79166666666667
40,screen_single,24,118.79166666666667,1122.3333333333333,1799.7916666666667,1799.8333333333333,5.208333333333333,1238.5141666666666,0.04012145300081708,24,2.75,24,116.33333333333333,118.79166666666667
