label,threshold,pairs,run_depth4,true_runs,false_runs,false_skips,score_wlt_vs_sparse,mean_rel_score_vs_sparse,mean_rel_time_vs_sparse,score_wlt_vs_depth2,mean_rel_score_vs_depth2,mean_rel_time_vs_depth2
eager sparse,0.0,144,144,94,50,0,0/0/144,0.0,0.0,94/0/50,-0.026914379807401214,7.690135464713752
selected,0.005312,144,106,94,12,0,0/0/144,0.0,-0.1342787878657046,94/0/50,-0.026914379807401214,7.415226012748438
max zero-skip saving,0.03067540004849434,144,102,94,8,0,0/0/144,0.0,-0.14923401314104573,94/0/50,-0.026914379807401214,7.382387316472286
max one-skip saving,0.039703271351754665,144,101,93,8,1,0/1/143,6.235637772927296e-05,-0.15487878266295488,93/0/51,-0.026852578364504855,7.3522260910251385
depth-2 only,1.000000001,144,0,0,0,94,0/94/50,0.028368919007986975,-0.7798937881764992,0/0/144,0.0,0.0
