CNOT,T,anf_terms,correct,depth,explicit_ancilla,gates,method,n,n_qubits,name,peak_ancilla,score,skipped,terms,time_s,truth_table_hex
39,20,6,True,42,1,20,and_affine_nmcts,4,6,truth_n4_35,2,26.389999999999997,,6,0.10941290855407715,4737
25,12,9,True,29,0,17,and_affine_nmcts,4,5,truth_n4_36,1,15.605,,5,0.0479888916015625,CF36
33,16,9,True,42,1,24,and_affine_nmcts,4,6,truth_n4_37,2,22.189999999999998,,4,0.08981204032897949,DE8A
32,16,8,True,36,1,18,and_affine_nmcts,4,6,truth_n4_38,2,22.0,,4,0.10582613945007324,1A9
36,16,11,True,39,1,21,and_affine_nmcts,4,6,truth_n4_39,2,22.235000000000003,,7,0.10345196723937988,C241
39,16,7,True,41,1,21,and_affine_nmcts,4,6,truth_n4_40,1,20.384999999999998,,5,0.06013321876525879,CE4A
27,12,6,True,29,1,15,and_affine_nmcts,4,6,truth_n4_41,2,17.665,,3,0.07681083679199219,28DF
40,16,11,True,46,1,28,and_affine_nmcts,4,6,truth_n4_42,2,22.570000000000004,,6,0.10760903358459473,B2B9
30,16,6,True,32,0,16,and_affine_nmcts,4,5,truth_n4_43,1,19.84,,4,0.03379988670349121,6C30
27,12,10,True,31,0,19,and_affine_nmcts,4,5,truth_n4_44,1,15.735,,3,0.022812366485595703,571A
27,12,6,True,27,0,15,and_affine_nmcts,4,5,truth_n4_45,1,15.635,,3,0.03782391548156738,4722
40,20,10,True,45,1,23,and_affine_nmcts,4,6,truth_n4_46,2,26.505000000000003,,7,0.1150960922241211,27CD
40,16,10,True,44,1,26,and_affine_nmcts,4,6,truth_n4_47,2,22.520000000000003,,6,0.13093900680541992,371E
19,8,7,True,22,0,14,and_affine_nmcts,4,5,truth_n4_49,1,11.23,,6,0.04801201820373535,C374
26,12,13,True,35,1,21,and_affine_nmcts,4,6,truth_n4_48,2,17.775,,5,0.11809396743774414,F50B
24,12,10,True,31,0,19,and_affine_nmcts,4,5,truth_n4_50,1,15.615,,5,0.0421142578125,562B
23,12,4,True,25,0,13,and_affine_nmcts,4,5,truth_n4_51,1,15.425,,3,0.058194875717163086,1A2A
30,16,10,True,35,0,19,and_affine_nmcts,4,5,truth_n4_52,1,19.915,,5,0.016417980194091797,17BE
45,20,10,True,51,1,29,and_affine_nmcts,4,6,truth_n4_53,2,26.855,,5,0.11601400375366211,6142
44,20,8,True,49,1,27,and_affine_nmcts,4,6,truth_n4_54,2,26.765,,9,0.0948188304901123,18C2
29,12,8,True,31,0,19,and_affine_nmcts,4,5,truth_n4_55,1,15.815,,5,0.017974853515625,5BE6
24,12,7,True,28,0,16,and_affine_nmcts,4,5,truth_n4_56,1,15.540000000000001,,4,0.028909921646118164,D8F5
24,12,8,True,26,0,14,and_affine_nmcts,4,5,truth_n4_57,1,15.490000000000002,,4,0.016536951065063477,580D
40,16,9,True,45,1,25,and_affine_nmcts,4,6,truth_n4_58,1,20.525000000000002,,7,0.06420302391052246,9A8D
39,20,8,True,44,1,22,and_affine_nmcts,4,6,truth_n4_59,2,26.439999999999998,,6,0.10509991645812988,43B7
34,16,9,True,39,1,21,and_affine_nmcts,4,6,truth_n4_60,2,22.155,,5,0.08141088485717773,CE9F
31,12,8,True,34,1,20,and_affine_nmcts,4,6,truth_n4_61,1,15.95,,4,0.05141615867614746,B1F
32,16,7,True,35,1,17,and_affine_nmcts,4,6,truth_n4_62,2,21.975,,5,0.10438704490661621,BACF
39,16,8,True,46,1,28,and_affine_nmcts,4,6,truth_n4_63,2,22.53,,6,0.09239912033081055,759C
82,40,15,True,88,1,42,and_affine_nmcts,5,7,truth_n5_0,2,49.02,,11,0.5544929504394531,89463E85
93,40,12,True,93,1,45,and_affine_nmcts,5,7,truth_n5_1,2,49.565000000000005,,10,0.5320758819580078,1FF49B78
101,48,19,True,103,1,47,and_affine_nmcts,5,7,truth_n5_3,2,58.055,,12,0.654069185256958,EC1B8CA1
126,56,17,True,131,1,65,and_affine_nmcts,5,7,truth_n5_2,2,67.655,,16,0.759667158126831,F91E1D4C
106,52,18,True,110,1,52,and_affine_nmcts,5,7,truth_n5_4,2,62.410000000000004,,14,0.7908968925476074,60E7A113
89,40,14,True,95,1,49,and_affine_nmcts,5,7,truth_n5_5,2,49.475,,10,0.7891089916229248,142C3FE8
85,36,21,True,96,1,52,and_affine_nmcts,5,7,truth_n5_6,2,45.36,,9,0.5995030403137207,8D5288F1
80,40,14,True,83,1,37,and_affine_nmcts,5,7,truth_n5_7,2,48.815,,10,0.5825459957122803,4B0DBB41
90,44,21,True,98,1,48,and_affine_nmcts,5,7,truth_n5_8,2,53.55,,11,0.8961880207061768,D453DD32
