losses,mean_baseline,mean_relative_pct,mean_target,metric,pairs,ties,wins
0,9767.0,-24.912414517561608,6639.333333333333,T,12,1,11
0,15301.583333333334,-18.08039134713157,11380.916666666666,CNOT,12,1,11
1,15301.666666666666,-16.584449149527362,11382.166666666666,depth,12,1,10
1,3.5,3.8888888888888893,3.3333333333333335,peak_ancilla,12,8,3
0,10670.935000000001,-23.84697165560246,7315.619166666666,score,12,1,11
12,4.38977833588918,7526.640369266634,226.17854688564935,time_s,12,0,0
