slice,comparison,pairs,score_wlt,score_mean_relative_pct,t_mean_relative_pct,cnot_mean_relative_pct,depth_mean_relative_pct,ancilla_mean_relative_pct,time_mean_relative_pct,interpretation,source
n=14,Boolean guard vs pairwise-wide,12,9/0/3,-0.82%,-0.81%,-0.95%,-0.95%,+3.75%,+32.80%,quality gain; slower exhaustive guard,results/summary_highdim_boolean_guard_vs_pairwise_wide.csv
n=16,Boolean guard vs pairwise-wide,24,14/0/10,-0.34%,-0.34%,-0.38%,-0.38%,+0.00%,+22.80%,quality gain; slower guard,results/summary_ultra_boolean_guard_vs_pairwise_wide.csv
n=16,Boolean guard vs deterministic deep,24,18/0/6,-0.52%,-0.52%,-0.50%,-0.50%,+0.83%,+356.64%,stronger quality branch; expensive,results/summary_ultra_boolean_guard_vs_old_deep.csv
n=16,Boolean-linear deep vs pairwise-wide,24,14/6/4,-0.22%,-0.21%,-0.30%,-0.30%,+0.35%,-72.31%,fast structural variant with small quality gain,results/summary_ultra_boolean_linear_vs_pairwise_resource.csv
n=20,Resource update vs Boolean screen,6,5/0/1,-4.52%,-4.62%,-4.11%,-4.11%,+7.50%,+453.05%,quality frontier; much slower,results/summary_giga_resource_vs_boolean_screen.csv
n=20,Screen gate vs full Resource,6,0/0/6,+0.00%,+0.00%,+0.00%,+0.00%,+0.00%,-75.58%,"safe skip: same resources, less planning time",results/summary_giga_screen_gate_vs_resource.csv
n=20,Recursive Boolean screen vs old Resource,6,5/0/1,-7.47%,-7.64%,-6.65%,-6.65%,+13.06%,-7.32%,large-n positive screen; ancilla tradeoff,results/summary_giga_screen_deeper_vs_old_resource.csv
n=18,Recursive Boolean screen vs old Resource,12,0/11/1,+36.94%,+38.75%,+26.74%,+25.41%,-0.83%,-97.90%,speed-only negative control; not promoted,results/summary_mega_screen_deep_vs_old_resource.csv
