dataset,name,n,selected_k,policy,correct,lut_nodes,lut_edges,max_fanin,checkpoint_nodes,expanded_compute_calls,T,CNOT,depth,gates,explicit_ancilla,peak_ancilla,n_qubits,score,delta_T_vs_keep_all,delta_peak_ancilla_vs_keep_all,delta_score_vs_keep_all,source_manifest,abc_script,abc_binary,error
n14,anf_n14_15,14,5,keep_all_bennett,True,1,0,4,1,2,16,29,29,13,1,1,16,19.725000,0,0,0.000000,benchmark_exports/highdim_resource_external_seed42,strash; if -K 5,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,
n14,anf_n14_15,14,5,fanout_checkpoint,True,1,0,4,0,2,16,29,29,13,1,1,16,19.725000,0,0,0.000000,benchmark_exports/highdim_resource_external_seed42,strash; if -K 5,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,
n14,anf_n14_15,14,5,zero_checkpoint,True,1,0,4,0,2,16,29,29,13,1,1,16,19.725000,0,0,0.000000,benchmark_exports/highdim_resource_external_seed42,strash; if -K 5,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,
n14,anf_n14_16,14,3,keep_all_bennett,True,1735,2264,3,1735,3470,39856,71153,72157,32301,1735,1736,1750,47579.485000,0,0,0.000000,benchmark_exports/highdim_resource_external_seed42,strash; if -K 3,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,
n14,anf_n14_16,14,3,fanout_checkpoint,True,1735,2264,3,195,2558844,29011312,51611099,52318909,23307597,196,221,211,32094057.565000,28971456,-1515,32046478.080000,benchmark_exports/highdim_resource_external_seed42,strash; if -K 3,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,
n14,anf_n14_16,14,3,zero_checkpoint,True,1735,2264,3,0,6944886,49891536,92826931,94978093,45086557,1,29,16,55480208.205000,49851680,-1707,55432628.720000,benchmark_exports/highdim_resource_external_seed42,strash; if -K 3,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,
n14,anf_n14_17,14,3,keep_all_bennett,True,4721,6903,3,4721,9442,107696,191371,194087,86391,4721,4722,4736,128570.055000,0,0,0.000000,benchmark_exports/highdim_resource_external_seed42,strash; if -K 3,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,
n14,anf_n14_17,14,3,fanout_checkpoint,True,4721,6903,3,439,87235480,986574640,1747215899,1773263593,786688953,440,480,455,1090930079.385000,986466944,-4242,1090801509.330000,benchmark_exports/highdim_resource_external_seed42,strash; if -K 3,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,
n14,anf_n14_17,14,3,zero_checkpoint,True,4721,6903,3,0,261652942,1680341776,3145697423,3221453281,1541111505,1,43,16,1869902673.185000,1680234080,-4679,1869774103.130000,benchmark_exports/highdim_resource_external_seed42,strash; if -K 3,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,
n14,anf_n14_18,14,3,keep_all_bennett,True,6765,10593,3,6765,13530,152912,272213,276091,123179,6765,6766,6780,182705.675000,0,0,0.000000,benchmark_exports/highdim_resource_external_seed42,strash; if -K 3,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,
