policy,policy_label,topk,method,functions,target_exact_forms,budget32_exact_forms,wide128_exact_forms,total_target_exact_forms,total_budget32_exact_forms,total_wide128_exact_forms,eval_reduction_vs_budget32_pct,eval_reduction_vs_wide128_pct,target_mean,budget32_mean,wide128_mean,vs_budget32_wins,vs_budget32_losses,vs_budget32_ties,vs_budget32_mean_relative,vs_wide128_wins,vs_wide128_losses,vs_wide128_ties,vs_wide128_mean_relative,mean_score_gain_vs_budget32,mean_score_gap_vs_wide128,status
rank,Rank,64,phase_parity_affine_policy_tperrz30_top64,38,64,2048,8192,2432,77824,311296,96.875,99.21875,1482.4823684210526,1496.9636842105263,1481.9148684210525,11,6,21,-0.014049040681173979,0,13,25,0.01766215632862347,-14.481315789473683,0.5675000000001091,bounded
rank,Rank,128,phase_parity_affine_policy_tperrz30_top128,38,128,2048,8192,4864,77824,311296,93.75,98.4375,1482.290394736842,1496.9636842105263,1481.9148684210525,14,4,20,-0.019041482922181673,0,13,25,0.009427306229534775,-14.673289473684235,0.375526315789557,bounded
rank,Rank,256,phase_parity_affine_policy_tperrz30_top256,38,256,2048,8192,9728,77824,311296,87.5,96.875,1482.1361842105262,1496.9636842105263,1481.9148684210525,15,3,20,-0.023892395749305306,0,12,26,0.001410954885737382,-14.8275000000001,0.22131578947369235,bounded
rank,Rank,512,phase_parity_affine_policy_tperrz30_top512,38,512,2048,8192,19456,77824,311296,75.0,93.75,1482.0324999999998,1496.9636842105263,1481.9148684210525,17,0,21,-0.023969795256811855,0,9,29,0.0013334701734326257,-14.931184210526453,0.11763157894733922,bounded
diverse,Diverse,64,phase_parity_affine_policy_diverse_tperrz30_top64,38,64,2048,8192,2432,77824,311296,96.875,99.21875,1482.3951315789473,1496.9636842105263,1481.9148684210525,12,6,20,-0.018959642544684432,0,13,25,0.009512988453306965,-14.568552631578996,0.4802631578947967,bounded
diverse,Diverse,128,phase_parity_affine_policy_diverse_tperrz30_top128,38,128,2048,8192,4864,77824,311296,93.75,98.4375,1482.1498684210526,1496.9636842105263,1481.9148684210525,15,3,20,-0.023879870270795894,0,12,26,0.001427206917241323,-14.813815789473665,0.23500000000012733,bounded
diverse,Diverse,256,phase_parity_affine_policy_diverse_tperrz30_top256,38,256,2048,8192,9728,77824,311296,87.5,96.875,1482.0567105263156,1496.9636842105263,1481.9148684210525,16,2,20,-0.024689846752260408,0,9,29,0.00012007152026026672,-14.906973684210698,0.1418421052630947,pass
diverse,Diverse,512,phase_parity_affine_policy_diverse_tperrz30_top512,38,512,2048,8192,19456,77824,311296,75.0,93.75,1481.9509210526314,1496.9636842105263,1481.9148684210525,17,0,21,-0.024772491427759957,0,7,31,3.1367595268431145e-05,-15.012763157894824,0.03605263157896843,pass
