CNOT,T,anf_terms,correct,depth,error,explicit_ancilla,gates,method,n,n_qubits,name,peak_ancilla,profile,profile_label,score,skipped,terms,time_s,truth_table_hex
14,8,2,True,14,,0,6,and_direct_anf,4,5,mul_w2_bit1,0,t_heavy,T-heavy,8.31,,2,5.1975250244140625e-05,6AC0
14,8,2,True,14,,0,6,and_mcts_factor,4,5,mul_w2_bit1,0,t_heavy,T-heavy,8.31,,2,0.0001380443572998047,6AC0
14,8,2,True,14,,0,6,and_affine_nmcts,4,5,mul_w2_bit1,0,t_heavy,T-heavy,8.31,,2,0.013720989227294922,6AC0
14,8,2,True,14,,0,6,and_cube_beam,4,5,mul_w2_bit1,0,t_heavy,T-heavy,8.31,,2,0.001547098159790039,6AC0
42,36,2,True,46,,0,15,sshr_h,4,5,mul_w2_bit1,1,t_heavy,T-heavy,37.935,,2,0.003443002700805664,6AC0
40,24,4,True,40,,0,16,and_direct_anf,6,7,mul_w3_bit2,2,t_heavy,T-heavy,26.88,,4,8.106231689453125e-05,1E665AAAB4CCF000
38,20,4,True,38,,1,16,and_mcts_factor,6,8,mul_w3_bit2,2,t_heavy,T-heavy,22.84,,4,0.0013790130615234375,1E665AAAB4CCF000
229,144,7,True,269,,0,125,and_cube_beam,6,7,adder_carry_w3,4,t_heavy,T-heavy,153.405,,7,0.04398989677429199,FEFCF8F0E0C08000
97,48,7,True,97,,1,39,and_affine_nmcts,6,8,adder_carry_w3,2,t_heavy,T-heavy,52.135,,7,0.06898188591003418,FEFCF8F0E0C08000
38,20,4,True,38,,1,16,and_affine_nmcts,6,8,mul_w3_bit2,2,t_heavy,T-heavy,22.84,,4,0.017650842666625977,1E665AAAB4CCF000
56,32,9,True,57,,0,25,and_direct_anf,4,5,sweep_truth_n4_0,1,t_heavy,T-heavy,34.25,,9,6.389617919921875e-05,A3B1
52,24,9,True,53,,1,25,and_mcts_factor,4,6,sweep_truth_n4_0,1,t_heavy,T-heavy,26.17,,9,0.005795001983642578,A3B1
41,24,4,True,43,,0,19,and_cube_beam,6,7,mul_w3_bit2,2,t_heavy,T-heavy,26.924999999999997,,4,0.03144407272338867,1E665AAAB4CCF000
40,24,9,True,50,,0,26,and_cube_beam,4,5,sweep_truth_n4_0,1,t_heavy,T-heavy,25.98,,9,0.001741170883178711,A3B1
25,20,9,True,31,,0,13,sshr_h,4,5,sweep_truth_n4_0,1,t_heavy,T-heavy,21.595000000000002,,9,0.0002779960632324219,A3B1
40,24,4,True,40,,0,16,and_direct_anf,4,5,sweep_truth_n4_1,1,t_heavy,T-heavy,25.88,,4,4.792213439941406e-05,1C80
38,20,4,True,38,,1,16,and_mcts_factor,4,6,sweep_truth_n4_1,1,t_heavy,T-heavy,21.84,,4,0.0012769699096679688,1C80
31,16,3,True,31,,1,13,and_affine_nmcts,4,6,adder_carry_w2,1,t_heavy,T-heavy,17.685000000000002,,3,0.21441411972045898,EC80
51,32,4,True,59,,0,27,and_cube_beam,4,5,sweep_truth_n4_1,2,t_heavy,T-heavy,35.195,,4,0.0007910728454589844,1C80
24,20,4,True,26,,0,8,sshr_h,4,5,sweep_truth_n4_1,1,t_heavy,T-heavy,21.529999999999998,,4,0.002527952194213867,1C80
89,52,12,True,90,,0,38,and_direct_anf,4,5,sweep_truth_n4_2,2,t_heavy,T-heavy,55.975,,12,7.581710815429688e-05,667
75,40,12,True,76,,1,34,and_mcts_factor,4,6,sweep_truth_n4_2,2,t_heavy,T-heavy,43.675000000000004,,12,0.014966011047363281,667
141,184,35,True,175,,0,83,sshr_h,6,7,threshold3_n6,2,t_heavy,T-heavy,189.405,,35,0.37468791007995605,FFFEFEE8FEE8E880
52,32,12,True,68,,0,36,and_cube_beam,4,5,sweep_truth_n4_2,2,t_heavy,T-heavy,35.300000000000004,,12,0.0017180442810058594,667
31,40,12,True,39,,0,17,sshr_h,4,5,sweep_truth_n4_2,1,t_heavy,T-heavy,41.745000000000005,,12,0.0030198097229003906,667
83,48,11,True,83,,0,35,and_direct_anf,4,5,sweep_truth_n4_3,2,t_heavy,T-heavy,51.834999999999994,,11,7.295608520507812e-05,BDD6
71,32,11,True,71,,1,33,and_mcts_factor,4,6,sweep_truth_n4_3,2,t_heavy,T-heavy,35.584999999999994,,11,0.019122838973999023,BDD6
31,16,9,True,33,,0,17,and_affine_nmcts,4,5,sweep_truth_n4_0,1,t_heavy,T-heavy,17.715,,5,0.21227693557739258,A3B1
53,32,11,True,62,,0,30,and_cube_beam,4,5,sweep_truth_n4_3,2,t_heavy,T-heavy,35.255,,11,0.0029108524322509766,BDD6
37,36,11,True,53,,0,29,sshr_h,4,5,sweep_truth_n4_3,1,t_heavy,T-heavy,37.965,,11,0.00045800209045410156,BDD6
74,44,8,True,74,,0,30,and_direct_anf,4,5,sweep_truth_n4_4,1,t_heavy,T-heavy,46.629999999999995,,8,5.7220458984375e-05,4668
64,32,8,True,64,,1,28,and_mcts_factor,4,6,sweep_truth_n4_4,1,t_heavy,T-heavy,34.42,,8,0.0075359344482421875,4668
38,20,4,True,38,,1,16,and_affine_nmcts,4,6,sweep_truth_n4_1,1,t_heavy,T-heavy,21.84,,4,0.2226722240447998,1C80
58,36,8,True,72,,0,36,and_cube_beam,4,5,sweep_truth_n4_4,2,t_heavy,T-heavy,39.41,,8,0.0020990371704101562,4668
36,24,8,True,42,,0,19,sshr_h,4,5,sweep_truth_n4_4,1,t_heavy,T-heavy,25.845,,8,0.00027298927307128906,4668
43,24,8,True,44,,0,20,and_direct_anf,4,5,sweep_truth_n4_5,2,t_heavy,T-heavy,26.965,,8,6.222724914550781e-05,3EB1
41,20,8,True,42,,1,20,and_mcts_factor,4,6,sweep_truth_n4_5,2,t_heavy,T-heavy,22.925,,8,0.0020940303802490234,3EB1
48,48,7,True,56,,0,24,sshr_h,6,7,adder_carry_w3,1,t_heavy,T-heavy,50.12,,7,0.37883806228637695,FEFCF8F0E0C08000
40,24,8,True,50,,0,26,and_cube_beam,4,5,sweep_truth_n4_5,2,t_heavy,T-heavy,26.98,,8,0.00234222412109375,3EB1
29,32,8,True,39,,0,20,sshr_h,4,5,sweep_truth_n4_5,1,t_heavy,T-heavy,33.730000000000004,,8,0.0003566741943359375,3EB1
56,32,8,True,56,,0,24,and_direct_anf,4,5,sweep_truth_n4_6,1,t_heavy,T-heavy,34.24,,8,6.389617919921875e-05,3924
52,24,8,True,52,,1,24,and_mcts_factor,4,6,sweep_truth_n4_6,1,t_heavy,T-heavy,26.160000000000004,,8,0.0050907135009765625,3924
70,32,15,True,70,,1,34,and_affine_nmcts,5,7,majority_n5,2,t_heavy,T-heavy,35.57,,6,0.8137171268463135,FEE8E880
58,36,8,True,72,,0,36,and_cube_beam,4,5,sweep_truth_n4_6,2,t_heavy,T-heavy,39.41,,8,0.0016698837280273438,3924
32,24,8,True,42,,0,19,sshr_h,4,5,sweep_truth_n4_6,1,t_heavy,T-heavy,25.785,,8,0.0002720355987548828,3924
68,40,8,True,68,,0,28,and_direct_anf,4,5,sweep_truth_n4_7,2,t_heavy,T-heavy,43.50000000000001,,8,5.793571472167969e-05,23B8
61,28,8,True,61,,1,27,and_mcts_factor,4,6,sweep_truth_n4_7,2,t_heavy,T-heavy,31.355,,8,0.014591455459594727,23B8
44,48,4,True,50,,0,18,sshr_h,6,7,mul_w3_bit2,1,t_heavy,T-heavy,50.0,,4,0.3964550495147705,1E665AAAB4CCF000
46,28,8,True,54,,0,26,and_cube_beam,4,5,sweep_truth_n4_7,2,t_heavy,T-heavy,31.09,,8,0.0016357898712158203,23B8
30,36,8,True,44,,0,20,sshr_h,4,5,sweep_truth_n4_7,1,t_heavy,T-heavy,37.77,,8,0.0004000663757324219,23B8
64,36,11,True,65,,0,29,and_direct_anf,4,5,sweep_truth_n4_8,1,t_heavy,T-heavy,38.43000000000001,,11,7.700920104980469e-05,BC89
54,24,11,True,55,,1,27,and_mcts_factor,4,6,sweep_truth_n4_8,1,t_heavy,T-heavy,26.22,,11,0.006754159927368164,BC89
39,16,8,True,43,,1,25,and_affine_nmcts,4,6,sweep_truth_n4_4,1,t_heavy,T-heavy,17.925,,5,0.20809388160705566,4668
40,24,11,True,50,,0,26,and_cube_beam,4,5,sweep_truth_n4_8,1,t_heavy,T-heavy,25.98,,11,0.0016448497772216797,BC89
29,20,11,True,35,,0,17,sshr_h,4,5,sweep_truth_n4_8,1,t_heavy,T-heavy,21.695,,11,0.0002880096435546875,BC89
69,40,10,True,70,,0,30,and_direct_anf,4,5,sweep_truth_n4_9,1,t_heavy,T-heavy,42.535,,10,6.389617919921875e-05,1A3D
59,28,10,True,60,,1,28,and_mcts_factor,4,6,sweep_truth_n4_9,1,t_heavy,T-heavy,30.325000000000003,,10,0.010597705841064453,1A3D
31,16,8,True,34,,0,18,and_affine_nmcts,4,5,sweep_truth_n4_6,1,t_heavy,T-heavy,17.725,,6,0.19119691848754883,3924
53,32,10,True,71,,0,39,and_cube_beam,4,5,sweep_truth_n4_9,2,t_heavy,T-heavy,35.345,,10,0.0021228790283203125,1A3D
29,20,10,True,37,,0,19,sshr_h,4,5,sweep_truth_n4_9,1,t_heavy,T-heavy,21.714999999999996,,10,0.00029540061950683594,1A3D
49,28,7,True,49,,0,21,and_direct_anf,4,5,sweep_truth_n4_10,2,t_heavy,T-heavy,31.085,,7,5.412101745605469e-05,AD3C
41,20,7,True,41,,1,19,and_mcts_factor,4,6,sweep_truth_n4_10,2,t_heavy,T-heavy,22.914999999999996,,7,0.0046558380126953125,AD3C
40,16,11,True,45,,1,25,and_affine_nmcts,4,6,sweep_truth_n4_8,1,t_heavy,T-heavy,17.950000000000003,,7,0.3742809295654297,BC89
34,20,7,True,38,,0,18,and_cube_beam,4,5,sweep_truth_n4_10,2,t_heavy,T-heavy,22.790000000000003,,7,0.0029540061950683594,AD3C
