n,method,functions,mean_terms,mean_T,mean_CNOT,mean_depth,mean_peak_ancilla,mean_score,mean_plan_time_s,mean_truth_build_time_s,mean_truth_verify_time_s,truth_verified_rows,anf_verified_rows,circuit_verified_rows,mean_circuit_max_wire_terms
21,adaptive_all_depth,6,125.83333333333333,1049.3333333333333,1696.3333333333333,1696.3333333333333,5.5,1160.1016666666667,5.75334377783535,11.951065576334562,0.00966409016715867,6,6,6,125.83333333333333
21,depth2_guard_direct,6,125.83333333333333,1092.6666666666667,1760.5,1760.5,5.5,1207.1725,0.35936073600047774,11.951065576334562,0.009970222166884923,6,6,6,125.83333333333333
21,depth_frontier_policy,6,125.83333333333333,1054,1702,1702,5.5,1165.09,3.4921469096661895,11.951065576334562,0.009598763833006766,6,6,6,125.83333333333333
21,depth_policy,6,125.83333333333333,1092.6666666666667,1760.5,1760.5,5.5,1207.1725,0.3583107361664588,11.951065576334562,0.009969409666761445,6,6,6,125.83333333333333
21,direct_logical_and,6,125.83333333333333,1262.6666666666667,2019.8333333333333,2019.8333333333333,4.833333333333333,1390.9958333333334,9.49999836545127e-06,11.951065576334562,0.011840944498544559,6,6,6,125.83333333333333
21,screen_depth1,6,125.83333333333333,1125.3333333333333,1809.5,1809.5,5.333333333333333,1242.3641666666667,0.07721729850042418,11.951065576334562,0.01021008316699105,6,6,6,125.83333333333333
21,screen_depth2,6,125.83333333333333,1092.6666666666667,1760.5,1760.5,5.5,1207.1725,0.35936073600047774,11.951065576334562,0.009970222166884923,6,6,6,125.83333333333333
21,screen_depth3,6,125.83333333333333,1070,1727.1666666666667,1727.1666666666667,5.5,1182.5658333333333,1.344868090334785,11.951065576334562,0.009829687166832931,6,6,6,125.83333333333333
21,screen_depth4,6,125.83333333333333,1049.3333333333333,1696.3333333333333,1696.3333333333333,5.5,1160.1016666666667,3.959702569500223,11.951065576334562,0.009594305333545586,6,6,6,125.83333333333333
21,screen_single,6,125.83333333333333,1175.3333333333333,1885,1885,5.333333333333333,1296.7716666666665,0.012195083499439837,11.951065576334562,0.010506694333647223,6,6,6,125.83333333333333
22,adaptive_all_depth,6,123.16666666666667,976,1581.8333333333333,1581.8333333333333,5.166666666666667,1079.3925000000002,6.541372409831335,48.73851528483283,0.018738222167788383,6,6,6,123.16666666666667
22,depth2_guard_direct,6,123.16666666666667,1036.6666666666667,1673.1666666666667,1673.1666666666667,5.166666666666667,1145.3891666666668,0.4005773958318362,48.73851528483283,0.019644499832793372,6,6,6,123.16666666666667
22,depth_frontier_policy,6,123.16666666666667,976,1581.8333333333333,1581.8333333333333,5.166666666666667,1079.3925000000002,4.514804687334011,48.73851528483283,0.018738222167788383,6,6,6,123.16666666666667
22,depth_policy,6,123.16666666666667,1038.6666666666667,1675.8333333333333,1675.8333333333333,5.166666666666667,1147.5425,0.3884624654989845,48.73851528483283,0.01956490983260058,6,6,6,123.16666666666667
22,direct_logical_and,6,123.16666666666667,1189.3333333333333,1907.1666666666667,1907.1666666666667,5,1311.4058333333332,6.042000071223204e-06,48.73851528483283,0.023076131500905223,6,6,6,123.16666666666667
22,screen_depth1,6,123.16666666666667,1080,1739,1739,5.166666666666667,1192.5683333333334,0.08456299299723469,48.73851528483283,0.02024236116631073,6,6,6,123.16666666666667
22,screen_depth2,6,123.16666666666667,1036.6666666666667,1673.1666666666667,1673.1666666666667,5.166666666666667,1145.3891666666668,0.4005781529995147,48.73851528483283,0.019642159666545922,6,6,6,123.16666666666667
22,screen_depth3,6,123.16666666666667,998.6666666666666,1615.8333333333333,1615.8333333333333,5.166666666666667,1104.0425,1.5130684304979998,48.73851528483283,0.019093958333542105,6,6,6,123.16666666666667
22,screen_depth4,6,123.16666666666667,976,1581.8333333333333,1581.8333333333333,5.166666666666667,1079.3925000000002,4.52986558316843,48.73851528483283,0.018792701499478426,6,6,6,123.16666666666667
22,screen_single,6,123.16666666666667,1130,1816,1816,5.166666666666667,1247.0733333333333,0.013297250168155491,48.73851528483283,0.02081779849928959,6,6,6,123.16666666666667
