name,n,profile,term_count,method,score,T,CNOT,depth,gates,peak_ancilla,time_s,anf_verified,plan_nodes,plan_mismatches
terms_n20_0007_shallow,20,shallow,39,depth_policy,384.7,344,556,556,212,4,0.00588387499738019,True,3,0
terms_n20_0007_shallow,20,shallow,39,direct_logical_and,415.085,372,597,597,225,4,8.750066626816988e-07,True,1,0
terms_n20_0007_shallow,20,shallow,39,screen_depth1,384.7,344,556,556,212,4,0.00588387499738019,True,3,0
terms_n20_0007_shallow,20,shallow,39,screen_depth2,384.7,344,556,556,212,4,0.006139500001154374,True,3,0
terms_n20_0007_shallow,20,shallow,39,screen_single,384.7,344,556,556,212,4,0.003289542000857182,True,3,0
terms_n20_0008_mixed,20,mixed,162,adaptive_all_depth,1489.985,1352,2177,2177,825,5,0.5920055840033456,True,7,0
terms_n20_0008_mixed,20,mixed,162,depth2_guard_direct,1489.985,1352,2177,2177,825,5,0.47830883400456514,True,7,0
terms_n20_0008_mixed,20,mixed,162,depth_policy,1489.985,1352,2177,2177,825,5,0.47830883400456514,True,7,0
terms_n20_0008_mixed,20,mixed,162,direct_logical_and,1749.83,1592,2550,2550,958,4,6.249974831007421e-07,True,1,0
terms_n20_0008_mixed,20,mixed,162,screen_depth1,1564.195,1420,2283,2283,863,5,0.0992335000046296,True,5,0
terms_n20_0008_mixed,20,mixed,162,screen_depth2,1489.985,1352,2177,2177,825,5,0.47830883400456514,True,7,0
terms_n20_0008_mixed,20,mixed,162,screen_single,1642.7549999999999,1492,2395,2395,903,5,0.014463249994150829,True,3,0
terms_n20_0009_deep,20,deep,183,adaptive_all_depth,2089.4049999999997,1896,3021,3021,1125,8,0.7207683329979773,True,7,0
terms_n20_0009_deep,20,deep,183,depth2_guard_direct,2089.4049999999997,1896,3021,3021,1125,8,0.5847238330024993,True,7,0
terms_n20_0009_deep,20,deep,183,depth_policy,2089.4049999999997,1896,3021,3021,1125,8,0.5847238330024993,True,7,0
terms_n20_0009_deep,20,deep,183,direct_logical_and,2353.145,2140,3393,3393,1253,7,7.920025382190943e-07,True,1,0
terms_n20_0009_deep,20,deep,183,screen_depth1,2161.42,1964,3124,3124,1160,7,0.1186107079993235,True,5,0
terms_n20_0009_deep,20,deep,183,screen_depth2,2089.4049999999997,1896,3021,3021,1125,8,0.5847238330024993,True,7,0
terms_n20_0009_deep,20,deep,183,screen_single,2235.435,2032,3227,3227,1195,7,0.01743379199615447,True,3,0
terms_n20_0010_shallow,20,shallow,66,adaptive_all_depth,532.0699999999999,476,782,782,306,5,0.06806604100711411,True,7,0
terms_n20_0010_shallow,20,shallow,66,depth2_guard_direct,532.0699999999999,476,782,782,306,5,0.0426976660019136,True,7,0
terms_n20_0010_shallow,20,shallow,66,depth_policy,536.2249999999999,480,785,785,305,5,0.019996417002403177,True,5,0
terms_n20_0010_shallow,20,shallow,66,direct_logical_and,647.39,584,942,942,358,4,5.830006557516754e-07,True,1,0
terms_n20_0010_shallow,20,shallow,66,screen_depth1,536.2249999999999,480,785,785,305,5,0.019996417002403177,True,5,0
terms_n20_0010_shallow,20,shallow,66,screen_depth2,532.0699999999999,476,782,782,306,5,0.0426976660019136,True,7,0
terms_n20_0010_shallow,20,shallow,66,screen_single,566.6099999999999,508,826,826,318,5,0.005371958002797328,True,3,0
terms_n20_0011_mixed,20,mixed,108,adaptive_all_depth,1175.705,1060,1697,1697,637,8,0.38565112499782117,True,7,0
terms_n20_0011_mixed,20,mixed,108,depth2_guard_direct,1175.705,1060,1697,1697,637,8,0.3136252499971306,True,7,0
terms_n20_0011_mixed,20,mixed,108,depth_policy,1175.705,1060,1697,1697,637,8,0.3136252499971306,True,7,0
terms_n20_0011_mixed,20,mixed,108,direct_logical_and,1347.77,1220,1938,1938,718,7,7.499984349124134e-07,True,1,0
terms_n20_0011_mixed,20,mixed,108,screen_depth1,1197.325,1080,1725,1725,645,8,0.06242375000147149,True,5,0
terms_n20_0011_mixed,20,mixed,108,screen_depth2,1175.705,1060,1697,1697,637,8,0.3136252499971306,True,7,0
terms_n20_0011_mixed,20,mixed,108,screen_single,1234.3449999999998,1116,1777,1777,661,7,0.009602124999219086,True,3,0
terms_n20_0012_deep,20,deep,149,adaptive_all_depth,1676.5549999999998,1520,2427,2427,907,7,0.572155665999162,True,7,0
terms_n20_0012_deep,20,deep,149,depth2_guard_direct,1676.5549999999998,1520,2427,2427,907,7,0.46368920800159685,True,7,0
terms_n20_0012_deep,20,deep,149,depth_policy,1676.5549999999998,1520,2427,2427,907,7,0.46368920800159685,True,7,0
terms_n20_0012_deep,20,deep,149,direct_logical_and,1841.985,1672,2657,2657,985,7,9.169962140731514e-07,True,1,0
terms_n20_0012_deep,20,deep,149,screen_depth1,1715.705,1556,2481,2481,925,7,0.09463216699805344,True,5,0
terms_n20_0012_deep,20,deep,149,screen_depth2,1676.5549999999998,1520,2427,2427,907,7,0.46368920800159685,True,7,0
terms_n20_0012_deep,20,deep,149,screen_single,1767.905,1604,2553,2553,949,7,0.013834290999511722,True,3,0
terms_n20_0013_shallow,20,shallow,75,adaptive_all_depth,649.715,584,947,947,363,5,0.16751558300165925,True,7,0
terms_n20_0013_shallow,20,shallow,75,depth2_guard_direct,649.715,584,947,947,363,5,0.12473850000242237,True,7,0
terms_n20_0013_shallow,20,shallow,75,depth_policy,653.8050000000001,588,949,949,361,5,0.03628762500011362,True,5,0
terms_n20_0013_shallow,20,shallow,75,direct_logical_and,826.325,748,1197,1197,449,4,9.169962140731514e-07,True,1,0
terms_n20_0013_shallow,20,shallow,75,screen_depth1,653.8050000000001,588,949,949,361,5,0.03628762500011362,True,5,0
terms_n20_0013_shallow,20,shallow,75,screen_depth2,649.715,584,947,947,363,5,0.12473850000242237,True,7,0
terms_n20_0013_shallow,20,shallow,75,screen_single,736.7149999999999,664,1067,1067,403,5,0.00648945799912326,True,3,0
terms_n20_0014_mixed,20,mixed,85,adaptive_all_depth,750.48,676,1096,1096,420,5,0.28283008300786605,True,7,0
terms_n20_0014_mixed,20,mixed,85,depth2_guard_direct,750.48,676,1096,1096,420,5,0.22807387500506593,True,7,0
terms_n20_0014_mixed,20,mixed,85,depth_policy,750.48,676,1096,1096,420,5,0.22807387500506593,True,7,0
terms_n20_0014_mixed,20,mixed,85,direct_logical_and,896.5749999999999,812,1303,1303,491,4,8.329952834174037e-07,True,1,0
terms_n20_0014_mixed,20,mixed,85,screen_depth1,763.465,688,1113,1113,425,5,0.047838833001151215,True,5,0
terms_n20_0014_mixed,20,mixed,85,screen_depth2,750.48,676,1096,1096,420,5,0.22807387500506593,True,7,0
terms_n20_0014_mixed,20,mixed,85,screen_single,820.0799999999999,740,1192,1192,452,5,0.006917375001648907,True,3,0
terms_n20_0015_deep,20,deep,208,adaptive_all_depth,2055.9300000000003,1868,2994,2994,1126,6,0.8013045000043348,True,7,0
terms_n20_0015_deep,20,deep,208,depth2_guard_direct,2055.9300000000003,1868,2994,2994,1126,6,0.6476984999972046,True,7,0
terms_n20_0015_deep,20,deep,208,depth_policy,2055.9300000000003,1868,2994,2994,1126,6,0.6476984999972046,True,7,0
terms_n20_0015_deep,20,deep,208,direct_logical_and,2383.2200000000003,2168,3460,3460,1292,6,8.749993867240846e-07,True,1,0
terms_n20_0015_deep,20,deep,208,screen_depth1,2138.905,1944,3113,3113,1169,6,0.13386500000342494,True,5,0
terms_n20_0015_deep,20,deep,208,screen_depth2,2055.9300000000003,1868,2994,2994,1126,6,0.6476984999972046,True,7,0
terms_n20_0015_deep,20,deep,208,screen_single,2239.2149999999997,2036,3255,3255,1219,6,0.019741000003705267,True,3,0
terms_n20_0016_shallow,20,shallow,53,adaptive_all_depth,431.655,388,639,639,251,3,0.10349266698904103,True,5,0
terms_n20_0016_shallow,20,shallow,53,depth2_guard_direct,431.655,388,639,639,251,3,0.07113562499580439,True,5,0
terms_n20_0016_shallow,20,shallow,53,depth_policy,431.655,388,639,639,251,3,0.0280767919975915,True,5,0
terms_n20_0016_shallow,20,shallow,53,direct_logical_and,455.49499999999995,412,671,671,259,2,5.409965524449944e-07,True,1,0
terms_n20_0016_shallow,20,shallow,53,screen_depth1,431.655,388,639,639,251,3,0.0280767919975915,True,5,0
terms_n20_0016_shallow,20,shallow,53,screen_depth2,431.655,388,639,639,251,3,0.07113562499580439,True,5,0
terms_n20_0016_shallow,20,shallow,53,screen_single,440.22499999999997,396,649,649,253,3,0.004280249995645136,True,3,0
terms_n20_0017_mixed,20,mixed,133,adaptive_all_depth,1092.6399999999999,988,1608,1608,620,5,0.4676084169987007,True,7,0
terms_n20_0017_mixed,20,mixed,133,depth2_guard_direct,1092.6399999999999,988,1608,1608,620,5,0.3778212920005899,True,7,0
terms_n20_0017_mixed,20,mixed,133,depth_policy,1092.6399999999999,988,1608,1608,620,5,0.3778212920005899,True,7,0
terms_n20_0017_mixed,20,mixed,133,direct_logical_and,1269.445,1152,1861,1861,709,4,6.249974831007421e-07,True,1,0
terms_n20_0017_mixed,20,mixed,133,screen_depth1,1134.14,1028,1668,1668,640,4,0.07798124999681022,True,5,0
terms_n20_0017_mixed,20,mixed,133,screen_depth2,1092.6399999999999,988,1608,1608,620,5,0.3778212920005899,True,7,0
terms_n20_0017_mixed,20,mixed,133,screen_single,1195.17,1084,1754,1754,670,4,0.011805875001300592,True,3,0
terms_n20_0018_deep,20,deep,204,adaptive_all_depth,2175.185,1976,3153,3153,1177,7,0.8069586670026183,True,7,0
terms_n20_0018_deep,20,deep,204,depth2_guard_direct,2175.185,1976,3153,3153,1177,7,0.657391375003499,True,7,0
terms_n20_0018_deep,20,deep,204,depth_policy,2175.185,1976,3153,3153,1177,7,0.657391375003499,True,7,0
terms_n20_0018_deep,20,deep,204,direct_logical_and,2493.71,2268,3606,3606,1338,7,9.580035111866891e-07,True,1,0
terms_n20_0018_deep,20,deep,204,screen_depth1,2253.68,2048,3264,3264,1216,7,0.1306732919983915,True,5,0
terms_n20_0018_deep,20,deep,204,screen_depth2,2175.185,1976,3153,3153,1177,7,0.657391375003499,True,7,0
terms_n20_0018_deep,20,deep,204,screen_single,2367.105,2152,3425,3425,1273,7,0.01889400000072783,True,3,0
terms_n20_0019_shallow,20,shallow,48,adaptive_all_depth,276.665,244,417,417,173,4,0.14022433300124248,True,7,0
terms_n20_0019_shallow,20,shallow,48,depth2_guard_direct,276.665,244,417,417,173,4,0.11190929199801758,True,7,0
terms_n20_0019_shallow,20,shallow,48,depth_policy,289.65,256,434,434,178,4,0.02447095800016541,True,5,0
terms_n20_0019_shallow,20,shallow,48,direct_logical_and,339.72,304,504,504,200,3,6.249974831007421e-07,True,1,0
