losses,mean_baseline,mean_relative_pct,mean_target,metric,pairs,ties,wins
4,3697.0,-0.2087958258509719,3676.0,T,24,8,12
4,6396.833333333333,-0.3023342824767956,6360.291666666667,CNOT,24,5,15
4,6396.958333333333,-0.30238197779243436,6360.416666666667,depth,24,5,15
2,3.4166666666666665,0.34722222222222204,3.4166666666666665,peak_ancilla,24,20,2
6,4080.3522916666666,-0.21812383151854453,4057.16375,score,24,4,14
0,111.77096915245056,-72.30507344039006,27.417436331510544,time_s,24,0,24
