CNOT,T,anf_terms,correct,depth,error,explicit_ancilla,gates,index,method,n,n_qubits,name,onset_size,peak_ancilla,preset_name,score,skipped,source_manifest,time_s,truth_table_hex
37,36,11,True,53,,0,29,20,external_sshr_h,4,5,truth_n4_3,11,1,truth_n4_3,40.565,,benchmark_exports/traditional_resource_external_seed42,0.0002079010009765625,BDD6
24,20,4,True,24,,0,6,18,external_sshr_i_t,4,5,truth_n4_1,4,1,truth_n4_1,23.38,,benchmark_exports/traditional_resource_external_seed42,0.21407103538513184,1C80
26,32,12,True,33,,0,14,19,external_sshr_i_cnot,4,5,truth_n4_2,7,1,truth_n4_2,35.675,,benchmark_exports/traditional_resource_external_seed42,0.21781420707702637,667
36,24,8,True,42,,0,19,21,external_sshr_h,4,5,truth_n4_4,6,1,truth_n4_4,28.26,,benchmark_exports/traditional_resource_external_seed42,0.00011897087097167969,4668
32,36,11,True,47,,0,23,20,external_sshr_i_cnot,4,5,truth_n4_3,11,1,truth_n4_3,40.214999999999996,,benchmark_exports/traditional_resource_external_seed42,0.20716619491577148,BDD6
26,20,8,True,38,,0,20,21,external_sshr_i_cnot,4,5,truth_n4_4,6,1,truth_n4_4,23.81,,benchmark_exports/traditional_resource_external_seed42,0.3612990379333496,4668
29,32,8,True,39,,0,20,22,external_sshr_h,4,5,truth_n4_5,9,1,truth_n4_5,35.945,,benchmark_exports/traditional_resource_external_seed42,0.000164031982421875,3EB1
26,32,12,True,33,,0,14,19,external_sshr_i_t,4,5,truth_n4_2,7,1,truth_n4_2,35.675,,benchmark_exports/traditional_resource_external_seed42,0.761012077331543,667
24,32,8,True,33,,0,14,22,external_sshr_i_cnot,4,5,truth_n4_5,9,1,truth_n4_5,35.595,,benchmark_exports/traditional_resource_external_seed42,0.2656068801879883,3EB1
32,24,8,True,42,,0,19,23,external_sshr_h,4,5,truth_n4_6,6,1,truth_n4_6,28.1,,benchmark_exports/traditional_resource_external_seed42,0.00011396408081054688,3924
28,20,8,True,28,,0,10,21,external_sshr_i_t,4,5,truth_n4_4,6,1,truth_n4_4,23.640000000000004,,benchmark_exports/traditional_resource_external_seed42,0.5224361419677734,4668
25,20,8,True,37,,0,19,23,external_sshr_i_cnot,4,5,truth_n4_6,6,1,truth_n4_6,23.745,,benchmark_exports/traditional_resource_external_seed42,0.3901360034942627,3924
30,36,8,True,44,,0,20,24,external_sshr_h,4,5,truth_n4_7,7,1,truth_n4_7,40.06,,benchmark_exports/traditional_resource_external_seed42,0.00015211105346679688,23B8
32,36,11,True,42,,0,18,20,external_sshr_i_t,4,5,truth_n4_3,11,1,truth_n4_3,40.09,,benchmark_exports/traditional_resource_external_seed42,1.237797737121582,BDD6
25,20,8,True,37,,0,19,23,external_sshr_i_t,4,5,truth_n4_6,6,1,truth_n4_6,23.745,,benchmark_exports/traditional_resource_external_seed42,0.8233668804168701,3924
29,20,11,True,35,,0,17,25,external_sshr_h,4,5,truth_n4_8,8,1,truth_n4_8,23.855,,benchmark_exports/traditional_resource_external_seed42,0.0001270771026611328,BC89
26,32,8,True,32,,0,13,24,external_sshr_i_cnot,4,5,truth_n4_7,7,1,truth_n4_7,35.65,,benchmark_exports/traditional_resource_external_seed42,0.5559020042419434,23B8
27,20,11,True,36,,0,18,25,external_sshr_i_cnot,4,5,truth_n4_8,8,1,truth_n4_8,23.799999999999997,,benchmark_exports/traditional_resource_external_seed42,0.27954578399658203,BC89
29,20,10,True,37,,0,19,26,external_sshr_h,4,5,truth_n4_9,8,1,truth_n4_9,23.905,,benchmark_exports/traditional_resource_external_seed42,0.00011873245239257812,1A3D
