manuscript,status,pdf,pages,rendered_pages,dimensions,min_ink_fraction,max_ink_fraction,min_page_bytes,max_page_bytes,render_seconds,failures,next_action
author,pass,paper_latex/resource_nmcts_submission_v1.pdf,27,27,596x842,0.061148,0.163678,1505511,1505511,0.670,none,No action needed.
anonymous,pass,paper_latex/resource_nmcts_submission_anonymous.pdf,27,27,596x842,0.061148,0.163678,1505511,1505511,0.680,none,No action needed.
