source,comparison,pairs,score_wins,score_losses,score_ties,mean_rel_score,mean_rel_time,mean_rel_t_depth,mean_rel_aux_area,depth_accuracy
heldout_training,old heldout policy vs oracle frontier,32,0,9,23,0.00802037845884552,-0.5876100823409806,,,0.625
heldout_training,large heldout policy vs oracle frontier,48,0,3,45,0.0004070060415572765,-0.5129565388295518,,,0.6666666666666666
heldout_training,cost heldout policy vs cost-aware frontier,48,0,6,40,0.0037544381637541918,-0.7153822144712304,,,0.5833333333333334
scale_generalization,large scale policy vs screen_depth2,96,56,0,40,-0.023387403879985936,5.6380098987942695,-0.022770645932575915,0.261284886004943,
scale_generalization,old scale policy vs screen_depth2,96,40,0,56,-0.018525448949657776,4.564319308418508,,,
scale_generalization,cost scale policy vs screen_depth2,96,56,0,40,-0.01394461962409,1.7003008685693104,-0.01357387868994805,0.14634899985999658,
scale_generalization,large scale policy vs adaptive_all_depth,96,0,6,90,0.0010394887511376942,-0.5349928712131995,0.0009560308210702172,-0.011730165480165481,
scale_generalization,old scale policy vs adaptive_all_depth,96,0,19,77,0.006124557367775634,-0.6124832151037454,,,
scale_generalization,cost scale policy vs adaptive_all_depth,96,0,53,43,0.010980334831355089,-0.7653955361693668,0.010646038005592603,-0.08864169511048381,
scale_generalization,large scale policy vs old policy,96,17,0,79,-0.004868543820251392,1.1926198261612952,,,
scale_generalization,cost scale policy vs old policy,96,16,39,41,0.005005619256509671,0.2535683306893536,,,
scale_generalization,cost scale policy vs large policy,96,1,48,47,0.00994300807284479,-0.3302374836846259,0.009690695719045508,-0.07612205594610781,
truth_bridge_n23,large n23 policy vs screen_depth2,6,5,0,1,-0.02357445174259685,7.906162784008974,-0.02137340422737145,0.3349290293040293,
truth_bridge_n23,old n23 policy vs screen_depth2,6,4,0,2,-0.01882182500129716,7.599480678112799,-0.016920478018720052,0.2949290293040293,
truth_bridge_n23,cost n23 policy vs screen_depth2,6,4,0,2,-0.014619612150174635,1.9608717124537292,-0.014307235919451095,0.1594551282051282,
truth_bridge_n23,large n23 policy vs adaptive_all_depth,6,0,1,5,0.0011853715733347275,-0.4598798044878953,0.0006561679790026247,-0.02314814814814815,
truth_bridge_n23,old n23 policy vs adaptive_all_depth,6,0,1,5,0.006112295056244547,-0.4877232473155138,0.005249343832020997,-0.05092592592592593,
truth_bridge_n23,cost n23 policy vs adaptive_all_depth,6,0,5,1,0.010442961221776039,-0.8045692387529352,0.007934310777894357,-0.1448305354525704,
truth_bridge_n23,large n23 policy vs old policy,6,1,0,5,-0.0047526267412996885,0.4615579166450145,-0.004452926208651399,0.04,
truth_bridge_n23,cost n23 policy vs old policy,6,0,4,2,0.004330666165531492,-0.4407426593235725,0.0026849669458733592,-0.09390460952664446,
truth_bridge_n23,cost n23 policy vs large policy,6,0,5,1,0.00922279570073669,-0.5628861053269529,0.00726013034456617,-0.12616267404277348,
