baseline,cnot_baseline_mean,cnot_relative_pct,cnot_target_mean,cnot_wlt,depth_baseline_mean,depth_relative_pct,depth_target_mean,depth_wlt,pairs,peak_ancilla_baseline_mean,peak_ancilla_relative_pct,peak_ancilla_target_mean,peak_ancilla_wlt,score_baseline_mean,score_relative_pct,score_target_mean,score_wlt,t_baseline_mean,t_relative_pct,t_target_mean,t_wlt,target
and_exact_fprm_dp,34.96,-10.25,31.22,49/5/18,38.40,-8.91,34.93,43/7/22,72,1.53,-8.33,1.39,10/0/62,21.84,-12.18,19.13,51/3/18,16.61,-12.55,14.39,32/0/40,and_resource_nmcts
and_exact_fprm_dp,34.96,-10.46,31.17,49/2/21,38.40,-9.16,34.85,43/5/24,72,1.53,-8.33,1.39,10/0/62,21.84,-12.20,19.13,51/0/21,16.61,-12.55,14.39,32/0/40,and_pareto_resource_nmcts
direct_anf,50.18,-24.87,34.96,62/8/2,50.64,-19.03,38.40,61/9/2,72,0.93,+59.72,1.53,0/43/29,56.82,-55.77,21.84,69/1/2,52.11,-62.43,16.61,69/0/3,and_exact_fprm_dp
and_direct_anf,55.31,-32.31,34.96,69/0/3,55.76,-26.88,38.40,66/1/5,72,1.38,+15.28,1.53,0/11/61,38.04,-38.04,21.84,69/0/3,32.00,-43.48,16.61,69/0/3,and_exact_fprm_dp
and_esop_milp,34.88,+0.81,34.96,40/28/4,41.92,-6.85,38.40,52/14/6,72,1.42,+11.81,1.53,1/9/62,25.63,-13.30,21.84,57/12/3,20.56,-17.67,16.61,54/0/18,and_exact_fprm_dp
external_sshr_i_cnot,22.89,+51.59,34.96,0/70/2,30.33,+25.87,38.40,5/66/1,72,0.93,+59.72,1.53,0/43/29,27.09,-13.73,21.84,60/12/0,23.72,-23.47,16.61,58/4/10,and_exact_fprm_dp
external_sshr_i_t,23.06,+50.69,34.96,0/68/4,29.50,+30.50,38.40,3/67/2,72,0.93,+59.72,1.53,0/43/29,27.07,-13.38,21.84,59/12/1,23.72,-23.47,16.61,58/4/10,and_exact_fprm_dp
external_sshr_i_cnot,22.89,+35.07,31.22,0/65/7,30.33,+14.09,34.93,20/48/4,72,0.93,+45.83,1.39,0/33/39,27.09,-27.17,19.13,70/2/0,23.72,-35.52,14.39,66/0/6,and_resource_nmcts
external_sshr_i_t,23.06,+34.26,31.22,1/62/9,29.50,+17.80,34.93,15/51/6,72,0.93,+45.83,1.39,0/33/39,27.07,-26.92,19.13,67/4/1,23.72,-35.52,14.39,66/0/6,and_resource_nmcts
