n,method,n_functions,T,CNOT,ancilla,time_s
5,sshr_h,2000,136624,107434,7210,0.3
5,sshr_h_paper,2000,152737,95316,7720,0.2
5,mcts_v2(1000iters),2000,150593,88358,7653,6.8
5,"beam(w=50,b=10)",2000,147105,88464,7544,5.3
