n,method,n_functions,T,CNOT,ancilla,time_s
6,sshr_h,2000,304508,198842,15158,2.5
6,sshr_h_paper,2000,322247,180392,17441,0.6
6,mcts_v2(1000iters),2000,300327,155896,15503,58.5
6,"beam(w=50,b=10)",2000,294031,154990,15301,66.0
