n,method,n_functions,T,CNOT,ancilla,time_s
7,sshr_h,2000,648074,399624,36174,31.6
7,sshr_h_paper,2000,665624,379152,36974,4.6
7,mcts_v2(1000iters),2000,611512,327194,34694,832.7
7,"beam(w=50,b=10)",2000,587360,315450,33397,1182.3
