n,method,n_functions,T,CNOT,ancilla,time_s
3,sshr_h,255,2993,3191,128,0.1
3,sshr_h_paper,255,3812,3788,128,0.1
3,mcts_v2(1000iters),255,3812,3652,128,0.2
3,"beam(w=50,b=10)",255,3812,3652,128,0.1
