name,n,method,T,CNOT,depth,gates,explicit_ancilla,peak_ancilla,n_qubits,score,score_lower_bound,score_rz1,score_rz1.5,score_rz2,score_rz4,score_rz10,score_synth_tperrz30,score_synth_tperrz60,score_synth_tperrz100,time_s,anf_terms,parity_gadgets,rz_total,rz_clifford,rz_t_like,rz_non_clifford,rz_max_denominator,phase_ops,ct_supported,verified_up_to_global_phase,correct,skipped,error,truth_table_hex,candidate_affine_forms,candidate_polarities,candidate_transforms,global_phase_pi,global_phase_pi_den,global_phase_pi_num,polarity,polarity_hex,polarity_weight,rank_metric,shifted_constant_term,transform_index,transform_nonidentity,transform_rows_hex,transform_weight
truth_n5_32,5,phase_parity_affine_fprm_opt_rz1,5,60,83,83,0,0,5,9.475,9.475,25.475,33.475,41.475,73.475,169.475,501.47499999999997,993.4749999999999,1649.475,0.062141974767049156,17,23,23,2,5,16,8,21,0,True,phase oracle verified up to global phase,,,A2BC372F,1024,32,32,1/1,1,1,2,0x2,1,score_rz1,1,30,1,0x9;0x2;0xc;0x8;0x1c,9
truth_n5_32,5,phase_parity_affine_fprm_opt_tperrz30,6,64,87,87,0,0,5,10.735,10.735,25.735,33.235,40.735,70.735,160.735,471.985,933.2349999999999,1548.235,0.062141974767049156,13,23,23,2,6,15,8,21,0,True,phase oracle verified up to global phase,,,A2BC372F,1024,32,32,1/1,1,1,0,0x0,0,score_synth_tperrz30,1,6,1,0x1;0x3;0x4;0x8;0x10,6
truth_n5_33,5,phase_parity_affine_fprm_opt_score,0,98,129,129,0,0,5,7.145,7.145,38.144999999999996,53.644999999999996,69.145,131.145,317.145,960.395,1913.6450000000002,3184.645,0.07692066828409831,19,31,31,0,0,31,16,31,0,True,phase oracle verified up to global phase,,,D58842DE,1024,32,32,0/1,1,0,0,0x0,0,score,0,0,0,0x1;0x2;0x4;0x8;0x10,5
truth_n5_33,5,phase_parity_affine_fprm_opt_rz1,0,98,129,129,0,0,5,7.145,7.145,38.144999999999996,53.644999999999996,69.145,131.145,317.145,960.395,1913.6450000000002,3184.645,0.07692066828409831,19,31,31,0,0,31,16,31,0,True,phase oracle verified up to global phase,,,D58842DE,1024,32,32,0/1,1,0,0,0x0,0,score_rz1,0,0,0,0x1;0x2;0x4;0x8;0x10,5
truth_n5_33,5,phase_parity_affine_fprm_opt_tperrz30,0,98,129,129,0,0,5,7.145,7.145,38.144999999999996,53.644999999999996,69.145,131.145,317.145,960.395,1913.6450000000002,3184.645,0.07692066828409831,19,31,31,0,0,31,16,31,0,True,phase oracle verified up to global phase,,,D58842DE,1024,32,32,0/1,1,0,0,0x0,0,score_synth_tperrz30,0,0,0,0x1;0x2;0x4;0x8;0x10,5
truth_n5_34,5,phase_parity_affine_fprm_opt_score,3,70,95,95,0,0,5,8.175,8.175,24.175,32.175,40.175,72.175,168.175,500.175,992.175,1648.175,0.06262365976969402,18,25,25,6,3,16,8,19,0,True,phase oracle verified up to global phase,,,5D65A441,1024,32,32,1/1,1,1,0,0x0,0,score,1,4,1,0x9;0xa;0xc;0x8;0x18,9
truth_n5_34,5,phase_parity_affine_fprm_opt_rz1,3,70,95,95,0,0,5,8.175,8.175,24.175,32.175,40.175,72.175,168.175,500.175,992.175,1648.175,0.06262365976969402,18,25,25,6,3,16,8,19,0,True,phase oracle verified up to global phase,,,5D65A441,1024,32,32,1/1,1,1,0,0x0,0,score_rz1,1,4,1,0x9;0xa;0xc;0x8;0x18,9
truth_n5_34,5,phase_parity_affine_fprm_opt_tperrz30,4,80,105,105,0,0,5,9.825000000000001,9.825000000000001,24.825000000000003,32.325,39.825,69.825,159.825,471.075,932.325,1547.325,0.06262365976969402,18,25,25,6,4,15,8,19,0,True,phase oracle verified up to global phase,,,5D65A441,1024,32,32,1/1,1,1,24,0x18,2,score_synth_tperrz30,1,25,1,0x1;0x2;0x4;0x18;0x10,6
truth_n5_35,5,phase_parity_affine_fprm_opt_score,5,68,92,92,0,0,5,10.020000000000001,10.020000000000001,26.020000000000003,34.02,42.02,74.02,170.02,502.02000000000004,994.02,1650.0200000000002,0.06684541702270508,14,24,24,3,5,16,8,21,0,True,phase oracle verified up to global phase,,,29A3B2E9,1024,32,32,1/1,1,1,0,0x0,0,score,1,1,1,0x1;0x3;0x5;0x9;0x11,9
truth_n5_35,5,phase_parity_affine_fprm_opt_rz1,5,68,92,92,0,0,5,10.020000000000001,10.020000000000001,26.020000000000003,34.02,42.02,74.02,170.02,502.02000000000004,994.02,1650.0200000000002,0.06684541702270508,14,24,24,3,5,16,8,21,0,True,phase oracle verified up to global phase,,,29A3B2E9,1024,32,32,1/1,1,1,0,0x0,0,score_rz1,1,1,1,0x1;0x3;0x5;0x9;0x11,9
truth_n5_35,5,phase_parity_affine_fprm_opt_tperrz30,6,78,103,103,0,0,5,11.695,11.695,26.695,34.195,41.695,71.695,161.695,472.945,934.1949999999999,1549.195,0.06684541702270508,16,25,25,4,6,15,8,21,0,True,phase oracle verified up to global phase,,,29A3B2E9,1024,32,32,1/1,1,1,6,0x6,2,score_synth_tperrz30,0,17,1,0x1;0x2;0x4;0x8;0x14,6
