CNOT,T,anf_terms,correct,depth,error,explicit_ancilla,gates,method,n,n_qubits,name,peak_ancilla,score,skipped,terms,time_s,truth_table_hex
4,0,4,True,4,,0,4,and_fprm_neural_mcts,4,5,parity_n4,0,0.26,,4,0.0015118122100830078,6996
4,0,4,True,4,,0,4,neural_mcts,4,5,parity_n4,0,0.26,,4,4.887580871582031e-05,6996
4,0,4,True,4,,0,4,and_affine_nmcts,4,5,parity_n4,0,0.26,,4,0.0038840770721435547,6996
66,88,5,True,66,,0,5,direct_anf,4,5,majority_n4,1,93.67999999999999,,5,2.09808349609375e-05,E880
71,44,5,True,71,,0,27,and_direct_anf,4,5,majority_n4,2,52.175000000000004,,5,2.0265579223632812e-05,E880
80,192,4,True,112,,0,40,cube_beam,4,5,parity_n4,1,199.28,,4,0.001219034194946289,6996
20,8,4,True,24,,0,14,sshr_h,4,5,parity_n4,0,9.3,,4,0.0012507438659667969,6996
62,48,5,True,62,,1,9,greedy_factor,4,6,majority_n4,2,55.5,,5,0.00024509429931640625,E880
4,0,4,True,4,,0,4,and_rc_nmcts,4,5,parity_n4,0,0.26,,4,0.00568699836730957,6996
57,44,5,True,66,,1,18,fprm_greedy,4,6,majority_n4,2,51.45,,8,0.003010988235473633,E880
61,32,5,True,61,,1,25,and_mcts_factor,4,6,majority_n4,2,39.605,,5,0.004366874694824219,E880
62,48,5,True,62,,1,9,mcts_factor,4,6,majority_n4,2,55.5,,5,0.007295131683349609,E880
36,76,5,True,44,,0,12,cube_greedy,4,5,majority_n4,1,80.22,,5,0.00032591819763183594,E880
36,76,5,True,44,,0,12,cube_beam,4,5,majority_n4,1,80.22,,5,0.0004811286926269531,E880
62,48,5,True,62,,1,9,neural_mcts,4,6,majority_n4,2,55.5,,5,0.011687040328979492,E880
34,44,5,True,36,,0,9,sshr_h,4,5,majority_n4,1,47.99,,5,0.0014140605926513672,E880
46,48,7,True,46,,0,7,direct_anf,4,5,threshold2_n4,1,52.6,,7,2.8133392333984375e-05,FEE8
61,36,7,True,61,,0,25,and_direct_anf,4,5,threshold2_n4,2,43.605,,7,2.7894973754882812e-05,FEE8
61,32,5,True,61,,1,25,and_fprm_mcts,4,6,majority_n4,2,39.605,,5,0.060584068298339844,E880
57,44,5,True,66,,1,18,fprm_mcts,4,6,majority_n4,2,51.45,,8,0.07079386711120605,E880
57,44,7,True,57,,1,9,greedy_factor,4,6,threshold2_n4,2,51.225,,7,0.0001709461212158203,FEE8
57,44,7,True,57,,1,9,mcts_factor,4,6,threshold2_n4,2,51.225,,7,0.002413034439086914,FEE8
59,32,7,True,59,,1,25,and_mcts_factor,4,6,threshold2_n4,2,39.495,,7,0.002274036407470703,FEE8
57,44,7,True,57,,1,9,fprm_greedy,4,6,threshold2_n4,2,51.225,,7,0.0031828880310058594,FEE8
57,44,7,True,57,,1,9,fprm_mcts,4,6,threshold2_n4,2,51.225,,7,0.07072901725769043,FEE8
61,32,5,True,61,,1,25,and_fprm_neural_mcts,4,6,majority_n4,2,39.605,,5,0.20618987083435059,E880
59,32,7,True,59,,1,25,and_fprm_mcts,4,6,threshold2_n4,2,39.495,,7,0.06532001495361328,FEE8
36,76,7,True,57,,0,25,cube_greedy,4,5,threshold2_n4,1,80.545,,7,0.00037288665771484375,FEE8
42,52,7,True,57,,0,20,cube_beam,4,5,threshold2_n4,1,56.735,,7,0.0014088153839111328,FEE8
57,44,7,True,57,,1,9,neural_mcts,4,6,threshold2_n4,2,51.225,,7,0.0051250457763671875,FEE8
35,36,7,True,43,,0,19,sshr_h,4,5,threshold2_n4,1,40.235,,7,0.0015339851379394531,FEE8
5,0,5,True,5,,0,5,direct_anf,5,6,parity_n5,0,0.325,,5,2.8848648071289062e-05,96696996
