correct,functions,mean_depth,mean_peak_ancilla,mean_score,mean_time_s,method,n,total_CNOT,total_T
3,3,9.0,0.0,3.225,0.005982001622517903,and_affine_nmcts,3,27,8
69,69,36.405797101449274,1.434782608695652,20.04840579710145,0.3213661131651505,and_affine_nmcts,4,2248,1044
67,67,90.6268656716418,1.9701492537313432,49.117014925373134,3.1066259839641512,and_affine_nmcts,5,5744,2676
38,38,234.1315789473684,2.6842105263157894,134.6475,0.6063072681427002,and_affine_nmcts,6,8683,4392
3,3,43.333333333333336,1.0,25.616666666666667,0.00023190180460611978,and_cube_beam,3,106,64
69,69,53.34782608695652,1.608695652173913,32.40905797101449,0.0019090970357259114,and_cube_beam,4,3010,1820
67,67,134.62686567164178,2.8656716417910446,80.95910447761194,0.01039641650755014,and_cube_beam,5,7410,4564
38,38,312.1842105263158,3.8421052631578947,186.7888157894737,0.0545249298999184,and_cube_beam,6,9879,6176
3,3,15.0,0.0,8.895,2.86102294921875e-05,and_direct_anf,3,45,24
69,69,57.53623188405797,1.434782608695652,39.303333333333335,5.542368128679801e-05,and_direct_anf,4,3937,2280
67,67,161.73134328358208,2.4328358208955225,111.63910447761194,9.484433416110366e-05,and_direct_anf,5,10802,6516
38,38,386.7368421052632,3.236842105263158,267.52947368421053,0.00015784564771150289,and_direct_anf,6,14682,9056
3,3,15.0,0.0,8.895,0.017674922943115234,and_esop_milp,3,45,24
69,69,43.08695652173913,1.4782608695652173,26.35369565217391,0.1619966064674267,and_esop_milp,4,2466,1456
67,67,99.55223880597015,2.5223880597014925,60.972388059701494,4.518864346973932,and_esop_milp,5,5558,3392
38,38,488.1578947368421,3.6578947368421053,294.23026315789474,9.370606667117068,and_esop_milp,6,15554,9916
3,3,15.0,0.0,8.895,8.66254170735677e-05,and_mcts_factor,3,45,24
69,69,49.89855072463768,1.434782608695652,29.881666666666668,0.00660012770390165,and_mcts_factor,4,3410,1660
67,67,125.0,1.955223880597015,72.86320895522388,0.08160674394066654,and_mcts_factor,5,8341,4124
38,38,269.07894736842104,2.4473684210526314,157.0275,0.5152388371919331,and_mcts_factor,6,10211,5176
3,3,13.0,0.0,8.745,3.4809112548828125e-05,direct_anf,3,39,24
69,69,52.27536231884058,0.9710144927536232,58.90673913043478,6.177459937938745e-05,direct_anf,4,3574,3728
67,67,135.49253731343285,1.4776119402985075,185.35149253731345,0.00010669409339107685,direct_anf,5,9044,11712
38,38,292.3421052631579,1.8157894736842106,470.51460526315793,0.00017880766015303763,direct_anf,6,11095,17120
3,3,14.0,0.0,6.123333333333334,0.0001720587412516276,sshr_h,3,38,16
69,69,38.88405797101449,0.9855072463768116,32.50123188405797,0.0005793225937995358,sshr_h,4,2052,1972
67,67,92.77611940298507,1.492537313432836,88.78731343283582,0.007099699618211433,sshr_h,5,4813,5436
38,38,177.8684210526316,1.894736842105263,194.74171052631579,0.13299070533953214,sshr_h,6,5055,6920
