method,T,CNOT,depth,gates,explicit_factor_ancilla,peak_ancilla,score,relative_score_change_pct,plan_verified,circuit_verified,truth_rows_verified
AND-direct ANF,40,65,65,25,0,1,45.825,0.0,True,True,32
Resource-NMCTS,28,55,55,23,1,1,33.254999999999995,-27.430441898527018,True,True,32
