name,n,profile,term_count,truth_build_time_s,method,score,T,CNOT,depth,gates,peak_ancilla,schedule_logical_depth,schedule_cnot_depth_proxy,schedule_t_depth_proxy,explicit_ancilla_live_peak,explicit_ancilla_lifetime_area,plan_time_s,truth_verify_time_s,truth_verified,anf_verified,plan_nodes,plan_mismatches,circuit_anf_verified,circuit_gates,circuit_max_wire_terms,circuit_mismatches
truth_bridge_n23_000_deep,23,deep,152,201.8824569999997,adaptive_all_depth,1572.4150000000002,1424,2287,2287,863,7,149,1551,686,1,41,10.281274000000849,0.057430959001067095,True,True,11,0,True,151,152,0
truth_bridge_n23_000_deep,23,deep,152,201.8824569999997,depth2_guard_direct,1602.67,1452,2326,2326,874,7,146,1577,696,1,28,0.59361954099586,0.0587412500026403,True,True,7,0,True,148,152,0
truth_bridge_n23_000_deep,23,deep,152,201.8824569999997,depth_frontier_policy,1580.9850000000001,1432,2297,2297,865,7,147,1559,688,1,35,2.327746124996338,0.05771950000053039,True,True,9,0,True,149,152,0
truth_bridge_n23_000_deep,23,deep,152,201.8824569999997,depth_policy,1602.67,1452,2326,2326,874,7,146,1577,696,1,28,0.59361954099586,0.0587412500026403,True,True,7,0,True,148,152,0
truth_bridge_n23_000_deep,23,deep,152,201.8824569999997,direct_logical_and,1842.1800000000003,1672,2660,2660,988,7,152,1771,802,0,0,6.709000444971025e-06,0.07720141600293573,True,True,1,0,True,152,152,0
truth_bridge_n23_000_deep,23,deep,152,201.8824569999997,screen_depth1,1646.1050000000002,1492,2385,2385,893,7,147,1613,715,1,21,0.12180379200435709,0.058321917000284884,True,True,5,0,True,147,152,0
truth_bridge_n23_000_deep,23,deep,152,201.8824569999997,screen_depth2,1602.67,1452,2326,2326,874,7,146,1577,696,1,28,0.59361954099586,0.0587412500026403,True,True,7,0,True,148,152,0
truth_bridge_n23_000_deep,23,deep,152,201.8824569999997,screen_depth3,1580.9850000000001,1432,2297,2297,865,7,147,1559,688,1,35,2.327746124996338,0.05771950000053039,True,True,9,0,True,149,152,0
truth_bridge_n23_000_deep,23,deep,152,201.8824569999997,screen_depth4,1572.4150000000002,1424,2287,2287,863,7,149,1551,686,1,41,7.219367750003585,0.057430959001067095,True,True,11,0,True,151,152,0
truth_bridge_n23_000_deep,23,deep,152,201.8824569999997,screen_single,1733.1699999999998,1572,2506,2506,934,7,148,1683,754,1,12,0.0187367920007091,0.06045725000149105,True,True,3,0,True,148,152,0
truth_bridge_n23_001_shallow,23,shallow,63,201.24513062500046,adaptive_all_depth,584.2049999999999,524,853,853,329,5,65,566,254,1,36,3.237947499997972,0.02261404100136133,True,True,11,0,True,67,63,0
truth_bridge_n23_001_shallow,23,shallow,63,201.24513062500046,depth2_guard_direct,605.63,544,878,878,334,5,60,580,262,1,25,0.21358350000082282,0.022934708998946007,True,True,7,0,True,62,63,0
truth_bridge_n23_001_shallow,23,shallow,63,201.24513062500046,depth_frontier_policy,605.63,544,878,878,334,5,60,580,262,1,25,0.21358350000082282,0.022934708998946007,True,True,7,0,True,62,63,0
truth_bridge_n23_001_shallow,23,shallow,63,201.24513062500046,depth_policy,605.63,544,878,878,334,5,60,580,262,1,25,0.21358350000082282,0.022934708998946007,True,True,7,0,True,62,63,0
truth_bridge_n23_001_shallow,23,shallow,63,201.24513062500046,direct_logical_and,738.5450000000001,668,1065,1065,397,4,63,708,320,0,0,1.766700006555766e-05,0.038763666998420376,True,True,1,0,True,63,63,0
truth_bridge_n23_001_shallow,23,shallow,63,201.24513062500046,screen_depth1,627.25,564,906,906,342,5,58,600,272,1,19,0.045996583001397084,0.023549625002488028,True,True,5,0,True,60,63,0
truth_bridge_n23_001_shallow,23,shallow,63,201.24513062500046,screen_depth2,605.63,544,878,878,334,5,60,580,262,1,25,0.21358350000082282,0.022934708998946007,True,True,7,0,True,62,63,0
truth_bridge_n23_001_shallow,23,shallow,63,201.24513062500046,screen_depth3,588.36,528,856,856,328,5,62,568,255,1,31,0.7884342079996713,0.02328112499526469,True,True,9,0,True,64,63,0
truth_bridge_n23_001_shallow,23,shallow,63,201.24513062500046,screen_depth4,584.2049999999999,524,853,853,329,5,65,566,254,1,36,2.1828048339957604,0.02261404100136133,True,True,11,0,True,67,63,0
truth_bridge_n23_001_shallow,23,shallow,63,201.24513062500046,screen_single,661.985,596,953,953,357,5,57,630,288,1,12,0.007128375000320375,0.024259958001493942,True,True,3,0,True,59,63,0
truth_bridge_n23_002_mixed,23,mixed,136,213.1869161670038,adaptive_all_depth,1077.915,976,1595,1595,619,4,129,1159,463,1,45,8.462164917000337,0.04299029199319193,True,True,11,0,True,131,136,0
truth_bridge_n23_002_mixed,23,mixed,136,213.1869161670038,depth2_guard_direct,1129.92,1024,1664,1664,640,4,126,1205,485,1,32,0.4926316249984666,0.045030957997369114,True,True,7,0,True,128,136,0
truth_bridge_n23_002_mixed,23,mixed,136,213.1869161670038,depth_frontier_policy,1086.4850000000001,984,1605,1605,621,4,127,1167,465,1,39,1.9358414169983007,0.04483254099613987,True,True,9,0,True,129,136,0
truth_bridge_n23_002_mixed,23,mixed,136,213.1869161670038,depth_policy,1129.92,1024,1664,1664,640,4,126,1205,485,1,32,0.4926316249984666,0.045030957997369114,True,True,7,0,True,128,136,0
truth_bridge_n23_002_mixed,23,mixed,136,213.1869161670038,direct_logical_and,1363.34,1240,1996,1996,756,3,136,1423,590,0,0,1.129100564867258e-05,0.053329000002122484,True,True,1,0,True,136,136,0
