budget,method,metric,pairs,learned_wins,learned_losses,ties,mean_learned,mean_no_prior,mean_relative,status
top8_s8_n12,and_affine_nmcts,score,177,42,0,135,55.9464406779661,56.48045197740113,-0.012824796928832621,pass
top8_s8_n12,and_affine_nmcts,T,177,19,0,158,46.3954802259887,46.847457627118644,-0.013947853778362253,pass
top8_s8_n12,and_affine_nmcts,CNOT,177,36,1,140,95.29943502824858,96.42937853107344,-0.015595595185280968,pass
top8_s8_n12,and_affine_nmcts,depth,177,33,5,139,99.909604519774,101.12994350282486,-0.014774166392704605,pass
top8_s8_n12,and_affine_nmcts,peak_ancilla,177,1,0,176,1.88135593220339,1.887005649717514,-0.0018832391713747645,pass
top8_s8_n12,and_affine_nmcts,time_s,177,19,158,0,0.11971195134739418,0.09091896929983366,0.3660074408029441,pass
top8_s8_n12,and_resource_nmcts,score,177,38,0,139,53.93785310734463,54.37847457627119,-0.01064754600666657,pass
top8_s8_n12,and_resource_nmcts,T,177,15,0,162,44.56497175141243,44.90395480225989,-0.01078670231212604,pass
top8_s8_n12,and_resource_nmcts,CNOT,177,30,3,144,91.15819209039547,92.05084745762711,-0.012744714929033688,pass
top8_s8_n12,and_resource_nmcts,depth,177,30,4,143,95.79661016949153,96.77966101694915,-0.013062065502813757,pass
top8_s8_n12,and_resource_nmcts,peak_ancilla,177,4,0,173,1.9152542372881356,1.9378531073446328,-0.007532956685499058,pass
top8_s8_n12,and_resource_nmcts,time_s,177,20,157,0,0.17787932002611753,0.1473714564479677,0.20746518180396142,pass
top8_s8_n12,and_pareto_resource_nmcts,score,177,29,0,148,49.56799435028248,49.87076271186441,-0.007753077205703922,pass
top8_s8_n12,and_pareto_resource_nmcts,T,177,9,0,168,40.451977401129945,40.67796610169491,-0.007652799178222907,pass
top8_s8_n12,and_pareto_resource_nmcts,CNOT,177,19,3,155,83.045197740113,83.29943502824858,-0.004706181767057097,pass
top8_s8_n12,and_pareto_resource_nmcts,depth,177,21,5,151,87.99435028248588,88.48022598870057,-0.008143985392632634,pass
top8_s8_n12,and_pareto_resource_nmcts,peak_ancilla,177,5,0,172,2.022598870056497,2.0508474576271185,-0.009416195856873822,pass
top8_s8_n12,and_pareto_resource_nmcts,time_s,177,38,139,0,2.2266874663573875,2.076473703492159,0.09611688915173491,pass
top12_s12_n16,and_affine_nmcts,score,177,42,0,135,55.9464406779661,56.48045197740113,-0.012824796928832621,pass
top12_s12_n16,and_affine_nmcts,T,177,19,0,158,46.3954802259887,46.847457627118644,-0.013947853778362253,pass
top12_s12_n16,and_affine_nmcts,CNOT,177,36,1,140,95.29943502824858,96.42937853107344,-0.015595595185280968,pass
top12_s12_n16,and_affine_nmcts,depth,177,33,5,139,99.909604519774,101.12994350282486,-0.014774166392704605,pass
top12_s12_n16,and_affine_nmcts,peak_ancilla,177,1,0,176,1.88135593220339,1.887005649717514,-0.0018832391713747645,pass
top12_s12_n16,and_affine_nmcts,time_s,177,26,151,0,0.1683245728918388,0.12372012192246604,0.3421293948750172,pass
top12_s12_n16,and_resource_nmcts,score,177,38,0,139,53.93785310734463,54.37847457627119,-0.01064754600666657,pass
top12_s12_n16,and_resource_nmcts,T,177,15,0,162,44.56497175141243,44.90395480225989,-0.01078670231212604,pass
top12_s12_n16,and_resource_nmcts,CNOT,177,30,3,144,91.15819209039547,92.05084745762711,-0.012744714929033688,pass
top12_s12_n16,and_resource_nmcts,depth,177,30,4,143,95.79661016949153,96.77966101694915,-0.013062065502813757,pass
top12_s12_n16,and_resource_nmcts,peak_ancilla,177,4,0,173,1.9152542372881356,1.9378531073446328,-0.007532956685499058,pass
top12_s12_n16,and_resource_nmcts,time_s,177,21,156,0,0.24307998694942495,0.1937627953998113,0.2862101734452472,pass
top12_s12_n16,and_pareto_resource_nmcts,score,177,29,0,148,49.56799435028248,49.87076271186441,-0.007753077205703922,pass
top12_s12_n16,and_pareto_resource_nmcts,T,177,9,0,168,40.451977401129945,40.67796610169491,-0.007652799178222907,pass
top12_s12_n16,and_pareto_resource_nmcts,CNOT,177,19,3,155,83.045197740113,83.29943502824858,-0.004706181767057097,pass
top12_s12_n16,and_pareto_resource_nmcts,depth,177,21,5,151,87.99435028248588,88.48022598870057,-0.008143985392632634,pass
top12_s12_n16,and_pareto_resource_nmcts,peak_ancilla,177,5,0,172,2.022598870056497,2.0508474576271185,-0.009416195856873822,pass
top12_s12_n16,and_pareto_resource_nmcts,time_s,177,22,155,0,2.539179656465175,2.2846136322129245,0.15512029173312017,pass
top24_s24_n32,and_affine_nmcts,score,177,42,0,135,55.36983050847458,55.992627118644066,-0.014692186222159192,pass
